index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
66878;Ceuta y Melilla;flat;penthouse;156000.0;48.0;1;8.0;35.8893273;-5.3298958
69791;Ceuta y Melilla;flat;penthouse;115000.0;51.0;1;9.0;35.8915071;-5.3341164
80715;Ceuta y Melilla;flat;penthouse;190000.0;80.0;1;7.0;35.2849214;-2.9394155
94671;Ceuta y Melilla;flat;penthouse;210000.0;60.0;2;9.0;35.8873874;-5.3203455
101863;Ceuta y Melilla;flat;penthouse;222000.0;65.0;2;7.0;35.2816365;-2.9423578
105809;Ceuta y Melilla;flat;penthouse;175000.0;67.0;2;6.0;35.2942775;-2.9382973
126906;Ceuta y Melilla;flat;penthouse;186000.0;78.0;2;7.0;35.2825787;-2.9402451
149534;Ceuta y Melilla;flat;penthouse;200000.0;95.0;2;3.0;35.2856747;-2.942088
152824;Ceuta y Melilla;flat;penthouse;228000.0;100.0;2;6.0;35.2933558;-2.9400888
164532;Ceuta y Melilla;flat;penthouse;205000.0;175.0;2;7.0;35.2945558;-2.9420888
222159;Ceuta y Melilla;flat;penthouse;175000.0;95.0;3;5.0;35.2826581;-2.9436339
243852;Ceuta y Melilla;flat;penthouse;320000.0;105.0;3;8.0;35.8896729;-5.3030019
250788;Ceuta y Melilla;flat;penthouse;184500.0;110.0;3;3.0;35.2856747;-2.942088
271698;Ceuta y Melilla;flat;penthouse;380000.0;130.0;3;0.0;35.8886874;-5.3233455
275734;Ceuta y Melilla;flat;penthouse;230000.0;135.0;3;6.0;35.2903329;-2.9427369
285422;Ceuta y Melilla;flat;penthouse;380000.0;156.0;3;11.0;35.8872964;-5.3100576
286426;Ceuta y Melilla;flat;penthouse;331000.0;160.0;3;2.0;35.2929489;-2.9460166
288104;Ceuta y Melilla;flat;penthouse;245000.0;165.0;3;5.0;35.2937525;-2.9446283
338229;Ceuta y Melilla;flat;penthouse;380000.0;150.0;4;7.0;35.8888356;-5.3105871
354935;Ceuta y Melilla;flat;penthouse;775000.0;218.0;4;8.0;35.286007;-2.9403591
391124;Ceuta y Melilla;flat;penthouse;420000.0;400.0;5;7.0;35.2841417;-2.9410426
