index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
124694;Ceuta y Melilla;house;terraced house;128000.0;76.0;2;0.0;35.8889696;-5.2998284
299068;Ceuta y Melilla;house;terraced house;511000.0;230.0;3;0.0;35.2899755;-2.9521141
344055;Ceuta y Melilla;house;terraced house;370000.0;170.0;4;2.0;35.2965558;-2.9416888
351478;Ceuta y Melilla;house;terraced house;295000.0;200.0;4;0.0;35.2945558;-2.9420888
351479;Ceuta y Melilla;house;terraced house;372000.0;200.0;4;2.0;35.2923809;-2.9355636
365514;Ceuta y Melilla;house;terraced house;465000.0;300.0;4;2.0;35.2945558;-2.9420888
368417;Ceuta y Melilla;house;terraced house;590000.0;350.0;4;3.0;35.2945558;-2.9420888
369521;Ceuta y Melilla;house;terraced house;555000.0;380.0;4;0.0;35.2973317;-2.9381685
369543;Ceuta y Melilla;house;terraced house;540000.0;380.0;4;2.0;35.2837538;-2.9430279
375386;Ceuta y Melilla;house;terraced house;412000.0;150.0;5;0.0;35.2900439;-2.9584376
385129;Ceuta y Melilla;house;terraced house;420000.0;275.0;5;2.0;35.2925558;-2.9411888
397985;Ceuta y Melilla;house;terraced house;360000.0;275.0;6;0.0;35.2937163;-2.9542839
405031;Ceuta y Melilla;house;terraced house;620000.0;480.0;7;0.0;35.2971095;-2.9376892
406518;Ceuta y Melilla;house;terraced house;401000.0;300.0;8;0.0;35.2917233;-2.9410453
