index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
17540;Comunidad Foral de Navarra;countryHouse;Vacio;90000.0;151.0;0;0.0;42.6702986;-2.0301187
163766;Comunidad Foral de Navarra;countryHouse;Vacio;248000.0;155.0;2;0.0;42.7025647;-1.5077437
231419;Comunidad Foral de Navarra;countryHouse;Vacio;108000.0;100.0;3;0.0;42.6720822;-1.9452713
302104;Comunidad Foral de Navarra;countryHouse;Vacio;85500.0;269.0;3;0.0;42.7249834;-2.0906024
305910;Comunidad Foral de Navarra;countryHouse;Vacio;170000.0;715.0;3;2.0;42.0829398;-1.8050165
346628;Comunidad Foral de Navarra;countryHouse;Vacio;38000.0;180.0;4;2.0;42.3158152;-1.8057105
386470;Comunidad Foral de Navarra;countryHouse;Vacio;400000.0;300.0;5;2.0;42.5555637;-1.849343
392473;Comunidad Foral de Navarra;countryHouse;Vacio;155000.0;450.0;5;0.0;43.2326409;-1.6390627
402215;Comunidad Foral de Navarra;countryHouse;Vacio;220000.0;600.0;6;0.0;43.1455212;-1.5015009
403761;Comunidad Foral de Navarra;countryHouse;Vacio;295000.0;228.0;7;0.0;43.1601985;-1.6719813
