index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
61093;Comunidad Foral de Navarra;countryHouse;country house;48000.0;30.0;1;0.0;42.0594759;-1.6058735
62688;Comunidad Foral de Navarra;countryHouse;country house;90000.0;40.0;1;0.0;42.8178847;-1.6313809
65719;Comunidad Foral de Navarra;countryHouse;country house;144000.0;45.0;1;0.0;42.7863865;-1.535605
83601;Comunidad Foral de Navarra;countryHouse;country house;124500.0;40.0;2;0.0;42.4577338;-1.617876
83738;Comunidad Foral de Navarra;countryHouse;country house;67260.0;42.0;2;0.0;42.8619105;-1.8582003
84169;Comunidad Foral de Navarra;countryHouse;country house;99000.0;45.0;2;0.0;42.944417;-1.7171312
109770;Comunidad Foral de Navarra;countryHouse;country house;110000.0;70.0;2;0.0;42.6755671;-2.1293663
144679;Comunidad Foral de Navarra;countryHouse;country house;50000.0;90.0;2;0.0;42.6161637;-1.2756186
155107;Comunidad Foral de Navarra;countryHouse;country house;43000.0;105.0;2;0.0;42.5621944;-1.649291
206925;Comunidad Foral de Navarra;countryHouse;country house;150000.0;88.0;3;0.0;42.9409314;-1.7172613
265750;Comunidad Foral de Navarra;countryHouse;country house;120000.0;120.0;3;0.0;42.5612944;-1.651291
300845;Comunidad Foral de Navarra;countryHouse;country house;640000.0;250.0;3;0.0;42.7270556;-1.5604541
375130;Comunidad Foral de Navarra;countryHouse;country house;195000.0;146.0;5;0.0;42.6331551;-2.2042477
406997;Comunidad Foral de Navarra;countryHouse;country house;3000000.0;540.0;8;0.0;42.8615744;-1.7229608
