index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
10202;Comunidad Foral de Navarra;flat;Vacio;160000.0;85.0;0;3.0;42.8141094;-1.6366229
61838;Comunidad Foral de Navarra;flat;Vacio;40000.0;36.0;1;3.0;42.6721757;-2.0296894
62692;Comunidad Foral de Navarra;flat;Vacio;75000.0;40.0;1;7.0;42.815873;-1.6507264
62693;Comunidad Foral de Navarra;flat;Vacio;76000.0;40.0;1;2.0;42.8124383;-1.6116463
62962;Comunidad Foral de Navarra;flat;Vacio;85000.0;40.0;1;3.0;42.7891132;-1.6911123
63001;Comunidad Foral de Navarra;flat;Vacio;140000.0;40.0;1;5.0;42.8328546;-1.6505267
63355;Comunidad Foral de Navarra;flat;Vacio;104000.0;40.0;1;5.0;42.8152684;-1.6500088
63756;Comunidad Foral de Navarra;flat;Vacio;80000.0;42.0;1;6.0;42.0578967;-1.6179065
63799;Comunidad Foral de Navarra;flat;Vacio;44400.0;42.0;1;3.0;42.2182092;-1.690767
63942;Comunidad Foral de Navarra;flat;Vacio;49000.0;42.0;1;3.0;42.8157732;-1.645835
64143;Comunidad Foral de Navarra;flat;Vacio;33000.0;43.0;1;4.0;42.3880804;-1.7939369
64371;Comunidad Foral de Navarra;flat;Vacio;116595.0;44.0;1;0.0;42.8031545;-1.6258632
64436;Comunidad Foral de Navarra;flat;Vacio;52700.0;44.0;1;2.0;42.6702536;-1.8151968
64447;Comunidad Foral de Navarra;flat;Vacio;52700.0;44.0;1;3.0;42.6697536;-1.8147968
64513;Comunidad Foral de Navarra;flat;Vacio;95000.0;44.0;1;4.0;42.7034816;-1.5089813
64800;Comunidad Foral de Navarra;flat;Vacio;100000.0;45.0;1;4.0;42.0619007;-1.6064546
64933;Comunidad Foral de Navarra;flat;Vacio;54200.0;45.0;1;4.0;42.6697536;-1.8122968
64995;Comunidad Foral de Navarra;flat;Vacio;97520.0;45.0;1;4.0;42.3388327;-1.8009917
65927;Comunidad Foral de Navarra;flat;Vacio;108000.0;46.0;1;7.0;42.8049485;-1.6363337
66299;Comunidad Foral de Navarra;flat;Vacio;99672.0;47.0;1;0.0;42.8374948;-1.6690199
66319;Comunidad Foral de Navarra;flat;Vacio;9000.0;47.0;1;2.0;42.0664863;-1.6073564
66320;Comunidad Foral de Navarra;flat;Vacio;12000.0;47.0;1;2.0;42.0626863;-1.6075564
66339;Comunidad Foral de Navarra;flat;Vacio;72000.0;47.0;1;0.0;42.0604759;-1.5992584
66392;Comunidad Foral de Navarra;flat;Vacio;150000.0;47.0;1;8.0;42.8226259;-1.6485854
66421;Comunidad Foral de Navarra;flat;Vacio;75000.0;47.0;1;5.0;42.8114211;-1.6134646
66547;Comunidad Foral de Navarra;flat;Vacio;99500.0;47.0;1;0.0;42.8325191;-1.6607107
