index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
14667;Comunidad Foral de Navarra;flat;duplex;155000.0;120.0;0;Vacio;42.6760958;-2.0348007
60767;Comunidad Foral de Navarra;flat;duplex;166666.0;20.0;1;3.0;42.684165;-1.7343751
78440;Comunidad Foral de Navarra;flat;duplex;96000.0;69.0;1;0.0;42.0603036;-1.6025864
84041;Comunidad Foral de Navarra;flat;duplex;78000.0;45.0;2;7.0;42.8195665;-1.6404047
93515;Comunidad Foral de Navarra;flat;duplex;83000.0;60.0;2;5.0;42.6717259;-2.0320689
103289;Comunidad Foral de Navarra;flat;duplex;69000.0;65.0;2;6.0;42.8157732;-1.645835
115869;Comunidad Foral de Navarra;flat;duplex;80000.0;72.0;2;3.0;42.3789612;-1.4405063
136011;Comunidad Foral de Navarra;flat;duplex;100000.0;83.0;2;3.0;42.7856116;-1.3689622
138380;Comunidad Foral de Navarra;flat;duplex;126000.0;85.0;2;4.0;42.8300515;-1.6671114
144286;Comunidad Foral de Navarra;flat;duplex;160000.0;90.0;2;4.0;42.0565154;-1.6087728
145848;Comunidad Foral de Navarra;flat;duplex;169000.0;90.0;2;2.0;42.7570276;-1.6337361
145989;Comunidad Foral de Navarra;flat;duplex;105000.0;90.0;2;Vacio;42.7019672;-1.5077446
146019;Comunidad Foral de Navarra;flat;duplex;250000.0;90.0;2;7.0;42.8153277;-1.6447753
146299;Comunidad Foral de Navarra;flat;duplex;154000.0;90.0;2;Vacio;42.0574987;-1.6066799
147762;Comunidad Foral de Navarra;flat;duplex;105000.0;92.0;2;2.0;42.8009153;-1.6182396
149283;Comunidad Foral de Navarra;flat;duplex;135000.0;95.0;2;6.0;42.0540135;-1.596766
150600;Comunidad Foral de Navarra;flat;duplex;231000.0;96.0;2;3.0;42.7992888;-1.6212418
153092;Comunidad Foral de Navarra;flat;duplex;225000.0;100.0;2;Vacio;42.8146955;-1.6448085
154633;Comunidad Foral de Navarra;flat;duplex;110000.0;103.0;2;2.0;42.7994153;-1.6184396
155464;Comunidad Foral de Navarra;flat;duplex;129000.0;105.0;2;4.0;42.9460515;-1.489566
157100;Comunidad Foral de Navarra;flat;duplex;88000.0;110.0;2;4.0;42.6730464;-1.7070168
158837;Comunidad Foral de Navarra;flat;duplex;95000.0;117.0;2;Vacio;42.065057;-1.6059154
158942;Comunidad Foral de Navarra;flat;duplex;208000.0;118.0;2;Vacio;42.8350219;-1.6605289
160999;Comunidad Foral de Navarra;flat;duplex;430000.0;127.0;2;6.0;42.8192274;-1.6433097
164109;Comunidad Foral de Navarra;flat;duplex;240000.0;161.0;2;3.0;43.0091979;-1.8602026
164477;Comunidad Foral de Navarra;flat;duplex;300000.0;173.0;2;6.0;42.8177007;-1.6460069
164728;Comunidad Foral de Navarra;flat;duplex;360000.0;180.0;2;Vacio;42.0604405;-1.5987761
174829;Comunidad Foral de Navarra;flat;duplex;105000.0;70.0;3;4.0;43.0247826;-1.8269784
206611;Comunidad Foral de Navarra;flat;duplex;150000.0;88.0;3;6.0;42.8195984;-1.640087
207762;Comunidad Foral de Navarra;flat;duplex;170000.0;89.0;3;3.0;42.7576196;-1.6306336
207915;Comunidad Foral de Navarra;flat;duplex;165692.0;89.0;3;5.0;42.8163429;-1.6107379
209734;Comunidad Foral de Navarra;flat;duplex;165692.0;90.0;3;7.0;42.8143429;-1.6098379
216066;Comunidad Foral de Navarra;flat;duplex;249000.0;90.0;3;5.0;42.8033715;-1.6740854
220312;Comunidad Foral de Navarra;flat;duplex;75000.0;94.0;3;4.0;42.4817017;-1.9745687
233493;Comunidad Foral de Navarra;flat;duplex;120000.0;100.0;3;4.0;42.8141544;-1.6124492
234059;Comunidad Foral de Navarra;flat;duplex;249000.0;100.0;3;Vacio;42.8050715;-1.6725854
234720;Comunidad Foral de Navarra;flat;duplex;194496.0;100.0;3;3.0;42.8015699;-1.6305488
234875;Comunidad Foral de Navarra;flat;duplex;162000.0;100.0;3;2.0;42.7535437;-1.6281979
234876;Comunidad Foral de Navarra;flat;duplex;162000.0;100.0;3;2.0;42.7192978;-1.591546
234878;Comunidad Foral de Navarra;flat;duplex;165000.0;100.0;3;Vacio;42.7531954;-1.6317494
234879;Comunidad Foral de Navarra;flat;duplex;210000.0;100.0;3;Vacio;42.7524401;-1.6323046
234880;Comunidad Foral de Navarra;flat;duplex;162000.0;100.0;3;2.0;42.7538954;-1.6317494
234881;Comunidad Foral de Navarra;flat;duplex;180000.0;100.0;3;2.0;42.7524401;-1.6283046
234882;Comunidad Foral de Navarra;flat;duplex;165000.0;100.0;3;Vacio;42.7547437;-1.6281979
234883;Comunidad Foral de Navarra;flat;duplex;162000.0;100.0;3;2.0;42.7549401;-1.6322046
234884;Comunidad Foral de Navarra;flat;duplex;165000.0;100.0;3;Vacio;42.7535837;-1.6277343
235314;Comunidad Foral de Navarra;flat;duplex;165000.0;100.0;3;5.0;42.8296502;-1.6699504
235451;Comunidad Foral de Navarra;flat;duplex;225000.0;100.0;3;3.0;42.7508837;-1.6292343
235459;Comunidad Foral de Navarra;flat;duplex;120000.0;100.0;3;4.0;42.8147544;-1.6144492
238892;Comunidad Foral de Navarra;flat;duplex;140000.0;102.0;3;5.0;42.6726303;-2.0320456
240929;Comunidad Foral de Navarra;flat;duplex;280000.0;103.0;3;0.0;42.800249;-1.617519
241967;Comunidad Foral de Navarra;flat;duplex;75000.0;104.0;3;4.0;42.3397381;-1.7996053
243523;Comunidad Foral de Navarra;flat;duplex;195000.0;105.0;3;Vacio;42.7820792;-1.6870861
243900;Comunidad Foral de Navarra;flat;duplex;230000.0;105.0;3;3.0;42.7542262;-1.6300214
244073;Comunidad Foral de Navarra;flat;duplex;260000.0;105.0;3;2.0;42.8190739;-1.5859234
244267;Comunidad Foral de Navarra;flat;duplex;195000.0;105.0;3;0.0;42.7817792;-1.6890861
244311;Comunidad Foral de Navarra;flat;duplex;75000.0;105.0;3;4.0;42.3377381;-1.7987053
245411;Comunidad Foral de Navarra;flat;duplex;158500.0;106.0;3;3.0;42.7589196;-1.6326336
246529;Comunidad Foral de Navarra;flat;duplex;110000.0;107.0;3;3.0;42.9138621;-2.0400974
246870;Comunidad Foral de Navarra;flat;duplex;158330.0;107.0;3;4.0;42.8009123;-1.6175807
249400;Comunidad Foral de Navarra;flat;duplex;235000.0;110.0;3;2.0;42.8357772;-1.5782548
249903;Comunidad Foral de Navarra;flat;duplex;228000.0;110.0;3;5.0;42.8295554;-1.6596897
250248;Comunidad Foral de Navarra;flat;duplex;218000.0;110.0;3;2.0;42.7996572;-1.6137268
250974;Comunidad Foral de Navarra;flat;duplex;250000.0;110.0;3;4.0;42.8050715;-1.6735854
253570;Comunidad Foral de Navarra;flat;duplex;134000.0;110.0;3;4.0;42.805542;-1.5906637
253622;Comunidad Foral de Navarra;flat;duplex;195000.0;110.0;3;3.0;42.8294474;-1.6386789
254165;Comunidad Foral de Navarra;flat;duplex;245000.0;111.0;3;Vacio;42.8049715;-1.6700854
255044;Comunidad Foral de Navarra;flat;duplex;200000.0;112.0;3;Vacio;42.7819737;-1.6870961
255279;Comunidad Foral de Navarra;flat;duplex;200000.0;112.0;3;0.0;42.7822737;-1.6890961
257600;Comunidad Foral de Navarra;flat;duplex;110000.0;115.0;3;3.0;42.9098621;-2.0408974
258549;Comunidad Foral de Navarra;flat;duplex;172000.0;115.0;3;5.0;42.8099827;-1.6720142
