index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
133676;Comunidad Foral de Navarra;house;semi-detached;140000.0;81.0;2;0.0;42.4243712;-1.6210156
135295;Comunidad Foral de Navarra;house;semi-detached;28000.0;82.0;2;2.0;42.1731879;-1.6915463
161213;Comunidad Foral de Navarra;house;semi-detached;42000.0;130.0;2;0.0;42.3920404;-1.4594049
161472;Comunidad Foral de Navarra;house;semi-detached;155000.0;130.0;2;0.0;42.6603438;-1.7114791
164718;Comunidad Foral de Navarra;house;semi-detached;259075.0;180.0;2;0.0;43.0645925;-2.0073438
164719;Comunidad Foral de Navarra;house;semi-detached;267833.0;180.0;2;0.0;42.9975284;-1.659193
164720;Comunidad Foral de Navarra;house;semi-detached;272816.0;180.0;2;0.0;43.0012948;-1.6470051
196073;Comunidad Foral de Navarra;house;semi-detached;98000.0;82.0;3;0.0;42.5705639;-2.1875722
201680;Comunidad Foral de Navarra;house;semi-detached;124900.0;85.0;3;0.0;42.6566876;-1.9925456
215103;Comunidad Foral de Navarra;house;semi-detached;180000.0;90.0;3;0.0;42.5282533;-1.6815902
234695;Comunidad Foral de Navarra;house;semi-detached;190000.0;100.0;3;0.0;42.7038016;-1.5049984
244635;Comunidad Foral de Navarra;house;semi-detached;160000.0;105.0;3;0.0;42.425496;-1.6230539
271534;Comunidad Foral de Navarra;house;semi-detached;239000.0;129.0;3;0.0;42.8609206;-0.9257693
279259;Comunidad Foral de Navarra;house;semi-detached;220000.0;140.0;3;0.0;42.676562;-1.7826408
280590;Comunidad Foral de Navarra;house;semi-detached;70000.0;145.0;3;0.0;42.3213178;-1.576481
281799;Comunidad Foral de Navarra;house;semi-detached;48700.0;148.0;3;0.0;41.972354;-1.637428
281817;Comunidad Foral de Navarra;house;semi-detached;249000.0;148.0;3;0.0;42.7346436;-1.6421932
283213;Comunidad Foral de Navarra;house;semi-detached;229000.0;150.0;3;0.0;42.7384442;-1.6196751
285415;Comunidad Foral de Navarra;house;semi-detached;239900.0;156.0;3;0.0;42.7380624;-1.6197356
286825;Comunidad Foral de Navarra;house;semi-detached;315000.0;160.0;3;0.0;42.7436493;-1.5774829
288368;Comunidad Foral de Navarra;house;semi-detached;285000.0;166.0;3;0.0;42.9209206;-1.3913798
289113;Comunidad Foral de Navarra;house;semi-detached;285000.0;170.0;3;0.0;42.7290556;-1.5595541
289883;Comunidad Foral de Navarra;house;semi-detached;220000.0;172.0;3;0.0;42.924587;-1.8634349
290049;Comunidad Foral de Navarra;house;semi-detached;220000.0;173.0;3;0.0;42.6786754;-1.7830134
292582;Comunidad Foral de Navarra;house;semi-detached;309000.0;183.0;3;0.0;42.8610405;-1.6865321
292754;Comunidad Foral de Navarra;house;semi-detached;210000.0;184.0;3;0.0;42.7744925;-1.8352733
294020;Comunidad Foral de Navarra;house;semi-detached;192858.0;192.0;3;2.0;42.8144089;-1.7524441
295882;Comunidad Foral de Navarra;house;semi-detached;210000.0;200.0;3;0.0;42.7303111;-1.5641111
296129;Comunidad Foral de Navarra;house;semi-detached;249000.0;201.0;3;2.0;42.7720848;-1.7825481
296152;Comunidad Foral de Navarra;house;semi-detached;265000.0;201.0;3;0.0;42.8373327;-1.5801166
296577;Comunidad Foral de Navarra;house;semi-detached;189000.0;206.0;3;0.0;42.668672;-1.7263851
296803;Comunidad Foral de Navarra;house;semi-detached;289900.0;210.0;3;0.0;42.8420903;-1.5832753
297272;Comunidad Foral de Navarra;house;semi-detached;245000.0;212.0;3;0.0;42.8445673;-1.738891
297448;Comunidad Foral de Navarra;house;semi-detached;225000.0;215.0;3;0.0;42.079695;-1.8001289
297644;Comunidad Foral de Navarra;house;semi-detached;360000.0;217.0;3;0.0;42.8244101;-1.5751993
298808;Comunidad Foral de Navarra;house;semi-detached;220000.0;226.0;3;0.0;42.6794218;-1.7848704
299539;Comunidad Foral de Navarra;house;semi-detached;425000.0;235.0;3;0.0;42.835533;-1.7296159
299991;Comunidad Foral de Navarra;house;semi-detached;298900.0;240.0;3;0.0;42.7786964;-1.2338486
299999;Comunidad Foral de Navarra;house;semi-detached;400000.0;240.0;3;0.0;42.5161406;-2.373847
300105;Comunidad Foral de Navarra;house;semi-detached;180000.0;240.0;3;0.0;42.9797585;-1.5061392
300372;Comunidad Foral de Navarra;house;semi-detached;349500.0;245.0;3;0.0;42.8130649;-1.5724065
301877;Comunidad Foral de Navarra;house;semi-detached;380000.0;263.0;3;0.0;42.8266327;-1.5797331
302437;Comunidad Foral de Navarra;house;semi-detached;398000.0;276.0;3;0.0;42.8132665;-1.5878868
303199;Comunidad Foral de Navarra;house;semi-detached;334000.0;298.0;3;0.0;42.8102647;-1.5790077
303493;Comunidad Foral de Navarra;house;semi-detached;260000.0;300.0;3;0.0;42.7894739;-1.6433958
303631;Comunidad Foral de Navarra;house;semi-detached;330000.0;300.0;3;0.0;42.7320416;-1.6485338
312175;Comunidad Foral de Navarra;house;semi-detached;90000.0;100.0;4;0.0;42.5845499;-1.5411705
