index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
130653;Comunidad Foral de Navarra;house;terraced house;175000.0;80.0;2;0.0;42.6537516;-1.6270932
131097;Comunidad Foral de Navarra;house;terraced house;99000.0;80.0;2;0.0;42.3300018;-1.7576667
153589;Comunidad Foral de Navarra;house;terraced house;135000.0;100.0;2;0.0;42.5956432;-1.3621141
160060;Comunidad Foral de Navarra;house;terraced house;170000.0;120.0;2;0.0;42.832872;-1.6275506
162373;Comunidad Foral de Navarra;house;terraced house;190000.0;140.0;2;2.0;42.669306;-1.816495
162728;Comunidad Foral de Navarra;house;terraced house;320000.0;140.0;2;0.0;42.8177305;-1.6504852
163416;Comunidad Foral de Navarra;house;terraced house;190000.0;150.0;2;0.0;42.6706272;-1.8120661
163827;Comunidad Foral de Navarra;house;terraced house;20378.0;156.0;2;3.0;42.0001706;-1.6772982
164183;Comunidad Foral de Navarra;house;terraced house;40000.0;164.0;2;0.0;42.2449636;-1.7606713
165841;Comunidad Foral de Navarra;house;terraced house;45000.0;286.0;2;0.0;42.7796671;-1.9127928
205310;Comunidad Foral de Navarra;house;terraced house;17500.0;87.0;3;0.0;42.3047039;-1.8918524
209657;Comunidad Foral de Navarra;house;terraced house;160000.0;90.0;3;3.0;42.239054;-1.7623255
219691;Comunidad Foral de Navarra;house;terraced house;115000.0;93.0;3;0.0;42.2154467;-1.6919764
229042;Comunidad Foral de Navarra;house;terraced house;14500.0;98.0;3;0.0;42.3108321;-1.8949262
236591;Comunidad Foral de Navarra;house;terraced house;120000.0;100.0;3;0.0;42.5894838;-1.3598428
238582;Comunidad Foral de Navarra;house;terraced house;58000.0;102.0;3;3.0;42.0583725;-1.8575504
241050;Comunidad Foral de Navarra;house;terraced house;113000.0;103.0;3;0.0;42.1719447;-1.5925219
241977;Comunidad Foral de Navarra;house;terraced house;252000.0;104.0;3;0.0;42.753389;-1.6333457
243174;Comunidad Foral de Navarra;house;terraced house;156000.0;105.0;3;0.0;42.7913704;-1.6962317
252165;Comunidad Foral de Navarra;house;terraced house;275000.0;110.0;3;0.0;42.7992841;-1.6162085
255399;Comunidad Foral de Navarra;house;terraced house;180000.0;112.0;3;0.0;42.483384;-1.9798965
259292;Comunidad Foral de Navarra;house;terraced house;120000.0;115.0;3;0.0;42.6819912;-1.9740075
259850;Comunidad Foral de Navarra;house;terraced house;39500.0;116.0;3;0.0;42.1883945;-1.6305954
259877;Comunidad Foral de Navarra;house;terraced house;198000.0;116.0;3;0.0;42.6020053;-1.64458
261911;Comunidad Foral de Navarra;house;terraced house;45000.0;119.0;3;0.0;42.3826064;-2.0592293
262695;Comunidad Foral de Navarra;house;terraced house;200000.0;120.0;3;0.0;42.0595806;-1.6107404
268580;Comunidad Foral de Navarra;house;terraced house;120000.0;125.0;3;0.0;42.0732147;-1.8041259
268721;Comunidad Foral de Navarra;house;terraced house;110000.0;125.0;3;0.0;42.083666;-1.7994079
270249;Comunidad Foral de Navarra;house;terraced house;185000.0;126.0;3;0.0;42.0567652;-1.5922027
