index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
288;Comunidad Foral de Navarra;office;Vacio;28000.0;20.0;0;4.0;42.8269669;-1.6159955
342;Comunidad Foral de Navarra;office;Vacio;26000.0;22.0;0;2.0;42.8033727;-1.675814
2034;Comunidad Foral de Navarra;office;Vacio;32000.0;37.0;0;3.0;42.7875692;-1.6935755
2209;Comunidad Foral de Navarra;office;Vacio;31000.0;38.0;0;0.0;42.827599;-1.6219028
2649;Comunidad Foral de Navarra;office;Vacio;120000.0;40.0;0;3.0;42.80878;-1.6512073
4029;Comunidad Foral de Navarra;office;Vacio;45000.0;49.0;0;0.0;42.0606654;-1.6106707
4142;Comunidad Foral de Navarra;office;Vacio;79700.0;50.0;0;0.0;42.8350809;-1.6466943
4212;Comunidad Foral de Navarra;office;Vacio;95000.0;50.0;0;2.0;42.8039502;-1.6503999
4728;Comunidad Foral de Navarra;office;Vacio;120000.0;52.0;0;2.0;42.8055099;-1.6541516
4927;Comunidad Foral de Navarra;office;Vacio;95000.0;53.0;0;2.0;42.8021502;-1.6483999
5056;Comunidad Foral de Navarra;office;Vacio;95000.0;54.0;0;6.0;42.7731783;-1.6276506
5070;Comunidad Foral de Navarra;office;Vacio;225000.0;54.0;0;3.0;42.8112189;-1.6622052
5292;Comunidad Foral de Navarra;office;Vacio;95000.0;55.0;0;2.0;42.8032502;-1.6483999
5303;Comunidad Foral de Navarra;office;Vacio;120000.0;55.0;0;2.0;42.8081542;-1.6567665
5738;Comunidad Foral de Navarra;office;Vacio;95000.0;59.0;0;2.0;42.8039429;-1.6505443
5948;Comunidad Foral de Navarra;office;Vacio;89000.0;60.0;0;3.0;42.7886578;-1.6955599
6109;Comunidad Foral de Navarra;office;Vacio;75000.0;60.0;0;3.0;42.788301;-1.6915915
6195;Comunidad Foral de Navarra;office;Vacio;120000.0;60.0;0;3.0;42.8049043;-1.6518104
