index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
15821;Comunidad Valenciana;countryHouse;village house;90000.0;134.0;0;0.0;39.6288082;-0.5948562
20789;Comunidad Valenciana;countryHouse;village house;55000.0;200.0;0;0.0;38.9191733;-0.1256956
21315;Comunidad Valenciana;countryHouse;village house;100000.0;207.0;0;0.0;38.2781131;-0.7053004
62595;Comunidad Valenciana;countryHouse;village house;9900.0;40.0;1;0.0;39.625408;-0.5928448
69879;Comunidad Valenciana;countryHouse;village house;50400.0;51.0;1;0.0;39.4671023;-0.3276258
78600;Comunidad Valenciana;countryHouse;village house;98000.0;70.0;1;0.0;40.4706589;0.4774028
83056;Comunidad Valenciana;countryHouse;village house;12750.0;15.0;2;0.0;39.6263044;-0.5973402
85415;Comunidad Valenciana;countryHouse;village house;65000.0;50.0;2;0.0;38.5013029;-0.2359473
93068;Comunidad Valenciana;countryHouse;village house;12195.0;60.0;2;2.0;39.5969652;-0.5861433
103891;Comunidad Valenciana;countryHouse;village house;94500.0;65.0;2;0.0;39.4631396;-0.3337211
118692;Comunidad Valenciana;countryHouse;village house;153000.0;74.0;2;0.0;39.6575696;-0.4257996
129179;Comunidad Valenciana;countryHouse;village house;160000.0;80.0;2;0.0;38.689173;0.1085382
129386;Comunidad Valenciana;countryHouse;village house;85000.0;80.0;2;3.0;38.8406478;0.1044572
129617;Comunidad Valenciana;countryHouse;village house;40000.0;80.0;2;0.0;38.5664466;-0.2107582
138315;Comunidad Valenciana;countryHouse;village house;120000.0;85.0;2;0.0;40.1130136;-0.0551122
144810;Comunidad Valenciana;countryHouse;village house;33200.0;90.0;2;0.0;40.3037233;0.2236869
155166;Comunidad Valenciana;countryHouse;village house;155000.0;105.0;2;0.0;38.612569;-0.1252708
156781;Comunidad Valenciana;countryHouse;village house;39000.0;110.0;2;0.0;40.1131005;-0.054563
159189;Comunidad Valenciana;countryHouse;village house;120000.0;120.0;2;0.0;40.4692125;0.4774596
159307;Comunidad Valenciana;countryHouse;village house;165000.0;120.0;2;0.0;38.8385781;0.10685
159320;Comunidad Valenciana;countryHouse;village house;85000.0;120.0;2;0.0;39.0986477;-0.6943376
159553;Comunidad Valenciana;countryHouse;village house;15000.0;120.0;2;0.0;40.305919;0.221068
161429;Comunidad Valenciana;countryHouse;village house;75000.0;130.0;2;0.0;39.2728791;-0.5689342
162972;Comunidad Valenciana;countryHouse;village house;65000.0;145.0;2;0.0;39.5946133;-0.5863572
163241;Comunidad Valenciana;countryHouse;village house;175000.0;150.0;2;0.0;40.5077612;0.3322201
