index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
858;Comunidad Valenciana;flat;Vacio;32800.0;30.0;0;5.0;37.9826275;-0.6627189
863;Comunidad Valenciana;flat;Vacio;50000.0;30.0;0;2.0;38.5414212;-0.1245005
5976;Comunidad Valenciana;flat;Vacio;75000.0;60.0;0;12.0;38.3850874;-0.4128258
6663;Comunidad Valenciana;flat;Vacio;65000.0;65.0;0;4.0;39.4739757;-0.3757196
7701;Comunidad Valenciana;flat;Vacio;80000.0;70.0;0;5.0;39.4701045;-0.3828771
7932;Comunidad Valenciana;flat;Vacio;67000.0;71.0;0;5.0;39.4928164;-0.3705827
8548;Comunidad Valenciana;flat;Vacio;108500.0;75.0;0;5.0;39.4745522;-0.370608
9055;Comunidad Valenciana;flat;Vacio;56000.0;79.0;0;2.0;39.4804787;-0.3869153
9759;Comunidad Valenciana;flat;Vacio;134101.0;82.0;0;5.0;39.4684672;-0.377227
10877;Comunidad Valenciana;flat;Vacio;137248.0;90.0;0;9.0;39.4619337;-0.348648
10881;Comunidad Valenciana;flat;Vacio;155000.0;90.0;0;4.0;39.4648113;-0.3755241
11019;Comunidad Valenciana;flat;Vacio;190000.0;91.0;0;5.0;39.4693527;-0.3773833
11498;Comunidad Valenciana;flat;Vacio;89000.0;95.0;0;4.0;39.4798817;-0.3791274
12680;Comunidad Valenciana;flat;Vacio;179900.0;103.0;0;6.0;39.4653896;-0.3634311
13823;Comunidad Valenciana;flat;Vacio;100000.0;114.0;0;5.0;39.4543229;-0.3754119
13913;Comunidad Valenciana;flat;Vacio;250000.0;115.0;0;7.0;39.4689251;-0.3736912
14047;Comunidad Valenciana;flat;Vacio;320000.0;116.0;0;4.0;39.4635251;-0.3710056
14054;Comunidad Valenciana;flat;Vacio;250000.0;116.0;0;7.0;39.4693251;-0.3702912
15500;Comunidad Valenciana;flat;Vacio;590000.0;130.0;0;3.0;39.471531;-0.3566711
15869;Comunidad Valenciana;flat;Vacio;320000.0;134.0;0;5.0;39.4747627;-0.375152
15967;Comunidad Valenciana;flat;Vacio;120000.0;135.0;0;2.0;39.4755459;-0.3751634
17321;Comunidad Valenciana;flat;Vacio;745000.0;150.0;0;7.0;39.4687909;-0.382101
18173;Comunidad Valenciana;flat;Vacio;22000.0;160.0;0;5.0;39.1502037;-0.4340762
18707;Comunidad Valenciana;flat;Vacio;500000.0;166.0;0;3.0;39.478335;-0.3732965
20069;Comunidad Valenciana;flat;Vacio;364523.0;187.0;0;3.0;39.4742524;-0.3703422
