index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
211;Comunidad Valenciana;flat;studio;39000.0;19.0;0;4.0;38.0101929;-0.6615116
353;Comunidad Valenciana;flat;studio;32000.0;22.0;0;7.0;39.9743111;0.0095278
439;Comunidad Valenciana;flat;studio;28000.0;24.0;0;10.0;38.5425183;-0.1254769
468;Comunidad Valenciana;flat;studio;20000.0;25.0;0;3.0;38.541987;-0.127923
471;Comunidad Valenciana;flat;studio;34900.0;25.0;0;0.0;38.02815;-0.655648
472;Comunidad Valenciana;flat;studio;39000.0;25.0;0;3.0;37.8847755;-0.7553097
474;Comunidad Valenciana;flat;studio;32000.0;25.0;0;3.0;37.9797828;-0.6721348
498;Comunidad Valenciana;flat;studio;21000.0;25.0;0;3.0;38.5459183;-0.1254769
499;Comunidad Valenciana;flat;studio;41000.0;25.0;0;12.0;38.5462183;-0.1287769
500;Comunidad Valenciana;flat;studio;28000.0;25.0;0;3.0;38.5424183;-0.1254769
514;Comunidad Valenciana;flat;studio;35000.0;25.0;0;4.0;38.83843;0.10758
590;Comunidad Valenciana;flat;studio;24000.0;25.0;0;4.0;38.0303845;-0.6524221
667;Comunidad Valenciana;flat;studio;36000.0;27.0;0;3.0;38.5421125;-0.128356
682;Comunidad Valenciana;flat;studio;30990.0;27.0;0;6.0;37.9801178;-0.672118
683;Comunidad Valenciana;flat;studio;60000.0;27.0;0;7.0;39.2760825;-0.2747381
692;Comunidad Valenciana;flat;studio;27900.0;27.0;0;3.0;37.9825488;-0.6733888
704;Comunidad Valenciana;flat;studio;36000.0;28.0;0;5.0;37.9806115;-0.6691951
705;Comunidad Valenciana;flat;studio;44900.0;28.0;0;0.0;38.0184174;-0.6567028
723;Comunidad Valenciana;flat;studio;32000.0;28.0;0;5.0;37.9834187;-0.6634239
727;Comunidad Valenciana;flat;studio;33000.0;28.0;0;4.0;37.980733;-0.67007
732;Comunidad Valenciana;flat;studio;29990.0;28.0;0;6.0;37.9817796;-0.6815469
735;Comunidad Valenciana;flat;studio;25000.0;28.0;0;3.0;39.8171806;-0.428461
760;Comunidad Valenciana;flat;studio;31000.0;28.0;0;5.0;38.0091403;-0.660757
771;Comunidad Valenciana;flat;studio;44000.0;29.0;0;2.0;37.9816666;-0.674517
820;Comunidad Valenciana;flat;studio;40000.0;30.0;0;0.0;37.942703;-0.720516
824;Comunidad Valenciana;flat;studio;36000.0;30.0;0;2.0;37.9700449;-0.700767
825;Comunidad Valenciana;flat;studio;29900.0;30.0;0;0.0;37.983676;-0.675703
838;Comunidad Valenciana;flat;studio;65000.0;30.0;0;5.0;38.5327748;-0.1592001
847;Comunidad Valenciana;flat;studio;29000.0;30.0;0;8.0;38.97269;-0.18144
855;Comunidad Valenciana;flat;studio;66000.0;30.0;0;0.0;38.5418105;-0.1022502
859;Comunidad Valenciana;flat;studio;56000.0;30.0;0;1.0;38.5388212;-0.1245005
861;Comunidad Valenciana;flat;studio;105000.0;30.0;0;0.0;38.5338629;-0.1570681
862;Comunidad Valenciana;flat;studio;118000.0;30.0;0;0.0;38.5416854;-0.1262149
864;Comunidad Valenciana;flat;studio;100000.0;30.0;0;0.0;38.5346111;-0.1048522
865;Comunidad Valenciana;flat;studio;95000.0;30.0;0;0.0;38.5402995;-0.1291247
868;Comunidad Valenciana;flat;studio;34840.0;30.0;0;4.0;37.980733;-0.67007
895;Comunidad Valenciana;flat;studio;39000.0;30.0;0;3.0;37.9827003;-0.6800233
897;Comunidad Valenciana;flat;studio;25000.0;30.0;0;3.0;37.9830148;-0.6677797
898;Comunidad Valenciana;flat;studio;27000.0;30.0;0;5.0;37.9735612;-0.6951123
899;Comunidad Valenciana;flat;studio;25000.0;30.0;0;4.0;37.9831494;-0.6661471
902;Comunidad Valenciana;flat;studio;23900.0;30.0;0;2.0;38.0227195;-0.6957179
914;Comunidad Valenciana;flat;studio;53000.0;30.0;0;4.0;38.5458925;-0.1237867
917;Comunidad Valenciana;flat;studio;72000.0;30.0;0;0.0;38.53641;-0.1102874
918;Comunidad Valenciana;flat;studio;66000.0;30.0;0;3.0;38.5398972;-0.1346215
935;Comunidad Valenciana;flat;studio;41000.0;30.0;0;4.0;37.9836862;-0.6897864
943;Comunidad Valenciana;flat;studio;31000.0;30.0;0;5.0;37.9855451;-0.6789946
973;Comunidad Valenciana;flat;studio;24000.0;30.0;0;6.0;38.5440546;-0.1303607
1040;Comunidad Valenciana;flat;studio;33000.0;30.0;0;2.0;37.9571179;-0.7037858
1072;Comunidad Valenciana;flat;studio;60000.0;30.0;0;6.0;39.4800128;-0.3820679
1073;Comunidad Valenciana;flat;studio;99000.0;30.0;0;4.0;39.4781162;-0.3758202
1126;Comunidad Valenciana;flat;studio;34950.0;31.0;0;4.0;37.9827774;-0.6639188
1184;Comunidad Valenciana;flat;studio;29990.0;32.0;0;3.0;37.9801261;-0.6722617
1203;Comunidad Valenciana;flat;studio;76000.0;32.0;0;8.0;38.5400271;-0.1335821
1205;Comunidad Valenciana;flat;studio;43000.0;32.0;0;5.0;40.4226743;0.4300783
1253;Comunidad Valenciana;flat;studio;130000.0;32.0;0;Vacio;39.49498;-0.35715
1261;Comunidad Valenciana;flat;studio;25000.0;32.0;0;12.0;38.5478546;-0.1267607
1262;Comunidad Valenciana;flat;studio;33000.0;32.0;0;2.0;38.546816;-0.1264722
1266;Comunidad Valenciana;flat;studio;105000.0;32.0;0;7.0;39.4720805;-0.3777566
1292;Comunidad Valenciana;flat;studio;38000.0;33.0;0;3.0;37.950911;-0.734111
1324;Comunidad Valenciana;flat;studio;33000.0;33.0;0;5.0;37.9826275;-0.6627189
1325;Comunidad Valenciana;flat;studio;29000.0;33.0;0;3.0;37.9830148;-0.6677797
1326;Comunidad Valenciana;flat;studio;29000.0;33.0;0;3.0;37.9830148;-0.6677797
1327;Comunidad Valenciana;flat;studio;31000.0;33.0;0;4.0;37.9812845;-0.6781394
1328;Comunidad Valenciana;flat;studio;35500.0;33.0;0;4.0;37.9852389;-0.662596
1329;Comunidad Valenciana;flat;studio;29000.0;33.0;0;3.0;37.9830148;-0.6677797
1341;Comunidad Valenciana;flat;studio;35000.0;33.0;0;6.0;37.9809261;-0.6742617
1342;Comunidad Valenciana;flat;studio;29800.0;33.0;0;3.0;37.9865834;-0.6626536
1369;Comunidad Valenciana;flat;studio;45900.0;33.0;0;7.0;38.0193863;-0.657266
1370;Comunidad Valenciana;flat;studio;26500.0;33.0;0;6.0;37.9812813;-0.6733357
1374;Comunidad Valenciana;flat;studio;43000.0;33.0;0;3.0;38.0810881;-0.6523517
1405;Comunidad Valenciana;flat;studio;22700.0;34.0;0;10.0;38.5442183;-0.1274769
1413;Comunidad Valenciana;flat;studio;45900.0;34.0;0;5.0;37.9573834;-0.7046734
1445;Comunidad Valenciana;flat;studio;31500.0;34.0;0;6.0;37.9826887;-0.6644958
1479;Comunidad Valenciana;flat;studio;95000.0;34.0;0;3.0;38.248372;-0.5181431
1481;Comunidad Valenciana;flat;studio;56000.0;34.0;0;2.0;39.4689071;-0.4001385
1511;Comunidad Valenciana;flat;studio;89000.0;35.0;0;3.0;38.5752247;-0.0704849
1514;Comunidad Valenciana;flat;studio;49900.0;35.0;0;10.0;38.5390566;-0.1223937
1519;Comunidad Valenciana;flat;studio;35500.0;35.0;0;0.0;37.987549;-0.661861
1520;Comunidad Valenciana;flat;studio;39900.0;35.0;0;3.0;37.884846;-0.7561469
1530;Comunidad Valenciana;flat;studio;55000.0;35.0;0;7.0;38.252821;-0.5183934
1533;Comunidad Valenciana;flat;studio;31000.0;35.0;0;3.0;38.5468084;-0.1278226
1534;Comunidad Valenciana;flat;studio;67000.0;35.0;0;0.0;38.5418615;-0.1020028
1545;Comunidad Valenciana;flat;studio;125000.0;35.0;0;6.0;39.4698262;-0.3732051
1558;Comunidad Valenciana;flat;studio;69000.0;35.0;0;7.0;38.5343402;-0.1050738
1583;Comunidad Valenciana;flat;studio;33000.0;35.0;0;5.0;37.9826275;-0.6627189
1584;Comunidad Valenciana;flat;studio;35000.0;35.0;0;2.0;37.9772965;-0.6815917
1585;Comunidad Valenciana;flat;studio;39900.0;35.0;0;4.0;38.02151;-0.6548634
1586;Comunidad Valenciana;flat;studio;29900.0;35.0;0;2.0;37.9845932;-0.6632908
1587;Comunidad Valenciana;flat;studio;39900.0;35.0;0;4.0;38.0193787;-0.6584947
1588;Comunidad Valenciana;flat;studio;35900.0;35.0;0;4.0;38.0581702;-0.8666386
1589;Comunidad Valenciana;flat;studio;33000.0;35.0;0;3.0;37.985254;-0.6609178
1590;Comunidad Valenciana;flat;studio;35000.0;35.0;0;3.0;37.978024;-0.6715414
1591;Comunidad Valenciana;flat;studio;35000.0;35.0;0;3.0;37.9775563;-0.6754299
1592;Comunidad Valenciana;flat;studio;36000.0;35.0;0;3.0;37.9801586;-0.6727423
1601;Comunidad Valenciana;flat;studio;60000.0;35.0;0;10.0;39.4454409;-0.3817865
1609;Comunidad Valenciana;flat;studio;71500.0;35.0;0;4.0;38.5337402;-0.1609604
1611;Comunidad Valenciana;flat;studio;61000.0;35.0;0;2.0;38.539899;-0.1289894
