index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
10880;Comunidad Valenciana;house;independent;93000.0;90.0;0;0.0;39.6594164;-0.228578
16248;Comunidad Valenciana;house;independent;240000.0;138.0;0;0.0;39.4583473;-0.3717578
16546;Comunidad Valenciana;house;independent;110000.0;140.0;0;0.0;39.5315208;-0.4957078
17497;Comunidad Valenciana;house;independent;200000.0;150.0;0;0.0;39.429084;-0.4872269
24250;Comunidad Valenciana;house;independent;142000.0;282.0;0;0.0;39.2851211;-0.427579
25513;Comunidad Valenciana;house;independent;130000.0;332.0;0;0.0;39.4660609;-0.3334237
27968;Comunidad Valenciana;house;independent;425000.0;509.0;0;0.0;39.4754407;-0.3735582
31637;Comunidad Valenciana;house;independent;849039.0;2200.0;0;0.0;38.9852065;-0.5241887
61004;Comunidad Valenciana;house;independent;43000.0;30.0;1;2.0;38.52052;-0.9141
61533;Comunidad Valenciana;house;independent;55000.0;35.0;1;2.0;38.5619059;-0.0672383
61810;Comunidad Valenciana;house;independent;48500.0;36.0;1;2.0;37.9696071;-0.6975181
62092;Comunidad Valenciana;house;independent;44000.0;38.0;1;3.0;37.9661453;-0.7318175
62106;Comunidad Valenciana;house;independent;49000.0;38.0;1;2.0;38.7236104;-0.1933892
62145;Comunidad Valenciana;house;independent;47000.0;38.0;1;2.0;37.969824;-0.7304834
62786;Comunidad Valenciana;house;independent;94000.0;40.0;1;2.0;37.9176309;-0.7224926
63119;Comunidad Valenciana;house;independent;55000.0;40.0;1;3.0;38.5630905;-0.0717921
64015;Comunidad Valenciana;house;independent;69000.0;42.0;1;2.0;38.19414;-0.57215
64091;Comunidad Valenciana;house;independent;46000.0;43.0;1;2.0;37.9922138;-0.6745856
64446;Comunidad Valenciana;house;independent;38000.0;44.0;1;2.0;37.9591999;-0.7039058
64737;Comunidad Valenciana;house;independent;108000.0;45.0;1;0.0;38.6874565;0.1370705
65088;Comunidad Valenciana;house;independent;35000.0;45.0;1;0.0;38.5942008;-0.6705774
65847;Comunidad Valenciana;house;independent;65000.0;45.0;1;2.0;38.1962179;-0.5766239
66380;Comunidad Valenciana;house;independent;18000.0;47.0;1;2.0;39.2004792;-0.3114886
67876;Comunidad Valenciana;house;independent;54000.0;50.0;1;3.0;37.9693019;-0.7029963
68037;Comunidad Valenciana;house;independent;74300.0;50.0;1;2.0;38.59726;-0.1242
68038;Comunidad Valenciana;house;independent;43000.0;50.0;1;2.0;38.1365006;-0.682241
70141;Comunidad Valenciana;house;independent;58650.0;52.0;1;2.0;38.5966884;-0.1441692
70886;Comunidad Valenciana;house;independent;79802.0;54.0;1;3.0;38.612269;-0.1272708
71052;Comunidad Valenciana;house;independent;79802.0;54.0;1;2.0;38.5857947;-0.1453763
73498;Comunidad Valenciana;house;independent;49450.0;58.0;1;2.0;39.4455801;-0.6446164
75662;Comunidad Valenciana;house;independent;55000.0;60.0;1;2.0;37.9859003;-0.6788233
75926;Comunidad Valenciana;house;independent;45000.0;61.0;1;2.0;38.0708619;-0.7169202
76123;Comunidad Valenciana;house;independent;40000.0;62.0;1;2.0;38.85453;-0.38312
76508;Comunidad Valenciana;house;independent;64000.0;63.0;1;2.0;38.013721;-0.6636401
76509;Comunidad Valenciana;house;independent;425000.0;63.0;1;2.0;37.9820075;-0.789487
76510;Comunidad Valenciana;house;independent;350000.0;63.0;1;2.0;37.9425442;-0.7847521
76511;Comunidad Valenciana;house;independent;490000.0;63.0;1;2.0;37.9033544;-0.7540428
76512;Comunidad Valenciana;house;independent;109950.0;63.0;1;2.0;37.8720569;-0.7595251
76513;Comunidad Valenciana;house;independent;150000.0;63.0;1;2.0;37.8997512;-0.751572
76514;Comunidad Valenciana;house;independent;165000.0;63.0;1;2.0;37.9341397;-0.7520083
76515;Comunidad Valenciana;house;independent;49000.0;63.0;1;2.0;37.945131;-0.7646537
76516;Comunidad Valenciana;house;independent;419000.0;63.0;1;2.0;37.896835;-0.7512918
76611;Comunidad Valenciana;house;independent;58000.0;63.0;1;2.0;38.342849;-0.6160543
