index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
173;Comunidad Valenciana;office;Vacio;80000.0;17.0;0;10.0;39.4668116;-0.3750836
700;Comunidad Valenciana;office;Vacio;44655.0;28.0;0;0.0;39.4985827;-0.3913229
767;Comunidad Valenciana;office;Vacio;44308.0;29.0;0;0.0;39.4985827;-0.3913229
1435;Comunidad Valenciana;office;Vacio;30688.0;34.0;0;3.0;39.9501466;-0.0677836
2137;Comunidad Valenciana;office;Vacio;100000.0;38.0;0;2.0;38.3447688;-0.4885844
2481;Comunidad Valenciana;office;Vacio;39700.0;40.0;0;3.0;38.97563;-0.20702
2804;Comunidad Valenciana;office;Vacio;30688.0;40.8;0;0.0;39.9475406;-0.0621997
2818;Comunidad Valenciana;office;Vacio;29900.0;41.0;0;3.0;38.8399953;0.1061864
2819;Comunidad Valenciana;office;Vacio;25000.0;41.0;0;3.0;39.9873968;-0.0347848
3324;Comunidad Valenciana;office;Vacio;22800.0;45.0;0;4.0;38.714394;0.048771
3440;Comunidad Valenciana;office;Vacio;81000.0;45.0;0;2.0;38.5314;-0.1649
3535;Comunidad Valenciana;office;Vacio;80000.0;45.0;0;4.0;39.4690458;-0.3811293
4065;Comunidad Valenciana;office;Vacio;30000.0;49.0;0;3.0;39.9501466;-0.0677836
4310;Comunidad Valenciana;office;Vacio;91000.0;50.0;0;2.0;38.5318;-0.1636
4387;Comunidad Valenciana;office;Vacio;150000.0;50.0;0;2.0;39.4688705;-0.3688732
4775;Comunidad Valenciana;office;Vacio;30000.0;52.0;0;3.0;39.952122;-0.0687892
4920;Comunidad Valenciana;office;Vacio;50000.0;53.0;0;3.0;39.4709757;-0.3788109
5671;Comunidad Valenciana;office;Vacio;52200.0;58.0;0;3.0;39.4609385;-0.4110035
5721;Comunidad Valenciana;office;Vacio;30000.0;58.8;0;0.0;39.9475406;-0.0621997
5888;Comunidad Valenciana;office;Vacio;65000.0;60.0;0;2.0;39.422057;-0.400321
6003;Comunidad Valenciana;office;Vacio;53630.0;60.0;0;2.0;39.4741375;-0.3805813
6126;Comunidad Valenciana;office;Vacio;240000.0;60.0;0;6.0;39.4642393;-0.3732248
6433;Comunidad Valenciana;office;Vacio;82000.0;62.0;0;3.0;39.6642221;-0.231756
6524;Comunidad Valenciana;office;Vacio;100000.0;63.0;0;3.0;39.4647275;-0.3831078
6564;Comunidad Valenciana;office;Vacio;38000.0;64.0;0;3.0;39.9873968;-0.0347848
6565;Comunidad Valenciana;office;Vacio;38000.0;64.0;0;4.0;39.9873968;-0.0347848
6829;Comunidad Valenciana;office;Vacio;120000.0;65.0;0;5.0;39.4628954;-0.3642728
7185;Comunidad Valenciana;office;Vacio;100100.0;68.0;0;7.0;39.4814737;-0.3897948
7287;Comunidad Valenciana;office;Vacio;99220.0;68.0;0;2.0;39.4855964;-0.3641257
