index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
4;Comunidad Valenciana;premise;Vacio;2400.0;4.0;0;1.0;39.5028511;-0.4409304
5;Comunidad Valenciana;premise;Vacio;2500.0;4.0;0;1.0;39.487308;-0.393113
7;Comunidad Valenciana;premise;Vacio;2500.0;5.0;0;1.0;39.9854344;-0.0461296
40;Comunidad Valenciana;premise;Vacio;30000.0;11.0;0;2.0;39.475229;-0.3539361
120;Comunidad Valenciana;premise;Vacio;16000.0;15.0;0;2.0;39.4589923;-0.3634058
207;Comunidad Valenciana;premise;Vacio;25600.0;19.0;0;0.0;39.4945191;-0.368085
225;Comunidad Valenciana;premise;Vacio;16900.0;19.0;0;2.0;38.3918115;-0.5269953
246;Comunidad Valenciana;premise;Vacio;16000.0;20.0;0;3.0;39.8906602;-0.0819594
247;Comunidad Valenciana;premise;Vacio;18000.0;20.0;0;3.0;39.1151027;-0.52007
261;Comunidad Valenciana;premise;Vacio;20500.0;20.0;0;2.0;39.58251;-0.27676
295;Comunidad Valenciana;premise;Vacio;20000.0;20.0;0;2.0;38.3528929;-0.4810694
331;Comunidad Valenciana;premise;Vacio;11000.0;22.0;0;0.0;39.4943445;-0.368264
369;Comunidad Valenciana;premise;Vacio;129232.0;23.0;0;2.0;38.08762;-0.74695
408;Comunidad Valenciana;premise;Vacio;48000.0;24.0;0;3.0;39.2289458;-0.52563
413;Comunidad Valenciana;premise;Vacio;38000.0;24.0;0;3.0;39.4347632;-0.4686419
482;Comunidad Valenciana;premise;Vacio;55000.0;25.0;0;0.0;38.5407303;-0.1294533
587;Comunidad Valenciana;premise;Vacio;11000.0;25.0;0;2.0;39.4958445;-0.370264
592;Comunidad Valenciana;premise;Vacio;22500.0;26.0;0;2.0;38.634971;-0.865651
609;Comunidad Valenciana;premise;Vacio;19000.0;26.0;0;3.0;39.8900602;-0.0856594
611;Comunidad Valenciana;premise;Vacio;19000.0;26.0;0;3.0;39.8914602;-0.0819594
635;Comunidad Valenciana;premise;Vacio;35000.0;26.0;0;2.0;39.4719883;-0.3436677
659;Comunidad Valenciana;premise;Vacio;25000.0;27.0;0;0.0;39.1462;-0.42684
691;Comunidad Valenciana;premise;Vacio;19000.0;27.0;0;2.0;39.4715129;-0.393841
696;Comunidad Valenciana;premise;Vacio;21000.0;28.0;0;2.0;39.4989137;-0.3715076
778;Comunidad Valenciana;premise;Vacio;40000.0;29.0;0;3.0;39.1451656;-0.4340024
780;Comunidad Valenciana;premise;Vacio;25000.0;29.0;0;2.0;39.15359;-0.44136
788;Comunidad Valenciana;premise;Vacio;60000.0;29.0;0;2.0;39.4809341;-0.3625039
830;Comunidad Valenciana;premise;Vacio;25000.0;30.0;0;3.0;38.6472812;0.0554891
878;Comunidad Valenciana;premise;Vacio;21000.0;30.0;0;3.0;39.8935602;-0.0819594
886;Comunidad Valenciana;premise;Vacio;80000.0;30.0;0;3.0;39.8894672;-0.0921959
958;Comunidad Valenciana;premise;Vacio;16000.0;30.0;0;2.0;38.3564874;-0.4842413
964;Comunidad Valenciana;premise;Vacio;38000.0;30.0;0;2.0;39.5261306;-0.3540327
977;Comunidad Valenciana;premise;Vacio;30000.0;30.0;0;2.0;39.4967108;-0.3959013
1097;Comunidad Valenciana;premise;Vacio;64000.0;30.0;0;2.0;38.2692345;-0.7041182
1128;Comunidad Valenciana;premise;Vacio;68698.0;31.0;0;3.0;38.5327748;-0.1610001
1189;Comunidad Valenciana;premise;Vacio;30000.0;32.0;0;3.0;39.7529376;-0.2282074
1229;Comunidad Valenciana;premise;Vacio;24000.0;32.0;0;2.0;39.4596799;-0.3902549
1233;Comunidad Valenciana;premise;Vacio;140000.0;32.0;0;2.0;39.4698299;-0.3779736
1282;Comunidad Valenciana;premise;Vacio;19000.0;33.0;0;0.0;38.9208003;-0.1189492
