index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
5664;Comunidad de Madrid;flat;duplex;168000.0;58.0;0;Vacio;40.4867296;-3.673396
6062;Comunidad de Madrid;flat;duplex;120000.0;60.0;0;Vacio;40.542684;-3.6258434
6074;Comunidad de Madrid;flat;duplex;180000.0;60.0;0;Vacio;40.4885296;-3.673396
8233;Comunidad de Madrid;flat;duplex;160000.0;74.0;0;Vacio;40.4396168;-3.6267525
10933;Comunidad de Madrid;flat;duplex;150000.0;90.0;0;Vacio;40.4476031;-3.5786192
11015;Comunidad de Madrid;flat;duplex;360000.0;91.0;0;Vacio;40.4346669;-3.6829126
13508;Comunidad de Madrid;flat;duplex;169000.0;110.0;0;Vacio;40.4381302;-3.6191953
13680;Comunidad de Madrid;flat;duplex;375000.0;112.0;0;Vacio;40.4409467;-3.6427713
14321;Comunidad de Madrid;flat;duplex;275000.0;120.0;0;Vacio;40.4131884;-3.7151154
14564;Comunidad de Madrid;flat;duplex;199000.0;120.0;0;Vacio;40.4380478;-3.6094367
14717;Comunidad de Madrid;flat;duplex;175000.0;121.0;0;Vacio;40.4874488;-3.6693545
15680;Comunidad de Madrid;flat;duplex;115000.0;132.0;0;2.0;40.4258854;-3.5325602
16421;Comunidad de Madrid;flat;duplex;210000.0;140.0;0;Vacio;40.5432827;-3.899957
18167;Comunidad de Madrid;flat;duplex;280000.0;160.0;0;Vacio;40.4404889;-3.6512689
18641;Comunidad de Madrid;flat;duplex;207000.0;165.0;0;Vacio;40.4374975;-3.6195493
22340;Comunidad de Madrid;flat;duplex;699000.0;227.0;0;Vacio;40.4347922;-3.6671776
24296;Comunidad de Madrid;flat;duplex;1800000.0;285.0;0;Vacio;40.424017;-3.7109533
27246;Comunidad de Madrid;flat;duplex;2970000.0;446.0;0;8.0;40.4208078;-3.6833613
30704;Comunidad de Madrid;flat;duplex;1999000.0;1179.0;0;Vacio;40.4541044;-3.705665
60793;Comunidad de Madrid;flat;duplex;185000.0;22.0;1;6.0;40.4078742;-3.7030872
60829;Comunidad de Madrid;flat;duplex;150000.0;25.0;1;7.0;40.403116;-3.678056
61874;Comunidad de Madrid;flat;duplex;224469.0;36.0;1;5.0;40.4020138;-3.6689896
62213;Comunidad de Madrid;flat;duplex;183000.0;38.0;1;Vacio;40.4309444;-3.7122205
63340;Comunidad de Madrid;flat;duplex;245000.0;40.0;1;5.0;40.4176528;-3.6961926
63902;Comunidad de Madrid;flat;duplex;106700.0;42.0;1;3.0;40.6603994;-4.0233105
63988;Comunidad de Madrid;flat;duplex;125000.0;42.0;1;Vacio;40.464405;-3.7002197
64027;Comunidad de Madrid;flat;duplex;241000.0;43.0;1;5.0;40.4616107;-3.7088119
64092;Comunidad de Madrid;flat;duplex;111000.0;43.0;1;3.0;40.4480374;-3.6746936
65438;Comunidad de Madrid;flat;duplex;73000.0;45.0;1;2.0;40.4495503;-3.6996196
65515;Comunidad de Madrid;flat;duplex;148000.0;45.0;1;2.0;40.4973744;-3.6875514
68077;Comunidad de Madrid;flat;duplex;65000.0;50.0;1;3.0;40.5989639;-3.4983469
68796;Comunidad de Madrid;flat;duplex;106700.0;50.0;1;3.0;40.6583994;-4.0214105
68809;Comunidad de Madrid;flat;duplex;67000.0;50.0;1;3.0;40.4070587;-3.3598208
68932;Comunidad de Madrid;flat;duplex;140000.0;50.0;1;2.0;40.4095718;-3.735183
69057;Comunidad de Madrid;flat;duplex;175000.0;50.0;1;6.0;40.4148536;-3.7081333
69229;Comunidad de Madrid;flat;duplex;116000.0;50.0;1;Vacio;40.4663574;-3.7063787
69804;Comunidad de Madrid;flat;duplex;115400.0;51.0;1;Vacio;40.3692616;-3.7542486
71208;Comunidad de Madrid;flat;duplex;45650.0;54.0;1;4.0;40.24411;-3.31691
71209;Comunidad de Madrid;flat;duplex;145000.0;54.0;1;Vacio;40.4665607;-3.70677
72060;Comunidad de Madrid;flat;duplex;149000.0;55.0;1;Vacio;40.3945489;-3.7308853
72214;Comunidad de Madrid;flat;duplex;41500.0;55.0;1;4.0;40.24663;-3.31412
72577;Comunidad de Madrid;flat;duplex;140000.0;55.0;1;Vacio;40.4089112;-3.7051875
72801;Comunidad de Madrid;flat;duplex;58400.0;56.0;1;0.0;40.5969122;-3.4962212
72970;Comunidad de Madrid;flat;duplex;48510.0;56.0;1;4.0;40.24601;-3.31341
72974;Comunidad de Madrid;flat;duplex;58400.0;56.0;1;3.0;40.5972035;-3.4952759
73594;Comunidad de Madrid;flat;duplex;139000.0;58.0;1;5.0;40.5410345;-3.6233501
74203;Comunidad de Madrid;flat;duplex;189000.0;59.0;1;Vacio;40.411195;-3.7180148
74836;Comunidad de Madrid;flat;duplex;100000.0;60.0;1;2.0;40.4037361;-3.6945085
74987;Comunidad de Madrid;flat;duplex;200000.0;60.0;1;5.0;40.48056;-3.8675
75270;Comunidad de Madrid;flat;duplex;280000.0;60.0;1;6.0;40.4076565;-3.6995162
76652;Comunidad de Madrid;flat;duplex;250000.0;64.0;1;Vacio;40.4611782;-3.6974602
76814;Comunidad de Madrid;flat;duplex;124000.0;64.0;1;3.0;40.4655277;-3.7054839
77067;Comunidad de Madrid;flat;duplex;170000.0;65.0;1;3.0;40.6079622;-3.581234
