index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
32556;Comunidad de Madrid;garage;Vacio;41300.0;0.0;0;0.0;40.4244086;-3.7017852
32557;Comunidad de Madrid;garage;Vacio;41300.0;0.0;0;0.0;40.4244086;-3.7017852
32558;Comunidad de Madrid;garage;Vacio;41300.0;0.0;0;0.0;40.4244086;-3.7017852
32559;Comunidad de Madrid;garage;Vacio;41300.0;0.0;0;0.0;40.4244086;-3.7017852
32560;Comunidad de Madrid;garage;Vacio;41300.0;0.0;0;0.0;40.4244086;-3.7017852
32561;Comunidad de Madrid;garage;Vacio;41300.0;0.0;0;0.0;40.4244086;-3.7017852
32562;Comunidad de Madrid;garage;Vacio;41300.0;0.0;0;0.0;40.4244086;-3.7017852
32563;Comunidad de Madrid;garage;Vacio;41300.0;0.0;0;0.0;40.4244086;-3.7017852
32564;Comunidad de Madrid;garage;Vacio;41300.0;0.0;0;0.0;40.4244086;-3.7017852
32565;Comunidad de Madrid;garage;Vacio;41300.0;0.0;0;0.0;40.4244086;-3.7017852
32566;Comunidad de Madrid;garage;Vacio;41300.0;0.0;0;0.0;40.4244086;-3.7017852
32567;Comunidad de Madrid;garage;Vacio;41300.0;0.0;0;0.0;40.4244086;-3.7017852
32568;Comunidad de Madrid;garage;Vacio;41300.0;0.0;0;0.0;40.4244086;-3.7017852
32569;Comunidad de Madrid;garage;Vacio;41300.0;0.0;0;0.0;40.4244086;-3.7017852
32570;Comunidad de Madrid;garage;Vacio;41300.0;0.0;0;0.0;40.4244086;-3.7017852
32571;Comunidad de Madrid;garage;Vacio;41300.0;0.0;0;0.0;40.4244086;-3.7017852
32572;Comunidad de Madrid;garage;Vacio;41300.0;0.0;0;0.0;40.4244086;-3.7017852
32573;Comunidad de Madrid;garage;Vacio;41300.0;0.0;0;0.0;40.4244086;-3.7017852
32574;Comunidad de Madrid;garage;Vacio;41300.0;0.0;0;0.0;40.4244086;-3.7017852
32575;Comunidad de Madrid;garage;Vacio;41300.0;0.0;0;0.0;40.4244086;-3.7017852
32576;Comunidad de Madrid;garage;Vacio;41300.0;0.0;0;0.0;40.4244086;-3.7017852
32577;Comunidad de Madrid;garage;Vacio;41300.0;0.0;0;0.0;40.4244086;-3.7017852
32578;Comunidad de Madrid;garage;Vacio;41300.0;0.0;0;0.0;40.4244086;-3.7017852
32579;Comunidad de Madrid;garage;Vacio;41300.0;0.0;0;0.0;40.4244086;-3.7017852
32580;Comunidad de Madrid;garage;Vacio;41300.0;0.0;0;0.0;40.4244086;-3.7017852
32581;Comunidad de Madrid;garage;Vacio;41300.0;0.0;0;0.0;40.4244086;-3.7017852
32582;Comunidad de Madrid;garage;Vacio;41300.0;0.0;0;0.0;40.4244086;-3.7017852
32583;Comunidad de Madrid;garage;Vacio;41300.0;0.0;0;0.0;40.4244086;-3.7017852
32584;Comunidad de Madrid;garage;Vacio;41300.0;0.0;0;0.0;40.4244086;-3.7017852
32598;Comunidad de Madrid;garage;Vacio;7200.0;0.0;0;0.0;40.5384525;-3.6334173
32599;Comunidad de Madrid;garage;Vacio;6000.0;0.0;0;0.0;40.6418021;-3.9900181
32600;Comunidad de Madrid;garage;Vacio;48000.0;0.0;0;0.0;40.4443332;-3.670131
32601;Comunidad de Madrid;garage;Vacio;18500.0;0.0;0;0.0;40.3932313;-3.7211593
32602;Comunidad de Madrid;garage;Vacio;4000.0;0.0;0;0.0;40.3868591;-3.7000599
32616;Comunidad de Madrid;garage;Vacio;10000.0;0.0;0;0.0;40.3069763;-3.8697291
32645;Comunidad de Madrid;garage;Vacio;18000.0;0.0;0;0.0;40.3823783;-3.4103838
32646;Comunidad de Madrid;garage;Vacio;17000.0;0.0;0;0.0;40.3823783;-3.4103838
32647;Comunidad de Madrid;garage;Vacio;16000.0;0.0;0;0.0;40.3823783;-3.4103838
32648;Comunidad de Madrid;garage;Vacio;60000.0;0.0;0;0.0;40.4355455;-3.6932175
32689;Comunidad de Madrid;garage;Vacio;25000.0;0.0;0;0.0;40.5451631;-3.6389317
32706;Comunidad de Madrid;garage;Vacio;5000.0;0.0;0;0.0;40.2045429;-3.5796995
32710;Comunidad de Madrid;garage;Vacio;5000.0;0.0;0;0.0;40.2034429;-3.5836995
32716;Comunidad de Madrid;garage;Vacio;250000.0;0.0;0;0.0;40.4863479;-3.9630492
32720;Comunidad de Madrid;garage;Vacio;5000.0;0.0;0;0.0;40.4612508;-3.4693319
32762;Comunidad de Madrid;garage;Vacio;5000.0;0.0;0;0.0;40.2027429;-3.5836995
32764;Comunidad de Madrid;garage;Vacio;5000.0;0.0;0;0.0;40.2050429;-3.5824995
32765;Comunidad de Madrid;garage;Vacio;5000.0;0.0;0;0.0;40.2012429;-3.5796995
32771;Comunidad de Madrid;garage;Vacio;5000.0;0.0;0;0.0;40.2010429;-3.5801995
32774;Comunidad de Madrid;garage;Vacio;5000.0;0.0;0;0.0;40.2010429;-3.5807995
32775;Comunidad de Madrid;garage;Vacio;5000.0;0.0;0;0.0;40.2050429;-3.5813995
32776;Comunidad de Madrid;garage;Vacio;5000.0;0.0;0;0.0;40.2027429;-3.5796995
32779;Comunidad de Madrid;garage;Vacio;10000.0;0.0;0;0.0;40.5061065;-3.53027
32791;Comunidad de Madrid;garage;Vacio;5000.0;0.0;0;0.0;40.2050429;-3.5807995
32815;Comunidad de Madrid;garage;Vacio;10000.0;0.0;0;0.0;40.5028065;-3.53357
32816;Comunidad de Madrid;garage;Vacio;5000.0;0.0;0;0.0;40.2033429;-3.5796995
32819;Comunidad de Madrid;garage;Vacio;5000.0;0.0;0;0.0;40.2034429;-3.5836995
32820;Comunidad de Madrid;garage;Vacio;5000.0;0.0;0;0.0;40.2042429;-3.5836995
32821;Comunidad de Madrid;garage;Vacio;5000.0;0.0;0;0.0;40.2012429;-3.5796995
32822;Comunidad de Madrid;garage;Vacio;5000.0;0.0;0;0.0;40.2050429;-3.5815995
32823;Comunidad de Madrid;garage;Vacio;5000.0;0.0;0;0.0;40.2028429;-3.5836995
32826;Comunidad de Madrid;garage;Vacio;5000.0;0.0;0;0.0;40.2014429;-3.5796995
32828;Comunidad de Madrid;garage;Vacio;5000.0;0.0;0;0.0;40.2022429;-3.5836995
32829;Comunidad de Madrid;garage;Vacio;7500.0;0.0;0;0.0;40.2010429;-3.5815995
32834;Comunidad de Madrid;garage;Vacio;5000.0;0.0;0;0.0;40.2050429;-3.5799995
32835;Comunidad de Madrid;garage;Vacio;5000.0;0.0;0;0.0;40.2050429;-3.5825995
32842;Comunidad de Madrid;garage;Vacio;5000.0;0.0;0;0.0;40.2023429;-3.5836995
32846;Comunidad de Madrid;garage;Vacio;5000.0;0.0;0;0.0;40.2050429;-3.5828995
32847;Comunidad de Madrid;garage;Vacio;5000.0;0.0;0;0.0;40.2050429;-3.5817995
32864;Comunidad de Madrid;garage;Vacio;5000.0;0.0;0;0.0;40.2041429;-3.5796995
32871;Comunidad de Madrid;garage;Vacio;5000.0;0.0;0;0.0;40.2016429;-3.5836995
32872;Comunidad de Madrid;garage;Vacio;5000.0;0.0;0;0.0;40.2050429;-3.5820995
32888;Comunidad de Madrid;garage;Vacio;5000.0;0.0;0;0.0;40.2016429;-3.5796995
32891;Comunidad de Madrid;garage;Vacio;5000.0;0.0;0;0.0;40.2029429;-3.5836995
32892;Comunidad de Madrid;garage;Vacio;5000.0;0.0;0;0.0;40.2026429;-3.5836995
32893;Comunidad de Madrid;garage;Vacio;5000.0;0.0;0;0.0;40.2050429;-3.5808995
32894;Comunidad de Madrid;garage;Vacio;5000.0;0.0;0;0.0;40.2010429;-3.5831995
32898;Comunidad de Madrid;garage;Vacio;5000.0;0.0;0;0.0;40.2031429;-3.5796995
32907;Comunidad de Madrid;garage;Vacio;10000.0;0.0;0;0.0;40.5028065;-3.53067
32908;Comunidad de Madrid;garage;Vacio;5000.0;0.0;0;0.0;40.2014429;-3.5836995
32913;Comunidad de Madrid;garage;Vacio;5000.0;0.0;0;0.0;40.2010429;-3.5804995
32915;Comunidad de Madrid;garage;Vacio;5000.0;0.0;0;0.0;40.2019429;-3.5796995
32922;Comunidad de Madrid;garage;Vacio;5000.0;0.0;0;0.0;40.2010429;-3.5824995
32941;Comunidad de Madrid;garage;Vacio;603000.0;0.0;0;0.0;40.4064102;-3.7085119
32955;Comunidad de Madrid;garage;Vacio;9000.0;0.0;0;0.0;40.5492412;-3.3774021
33013;Comunidad de Madrid;garage;Vacio;20000.0;0.0;0;0.0;40.4578061;-3.6241138
33038;Comunidad de Madrid;garage;Vacio;8000.0;0.0;0;0.0;40.5513;-3.37625
33067;Comunidad de Madrid;garage;Vacio;6000.0;0.0;0;0.0;40.2970604;-3.4319818
33093;Comunidad de Madrid;garage;Vacio;7500.0;0.0;0;0.0;40.1596317;-3.6234825
33098;Comunidad de Madrid;garage;Vacio;20000.0;0.0;0;0.0;40.4618061;-3.6235138
33129;Comunidad de Madrid;garage;Vacio;9000.0;0.0;0;0.0;40.5538009;-3.3255529
33149;Comunidad de Madrid;garage;Vacio;10000.0;0.0;0;0.0;40.5504;-3.38025
33156;Comunidad de Madrid;garage;Vacio;9000.0;0.0;0;0.0;40.5531009;-3.3273529
33188;Comunidad de Madrid;garage;Vacio;9000.0;0.0;0;0.0;40.5452412;-3.3786021
33200;Comunidad de Madrid;garage;Vacio;5000.0;0.0;0;0.0;40.4616508;-3.4653319
33221;Comunidad de Madrid;garage;Vacio;10000.0;0.0;0;0.0;40.5068065;-3.53157
33275;Comunidad de Madrid;garage;Vacio;40000.0;0.0;0;0.0;40.4309622;-3.6722338
33276;Comunidad de Madrid;garage;Vacio;21000.0;0.0;0;0.0;40.5052263;-3.655894
33277;Comunidad de Madrid;garage;Vacio;28000.0;0.0;0;0.0;40.5090263;-3.652794
33278;Comunidad de Madrid;garage;Vacio;21000.0;0.0;0;0.0;40.5092263;-3.654194
33279;Comunidad de Madrid;garage;Vacio;28000.0;0.0;0;0.0;40.5052263;-3.654194
33280;Comunidad de Madrid;garage;Vacio;75000.0;0.0;0;0.0;40.4260179;-3.682792
33366;Comunidad de Madrid;garage;Vacio;468000.0;0.0;0;0.0;40.5350099;-3.6471731
33368;Comunidad de Madrid;garage;Vacio;12000.0;0.0;0;0.0;40.3732678;-3.7520359
33369;Comunidad de Madrid;garage;Vacio;9500.0;0.0;0;0.0;40.3996657;-3.6694492
33380;Comunidad de Madrid;garage;Vacio;7700.0;0.0;0;0.0;40.4496699;-3.5951786
33381;Comunidad de Madrid;garage;Vacio;6600.0;0.0;0;0.0;40.3241;-3.7302
33382;Comunidad de Madrid;garage;Vacio;6600.0;0.0;0;0.0;40.3271;-3732.0
33383;Comunidad de Madrid;garage;Vacio;6600.0;0.0;0;0.0;40.3255;-3728.0
33384;Comunidad de Madrid;garage;Vacio;6600.0;0.0;0;0.0;40.3252;-3728.0
33385;Comunidad de Madrid;garage;Vacio;8800.0;0.0;0;0.0;40641.0;-4012.0
33386;Comunidad de Madrid;garage;Vacio;10450.0;0.0;0;0.0;40.3871;-3.7207
33387;Comunidad de Madrid;garage;Vacio;11000.0;0.0;0;0.0;40.3871;-3.7193
33388;Comunidad de Madrid;garage;Vacio;10450.0;0.0;0;0.0;40.3871;-3.7187
33389;Comunidad de Madrid;garage;Vacio;8800.0;0.0;0;0.0;40.6407;-4012.0
33390;Comunidad de Madrid;garage;Vacio;8800.0;0.0;0;0.0;40.6413;-4012.0
33391;Comunidad de Madrid;garage;Vacio;10450.0;0.0;0;0.0;40.3911;-3.7199
33392;Comunidad de Madrid;garage;Vacio;10450.0;0.0;0;0.0;40.3895;-3718.0
33393;Comunidad de Madrid;garage;Vacio;11550.0;0.0;0;0.0;40.3874;-3722.0
33412;Comunidad de Madrid;garage;Vacio;17000.0;0.0;0;0.0;40.5547476;-3.6497162
33413;Comunidad de Madrid;garage;Vacio;17000.0;0.0;0;0.0;40.5575476;-3.6479162
33414;Comunidad de Madrid;garage;Vacio;15000.0;0.0;0;0.0;40.5572476;-3.6519162
33415;Comunidad de Madrid;garage;Vacio;17000.0;0.0;0;0.0;40.5547476;-3.6506162
33416;Comunidad de Madrid;garage;Vacio;17000.0;0.0;0;0.0;40.5555476;-3.6519162
33417;Comunidad de Madrid;garage;Vacio;17000.0;0.0;0;0.0;40.5553476;-3.6519162
33418;Comunidad de Madrid;garage;Vacio;17000.0;0.0;0;0.0;40.5587476;-3.6510162
33419;Comunidad de Madrid;garage;Vacio;17000.0;0.0;0;0.0;40.5566476;-3.6519162
33420;Comunidad de Madrid;garage;Vacio;15000.0;0.0;0;0.0;40.5580476;-3.6479162
33421;Comunidad de Madrid;garage;Vacio;15000.0;0.0;0;0.0;40.5561476;-3.6519162
33422;Comunidad de Madrid;garage;Vacio;15000.0;0.0;0;0.0;40.5587476;-3.6512162
33423;Comunidad de Madrid;garage;Vacio;17000.0;0.0;0;0.0;40.5547476;-3.6480162
33424;Comunidad de Madrid;garage;Vacio;17000.0;0.0;0;0.0;40.5574476;-3.6479162
33425;Comunidad de Madrid;garage;Vacio;15000.0;0.0;0;0.0;40.5587476;-3.6503162
33426;Comunidad de Madrid;garage;Vacio;17000.0;0.0;0;0.0;40.5547476;-3.6491162
33427;Comunidad de Madrid;garage;Vacio;15000.0;0.0;0;0.0;40.5547476;-3.6498162
33428;Comunidad de Madrid;garage;Vacio;15000.0;0.0;0;0.0;40.5587476;-3.6511162
33429;Comunidad de Madrid;garage;Vacio;15000.0;0.0;0;0.0;40.5547476;-3.6517162
33430;Comunidad de Madrid;garage;Vacio;15000.0;0.0;0;0.0;40.5587476;-3.6483162
33431;Comunidad de Madrid;garage;Vacio;17000.0;0.0;0;0.0;40.5547476;-3.6500162
33432;Comunidad de Madrid;garage;Vacio;15000.0;0.0;0;0.0;40.5553476;-3.6479162
33433;Comunidad de Madrid;garage;Vacio;17000.0;0.0;0;0.0;40.5585476;-3.6519162
33434;Comunidad de Madrid;garage;Vacio;15000.0;0.0;0;0.0;40.5566476;-3.6479162
33435;Comunidad de Madrid;garage;Vacio;17000.0;0.0;0;0.0;40.5557476;-3.6519162
33436;Comunidad de Madrid;garage;Vacio;17000.0;0.0;0;0.0;40.5547476;-3.6508162
33437;Comunidad de Madrid;garage;Vacio;15000.0;0.0;0;0.0;40.5547476;-3.6511162
33438;Comunidad de Madrid;garage;Vacio;7500.0;0.0;0;0.0;40.5587476;-3.6516162
33439;Comunidad de Madrid;garage;Vacio;17000.0;0.0;0;0.0;40.5547476;-3.6500162
33440;Comunidad de Madrid;garage;Vacio;17000.0;0.0;0;0.0;40.5587476;-3.6486162
33441;Comunidad de Madrid;garage;Vacio;15000.0;0.0;0;0.0;40.5560476;-3.6479162
33442;Comunidad de Madrid;garage;Vacio;15000.0;0.0;0;0.0;40.5565476;-3.6479162
33443;Comunidad de Madrid;garage;Vacio;15000.0;0.0;0;0.0;40.5561476;-3.6519162
33444;Comunidad de Madrid;garage;Vacio;15000.0;0.0;0;0.0;40.5582476;-3.6519162
33445;Comunidad de Madrid;garage;Vacio;15000.0;0.0;0;0.0;40.5547476;-3.6492162
33446;Comunidad de Madrid;garage;Vacio;15000.0;0.0;0;0.0;40.5571476;-3.6479162
33447;Comunidad de Madrid;garage;Vacio;15000.0;0.0;0;0.0;40.5560476;-3.6479162
33448;Comunidad de Madrid;garage;Vacio;15000.0;0.0;0;0.0;40.5568476;-3.6519162
33449;Comunidad de Madrid;garage;Vacio;17000.0;0.0;0;0.0;40.5574476;-3.6479162
33756;Comunidad de Madrid;garage;Vacio;9000.0;0.0;0;0.0;40.51504;-3.92674
33757;Comunidad de Madrid;garage;Vacio;9000.0;0.0;0;0.0;40.51624;-3.93074
33758;Comunidad de Madrid;garage;Vacio;6000.0;0.0;0;0.0;40.51484;-3.92784
33759;Comunidad de Madrid;garage;Vacio;6000.0;0.0;0;0.0;40.51644;-3.93074
33760;Comunidad de Madrid;garage;Vacio;9000.0;0.0;0;0.0;40.51484;-3.92884
33761;Comunidad de Madrid;garage;Vacio;9000.0;0.0;0;0.0;40.51884;-3.92904
33762;Comunidad de Madrid;garage;Vacio;6000.0;0.0;0;0.0;40.51484;-3.93034
33763;Comunidad de Madrid;garage;Vacio;6000.0;0.0;0;0.0;40.51634;-3.93074
33764;Comunidad de Madrid;garage;Vacio;6000.0;0.0;0;0.0;40.51884;-3.92804
33765;Comunidad de Madrid;garage;Vacio;7000.0;0.0;0;0.0;40.51534;-3.93074
33766;Comunidad de Madrid;garage;Vacio;7000.0;0.0;0;0.0;40.51484;-3.92744
33767;Comunidad de Madrid;garage;Vacio;6000.0;0.0;0;0.0;40.51484;-3.92914
33768;Comunidad de Madrid;garage;Vacio;9000.0;0.0;0;0.0;40.51694;-3.92674
33769;Comunidad de Madrid;garage;Vacio;9000.0;0.0;0;0.0;40.51654;-3.92674
33770;Comunidad de Madrid;garage;Vacio;6000.0;0.0;0;0.0;40.51544;-3.93074
33771;Comunidad de Madrid;garage;Vacio;6000.0;0.0;0;0.0;40.51484;-3.92924
33772;Comunidad de Madrid;garage;Vacio;8000.0;0.0;0;0.0;40.51834;-3.92674
33773;Comunidad de Madrid;garage;Vacio;7000.0;0.0;0;0.0;40.51484;-3.92784
33774;Comunidad de Madrid;garage;Vacio;6000.0;0.0;0;0.0;40.51484;-3.92914
33775;Comunidad de Madrid;garage;Vacio;6000.0;0.0;0;0.0;40.51884;-3.92894
33776;Comunidad de Madrid;garage;Vacio;6000.0;0.0;0;0.0;40.51634;-3.93074
33777;Comunidad de Madrid;garage;Vacio;7000.0;0.0;0;0.0;40.51484;-3.93014
33778;Comunidad de Madrid;garage;Vacio;6000.0;0.0;0;0.0;40.51564;-3.93074
33779;Comunidad de Madrid;garage;Vacio;6000.0;0.0;0;0.0;40.51794;-3.92674
33780;Comunidad de Madrid;garage;Vacio;8000.0;0.0;0;0.0;40.51844;-3.92674
33781;Comunidad de Madrid;garage;Vacio;8000.0;0.0;0;0.0;40.51534;-3.92674
33782;Comunidad de Madrid;garage;Vacio;7000.0;0.0;0;0.0;40.51484;-3.92864
33783;Comunidad de Madrid;garage;Vacio;5000.0;0.0;0;0.0;40.51754;-3.93074
33786;Comunidad de Madrid;garage;Vacio;9000.0;0.0;0;0.0;40.0286841;-3.5887478
33787;Comunidad de Madrid;garage;Vacio;9000.0;0.0;0;0.0;40.0310841;-3.5886478
33788;Comunidad de Madrid;garage;Vacio;2000.0;0.0;0;0.0;40.0303841;-3.5886478
33789;Comunidad de Madrid;garage;Vacio;9000.0;0.0;0;0.0;40.0326841;-3.5920478
33790;Comunidad de Madrid;garage;Vacio;9000.0;0.0;0;0.0;40.0326841;-3.5911478
33791;Comunidad de Madrid;garage;Vacio;9000.0;0.0;0;0.0;40.0286841;-3.5899478
33792;Comunidad de Madrid;garage;Vacio;2000.0;0.0;0;0.0;40.0286841;-3.5891478
33793;Comunidad de Madrid;garage;Vacio;9000.0;0.0;0;0.0;40.0288841;-3.5886478
33794;Comunidad de Madrid;garage;Vacio;9000.0;0.0;0;0.0;40.0326841;-3.5924478
33795;Comunidad de Madrid;garage;Vacio;9000.0;0.0;0;0.0;40.0286841;-3.5889478
33796;Comunidad de Madrid;garage;Vacio;9000.0;0.0;0;0.0;40.0286841;-3.5888478
34307;Comunidad de Madrid;garage;Vacio;6000.0;0.0;0;0.0;40.1702624;-3.8212588
34402;Comunidad de Madrid;garage;Vacio;15000.0;0.0;0;0.0;40.441192;-3.5823617
34403;Comunidad de Madrid;garage;Vacio;15000.0;0.0;0;0.0;40.445192;-3.5807617
