index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
68228;Comunidad de Madrid;house;Vacio;124800.0;50.0;1;0.0;40.6304673;-3.4781452
81689;Comunidad de Madrid;house;Vacio;120500.0;95.0;1;0.0;40.5553482;-3.3257633
83029;Comunidad de Madrid;house;Vacio;3000000.0;750.0;1;0.0;40.5217399;-3.6325644
114721;Comunidad de Madrid;house;Vacio;85000.0;71.0;2;0.0;40.4470013;-3.6950999
150843;Comunidad de Madrid;house;Vacio;120000.0;97.0;2;0.0;40.4202412;-3.166472
154976;Comunidad de Madrid;house;Vacio;120000.0;104.0;2;5.0;40.3699284;-3.2237703
156186;Comunidad de Madrid;house;Vacio;440000.0;108.0;2;0.0;40.4488876;-3.6705708
156382;Comunidad de Madrid;house;Vacio;123420.0;109.0;2;0.0;40.369563;-3.4850436
164621;Comunidad de Madrid;house;Vacio;835000.0;180.0;2;0.0;40.5065371;-3.6371188
165570;Comunidad de Madrid;house;Vacio;850000.0;240.0;2;0.0;40.525655;-3.6455005
166058;Comunidad de Madrid;house;Vacio;149000.0;428.0;2;0.0;40.32242;-3.17114
210803;Comunidad de Madrid;house;Vacio;62800.0;90.0;3;0.0;40.3777286;-3.6623976
212230;Comunidad de Madrid;house;Vacio;480000.0;90.0;3;0.0;40.4444284;-3.803998
213403;Comunidad de Madrid;house;Vacio;248000.0;90.0;3;0.0;40.2867261;-3.794884
226424;Comunidad de Madrid;house;Vacio;70306.0;96.0;3;0.0;40.546796;-3.3241425
231104;Comunidad de Madrid;house;Vacio;1420000.0;100.0;3;0.0;40.5052625;-3.6448233
231426;Comunidad de Madrid;house;Vacio;125000.0;100.0;3;0.0;40.4409496;-3.2910811
234069;Comunidad de Madrid;house;Vacio;140000.0;100.0;3;2.0;40.475873;-3.5776525
239127;Comunidad de Madrid;house;Vacio;210000.0;102.0;3;0.0;40.4505959;-3.7062464
239875;Comunidad de Madrid;house;Vacio;51200.0;103.0;3;0.0;40.5936869;-4.2589569
241494;Comunidad de Madrid;house;Vacio;189900.0;104.0;3;2.0;40.2554741;-4.0516195
249638;Comunidad de Madrid;house;Vacio;135000.0;110.0;3;0.0;40.4347164;-3.2794723
256865;Comunidad de Madrid;house;Vacio;63530.0;114.0;3;0.0;40.2747998;-4.3035804
259849;Comunidad de Madrid;house;Vacio;104800.0;116.0;3;0.0;40.1196449;-3.1629078
261049;Comunidad de Madrid;house;Vacio;42000.0;118.0;3;0.0;40.2468525;-3.3207452
263305;Comunidad de Madrid;house;Vacio;160000.0;120.0;3;0.0;40.1861723;-3.6770697
263306;Comunidad de Madrid;house;Vacio;148600.0;120.0;3;0.0;40.180022;-3.6703247
268616;Comunidad de Madrid;house;Vacio;199000.0;125.0;3;0.0;40.4408869;-3.289796
274635;Comunidad de Madrid;house;Vacio;110000.0;133.0;3;0.0;40.4470013;-3.6950999
274636;Comunidad de Madrid;house;Vacio;110000.0;133.0;3;0.0;40.4470013;-3.6933999
281171;Comunidad de Madrid;house;Vacio;169000.0;146.0;3;0.0;40.7300467;-3.9801874
281409;Comunidad de Madrid;house;Vacio;112000.0;147.0;3;0.0;40.4277883;-3.2609359
282768;Comunidad de Madrid;house;Vacio;210000.0;150.0;3;0.0;40.6217013;-3.3967378
284891;Comunidad de Madrid;house;Vacio;132000.0;154.8;3;0.0;40864.0;-3.49121
286106;Comunidad de Madrid;house;Vacio;320000.0;160.0;3;0.0;40.4705394;-3.8798147
287035;Comunidad de Madrid;house;Vacio;167310.0;160.0;3;0.0;40.7431196;-3.7817777
289782;Comunidad de Madrid;house;Vacio;308000.0;171.0;3;0.0;40.3326646;-3.5142302
289930;Comunidad de Madrid;house;Vacio;328000.0;172.0;3;0.0;40.2925937;-3.8215783
289973;Comunidad de Madrid;house;Vacio;150000.0;173.0;3;0.0;40.1652996;-3.3676999
289974;Comunidad de Madrid;house;Vacio;150000.0;173.0;3;0.0;40.1652996;-3.3666999
289975;Comunidad de Madrid;house;Vacio;150000.0;173.0;3;0.0;40.1619996;-3.3693999
289976;Comunidad de Madrid;house;Vacio;150000.0;173.0;3;0.0;40.1652996;-3.3660999
289977;Comunidad de Madrid;house;Vacio;150000.0;173.0;3;0.0;40.1626996;-3.3693999
289978;Comunidad de Madrid;house;Vacio;150000.0;173.0;3;0.0;40.1652996;-3.3666999
289979;Comunidad de Madrid;house;Vacio;151000.0;173.0;3;0.0;40.1612996;-3.3662999
289980;Comunidad de Madrid;house;Vacio;150000.0;173.0;3;0.0;40.1650996;-3.3693999
289981;Comunidad de Madrid;house;Vacio;150000.0;173.0;3;0.0;40.1652996;-3.3683999
289982;Comunidad de Madrid;house;Vacio;151000.0;173.0;3;0.0;40.1612996;-3.3677999
289983;Comunidad de Madrid;house;Vacio;151800.0;173.0;3;0.0;40.1652996;-3.3687999
289984;Comunidad de Madrid;house;Vacio;150000.0;173.0;3;0.0;40.1651996;-3.3653999
289985;Comunidad de Madrid;house;Vacio;150000.0;173.0;3;0.0;40.1652996;-3.3678999
289986;Comunidad de Madrid;house;Vacio;150000.0;173.0;3;0.0;40.1652996;-3.3667999
289987;Comunidad de Madrid;house;Vacio;150000.0;173.0;3;0.0;40.1615996;-3.3693999
290120;Comunidad de Madrid;house;Vacio;160000.0;174.0;3;0.0;40.1652996;-3.3689999
290456;Comunidad de Madrid;house;Vacio;340000.0;175.0;3;2.0;40.4756946;-3.5757445
290682;Comunidad de Madrid;house;Vacio;269900.0;176.0;3;0.0;40.3307072;-3.5107178
291521;Comunidad de Madrid;house;Vacio;231000.0;180.0;3;0.0;40.54153;-3.45795
291966;Comunidad de Madrid;house;Vacio;310000.0;180.0;3;0.0;40.2792791;-3.8144712
292689;Comunidad de Madrid;house;Vacio;240000.0;184.0;3;0.0;40.1769136;-3.6916714
292690;Comunidad de Madrid;house;Vacio;230000.0;184.0;3;0.0;40.5434598;-3.4594327
293266;Comunidad de Madrid;house;Vacio;284100.0;188.0;3;0.0;40.7272426;-4.0762589
293272;Comunidad de Madrid;house;Vacio;190000.0;188.0;3;0.0;40.8108992;-3.7490816
294103;Comunidad de Madrid;house;Vacio;190000.0;192.0;3;5.0;40.3682022;-3.2190853
294290;Comunidad de Madrid;house;Vacio;140000.0;194.0;3;0.0;40.81614;-3.601092
294332;Comunidad de Madrid;house;Vacio;210000.0;195.0;3;0.0;40.6534046;-4.0113445
