index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
3127;Comunidad de Madrid;house;terraced house;35000.0;43.0;0;0.0;40.2894915;-4.0127123
13212;Comunidad de Madrid;house;terraced house;48000.0;109.0;0;0.0;40.4058155;-3.6045376
62017;Comunidad de Madrid;house;terraced house;64102.0;37.0;1;0.0;40.3960108;-3.7250918
82589;Comunidad de Madrid;house;terraced house;695000.0;140.0;1;3.0;40.4465915;-3.6815584
82672;Comunidad de Madrid;house;terraced house;75000.0;156.0;1;2.0;40.1875594;-3.6788029
82682;Comunidad de Madrid;house;terraced house;695000.0;160.0;1;0.0;40.4463083;-3.6788647
84762;Comunidad de Madrid;house;terraced house;109990.0;48.0;2;0.0;40.4704683;-3.7291373
85170;Comunidad de Madrid;house;terraced house;120000.0;50.0;2;0.0;40.4597001;-3.7812666
86041;Comunidad de Madrid;house;terraced house;175000.0;50.0;2;0.0;40.4110343;-3.7830792
98033;Comunidad de Madrid;house;terraced house;160000.0;62.0;2;0.0;40.4718962;-3.7223695
99711;Comunidad de Madrid;house;terraced house;125000.0;64.0;2;0.0;40.5452265;-3.8906377
101325;Comunidad de Madrid;house;terraced house;113000.0;65.0;2;0.0;40.5458336;-3.8950503
104770;Comunidad de Madrid;house;terraced house;108000.0;66.0;2;0.0;40.4602885;-3.6449402
108419;Comunidad de Madrid;house;terraced house;86000.0;69.0;2;0.0;40.4412835;-3.7990137
109126;Comunidad de Madrid;house;terraced house;91000.0;70.0;2;0.0;40.4303009;-3.6289591
111010;Comunidad de Madrid;house;terraced house;258000.0;70.0;2;0.0;40.4823862;-3.7407098
116780;Comunidad de Madrid;house;terraced house;191400.0;72.0;2;0.0;40.6642472;-3.7690459
118394;Comunidad de Madrid;house;terraced house;65000.0;74.0;2;3.0;40.3611311;-4.3998903
127089;Comunidad de Madrid;house;terraced house;81100.0;78.0;2;0.0;40.7590223;-3.4657641
127290;Comunidad de Madrid;house;terraced house;81100.0;78.0;2;0.0;40.7613613;-3.4643088
130804;Comunidad de Madrid;house;terraced house;150000.0;80.0;2;0.0;40.6589616;-3.7748976
132514;Comunidad de Madrid;house;terraced house;130000.0;80.0;2;0.0;40.7256551;-3.9417475
132533;Comunidad de Madrid;house;terraced house;135000.0;80.0;2;0.0;40.3959771;-3.7404588
137944;Comunidad de Madrid;house;terraced house;122000.0;85.0;2;0.0;40.3861082;-3.708299
144304;Comunidad de Madrid;house;terraced house;184200.0;90.0;2;0.0;40.5656199;-3.502963
144663;Comunidad de Madrid;house;terraced house;152000.0;90.0;2;0.0;40.8560253;-3.7054255
144946;Comunidad de Madrid;house;terraced house;140000.0;90.0;2;0.0;40.7832748;-3.6930169
145786;Comunidad de Madrid;house;terraced house;75000.0;90.0;2;0.0;40.3754778;-3.6654718
145948;Comunidad de Madrid;house;terraced house;81000.0;90.0;2;0.0;40.3785184;-3.6696046
151634;Comunidad de Madrid;house;terraced house;151000.0;98.0;2;0.0;40.4684518;-3.7144663
156941;Comunidad de Madrid;house;terraced house;158000.0;110.0;2;2.0;40.4800593;-3.3705382
159467;Comunidad de Madrid;house;terraced house;190000.0;120.0;2;0.0;40.4932117;-3.698438
159656;Comunidad de Madrid;house;terraced house;230000.0;120.0;2;0.0;40.1366138;-3.4232636
161168;Comunidad de Madrid;house;terraced house;240000.0;129.0;2;0.0;40.47478;-3.64044
162124;Comunidad de Madrid;house;terraced house;1236000.0;136.0;2;0.0;40.4425755;-3.6829405
162134;Comunidad de Madrid;house;terraced house;91000.0;136.0;2;0.0;40.7613056;-3.4643684
162929;Comunidad de Madrid;house;terraced house;118000.0;145.0;2;0.0;40.3628498;-4.398377
162996;Comunidad de Madrid;house;terraced house;590000.0;145.0;2;0.0;40.525299;-3.6322398
163501;Comunidad de Madrid;house;terraced house;135000.0;150.0;2;0.0;40.3826118;-3.6665028
164050;Comunidad de Madrid;house;terraced house;695000.0;160.0;2;0.0;40.4423726;-3.6822189
164116;Comunidad de Madrid;house;terraced house;450000.0;161.0;2;0.0;40.6205297;-3.5952551
164456;Comunidad de Madrid;house;terraced house;243000.0;172.0;2;0.0;40.3755775;-3.4847075
164559;Comunidad de Madrid;house;terraced house;165000.0;176.0;2;0.0;40.1699501;-3.834195
164690;Comunidad de Madrid;house;terraced house;128900.0;180.0;2;0.0;40.3691418;-3.2227714
164693;Comunidad de Madrid;house;terraced house;450000.0;180.0;2;0.0;40.6220265;-3.589022
164699;Comunidad de Madrid;house;terraced house;649000.0;180.0;2;0.0;40.4590791;-3.6627243
164810;Comunidad de Madrid;house;terraced house;750000.0;185.0;2;0.0;40.5076371;-3.6384188
164861;Comunidad de Madrid;house;terraced house;200100.0;187.0;2;0.0;40.656125;-4.0337796
165009;Comunidad de Madrid;house;terraced house;590000.0;194.0;2;0.0;40.525299;-3.6317398
165023;Comunidad de Madrid;house;terraced house;750000.0;195.0;2;0.0;40.5056371;-3.6391188
165141;Comunidad de Madrid;house;terraced house;139900.0;200.0;2;0.0;40.725784;-3.8669797
165335;Comunidad de Madrid;house;terraced house;350000.0;215.0;2;0.0;40.6045307;-3.7016467
165687;Comunidad de Madrid;house;terraced house;955000.0;250.0;2;0.0;40.44896;-3.67079
165732;Comunidad de Madrid;house;terraced house;700000.0;260.0;2;0.0;40.5263854;-3.6338699
165746;Comunidad de Madrid;house;terraced house;474000.0;261.0;2;0.0;40.3931547;-3.743654
165882;Comunidad de Madrid;house;terraced house;1580000.0;300.0;2;0.0;40.4331084;-3.710351
165904;Comunidad de Madrid;house;terraced house;819000.0;300.0;2;0.0;40.5154618;-3.6511679
165989;Comunidad de Madrid;house;terraced house;1180000.0;360.0;2;0.0;40.4577678;-3.7913898
167204;Comunidad de Madrid;house;terraced house;99000.0;55.0;3;0.0;40.4312364;-3.6274754
169598;Comunidad de Madrid;house;terraced house;88000.0;62.0;3;0.0;40.3860426;-3.71336
170827;Comunidad de Madrid;house;terraced house;110000.0;65.0;3;0.0;40.543359;-3.8939445
171184;Comunidad de Madrid;house;terraced house;200000.0;65.0;3;0.0;40.442033;-3.6398113
172219;Comunidad de Madrid;house;terraced house;112000.0;66.0;3;0.0;40.4620478;-3.6491798
176654;Comunidad de Madrid;house;terraced house;67000.0;70.0;3;0.0;40.3866052;-3.658813
178073;Comunidad de Madrid;house;terraced house;79000.0;72.0;3;0.0;40.4333203;-3.6273558
178784;Comunidad de Madrid;house;terraced house;72000.0;72.0;3;0.0;40.19303;-3.80128
179036;Comunidad de Madrid;house;terraced house;330000.0;72.0;3;0.0;40.5154504;-3.7730666
181997;Comunidad de Madrid;house;terraced house;105000.0;75.0;3;0.0;40.386916;-3.7136805
183348;Comunidad de Madrid;house;terraced house;119260.0;75.0;3;0.0;40.3933026;-3.7452651
184915;Comunidad de Madrid;house;terraced house;129500.0;76.0;3;0.0;40.4287632;-3.6275277
193799;Comunidad de Madrid;house;terraced house;89900.0;80.0;3;0.0;40.3801034;-3.6709727
194647;Comunidad de Madrid;house;terraced house;58000.0;81.0;3;0.0;40.3780778;-3.6616075
194648;Comunidad de Madrid;house;terraced house;79000.0;81.0;3;0.0;40.3782371;-3.6612277
195952;Comunidad de Madrid;house;terraced house;195000.0;82.0;3;0.0;40.4367517;-3.8153254
205282;Comunidad de Madrid;house;terraced house;42000.0;87.0;3;0.0;40.1341496;-3.3385659
211033;Comunidad de Madrid;house;terraced house;158000.0;90.0;3;0.0;40.4945892;-3.6949043
211248;Comunidad de Madrid;house;terraced house;138000.0;90.0;3;0.0;40.5966216;-4.1481753
211249;Comunidad de Madrid;house;terraced house;110000.0;90.0;3;0.0;40.5992168;-4.1435629
214407;Comunidad de Madrid;house;terraced house;88000.0;90.0;3;0.0;40.3805014;-3.6749056
218608;Comunidad de Madrid;house;terraced house;83000.0;93.0;3;3.0;40.3402756;-3.3844019
221900;Comunidad de Madrid;house;terraced house;87260.0;95.0;3;0.0;40.3769852;-3.7429333
