index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
494;Comunidad de Madrid;office;Vacio;90000.0;25.0;0;2.0;40.4482607;-3.6771709
560;Comunidad de Madrid;office;Vacio;65000.0;25.0;0;2.0;40.4475586;-3.6652728
707;Comunidad de Madrid;office;Vacio;85000.0;28.0;0;2.0;40.4605809;-3.6981496
737;Comunidad de Madrid;office;Vacio;65000.0;28.0;0;2.0;40.4380129;-3.6656677
751;Comunidad de Madrid;office;Vacio;70000.0;28.0;0;2.0;40.4346436;-3.7041316
821;Comunidad de Madrid;office;Vacio;650000.0;30.0;0;0.0;40.5339995;-3.6297723
944;Comunidad de Madrid;office;Vacio;78000.0;30.0;0;10.0;40.4129117;-3.7020487
1485;Comunidad de Madrid;office;Vacio;99000.0;34.0;0;2.0;40.3179692;-3.6917959
1579;Comunidad de Madrid;office;Vacio;51437.0;35.0;0;6.0;40.3117156;-3.8110056
1890;Comunidad de Madrid;office;Vacio;51006.0;36.0;0;6.0;40.3092156;-3.8070056
1954;Comunidad de Madrid;office;Vacio;110000.0;36.0;0;2.0;40.4504586;-3.6613728
2061;Comunidad de Madrid;office;Vacio;114000.0;37.0;0;2.0;40.4492586;-3.6652728
2294;Comunidad de Madrid;office;Vacio;120000.0;39.0;0;2.0;40.4504586;-3.6650728
2389;Comunidad de Madrid;office;Vacio;64000.0;40.0;0;0.0;40.539684;-3.8910334
2419;Comunidad de Madrid;office;Vacio;48595.0;40.0;0;5.0;40.3083156;-3.8071056
2420;Comunidad de Madrid;office;Vacio;47711.0;40.0;0;4.0;40.3090156;-3.8070056
2421;Comunidad de Madrid;office;Vacio;48318.0;40.0;0;4.0;40.3083156;-3.8098056
2422;Comunidad de Madrid;office;Vacio;49209.0;40.0;0;5.0;40.3083156;-3.8107056
2432;Comunidad de Madrid;office;Vacio;147500.0;40.0;0;3.0;40.4296402;-3.6839909
2565;Comunidad de Madrid;office;Vacio;47711.0;40.0;0;4.0;40.3083156;-3.8074056
3057;Comunidad de Madrid;office;Vacio;150000.0;42.0;0;3.0;40.4296332;-3.687585
3065;Comunidad de Madrid;office;Vacio;130000.0;42.0;0;2.0;40.4392652;-3.6265069
3245;Comunidad de Madrid;office;Vacio;59639.0;44.0;0;6.0;40.3083156;-3.8078056
3246;Comunidad de Madrid;office;Vacio;59639.0;44.0;0;6.0;40.3098156;-3.8110056
3247;Comunidad de Madrid;office;Vacio;60328.0;44.0;0;6.0;40.3083156;-3.8088056
3248;Comunidad de Madrid;office;Vacio;60328.0;44.0;0;6.0;40.3123156;-3.8073056
3249;Comunidad de Madrid;office;Vacio;59639.0;44.0;0;6.0;40.3085156;-3.8070056
3250;Comunidad de Madrid;office;Vacio;59639.0;44.0;0;6.0;40.3116156;-3.8070056
3251;Comunidad de Madrid;office;Vacio;60328.0;44.0;0;6.0;40.3083156;-3.8088056
3252;Comunidad de Madrid;office;Vacio;59639.0;44.0;0;6.0;40.3123156;-3.8088056
3253;Comunidad de Madrid;office;Vacio;60328.0;44.0;0;6.0;40.3113156;-3.8110056
3355;Comunidad de Madrid;office;Vacio;98500.0;45.0;0;2.0;40.4563431;-3.6956048
3401;Comunidad de Madrid;office;Vacio;60375.0;45.0;0;6.0;40.3083156;-3.8081056
3402;Comunidad de Madrid;office;Vacio;60375.0;45.0;0;6.0;40.3098156;-3.8070056
3421;Comunidad de Madrid;office;Vacio;75000.0;45.0;0;4.0;40.3122198;-3.7244864
3441;Comunidad de Madrid;office;Vacio;100000.0;45.0;0;4.0;40.5359025;-3.6454628
3497;Comunidad de Madrid;office;Vacio;99000.0;45.0;0;3.0;40.4373142;-3.8150912
3804;Comunidad de Madrid;office;Vacio;105050.0;47.0;0;2.0;40.3707264;-3.7698423
3805;Comunidad de Madrid;office;Vacio;105050.0;47.0;0;2.0;40.3728225;-3.7695859
3806;Comunidad de Madrid;office;Vacio;105050.0;47.0;0;2.0;40.3747264;-3.7721423
3814;Comunidad de Madrid;office;Vacio;53000.0;47.0;0;3.0;40.1825261;-3.683963
