index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
28151;Extremadura;countryHouse;country house;155000.0;536.0;0;0.0;40.1216794;-5.492828
68318;Extremadura;countryHouse;country house;55000.0;50.0;1;0.0;39.4413051;-6.3459178
74856;Extremadura;countryHouse;country house;40000.0;60.0;1;0.0;39.2887162;-6.3235266
81471;Extremadura;countryHouse;country house;60000.0;90.0;1;0.0;39.9753609;-6.0416924
82801;Extremadura;countryHouse;country house;175000.0;200.0;1;0.0;39.9785609;-6.0448924
110013;Extremadura;countryHouse;country house;90000.0;70.0;2;0.0;39.9753609;-6.0416924
111068;Extremadura;countryHouse;country house;180000.0;70.0;2;0.0;38.4271013;-6.4174308
111224;Extremadura;countryHouse;country house;75000.0;70.0;2;0.0;39.4362096;-6.2750218
164519;Extremadura;countryHouse;country house;156000.0;175.0;2;0.0;39.9771609;-6.0408924
174747;Extremadura;countryHouse;country house;90000.0;70.0;3;0.0;40.087135;-5.8823955
211024;Extremadura;countryHouse;country house;62000.0;90.0;3;0.0;39.556399;-6.4191207
232281;Extremadura;countryHouse;country house;95000.0;100.0;3;0.0;39.1339923;-6.8492308
233222;Extremadura;countryHouse;country house;140000.0;100.0;3;0.0;39.4487342;-6.5027388
242865;Extremadura;countryHouse;country house;120000.0;105.0;3;0.0;39.9761609;-6.0448924
346750;Extremadura;countryHouse;country house;1050000.0;180.0;4;0.0;39.4800756;-6.4070767
365529;Extremadura;countryHouse;country house;1350000.0;300.0;4;0.0;39.6826161;-6.7271654
