index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
61229;Extremadura;flat;Vacio;90000.0;32.0;1;5.0;38.8859793;-6.9982235
61692;Extremadura;flat;Vacio;80000.0;35.0;1;4.0;38.9721087;-6.6737042
61693;Extremadura;flat;Vacio;100500.0;35.0;1;3.0;38.8789725;-6.9513665
62204;Extremadura;flat;Vacio;93000.0;38.0;1;3.0;38.8757615;-6.9696115
62579;Extremadura;flat;Vacio;36000.0;40.0;1;3.0;38.9613985;-5.8576242
63120;Extremadura;flat;Vacio;63000.0;40.0;1;6.0;38.8766969;-6.9577828
64751;Extremadura;flat;Vacio;39000.0;45.0;1;4.0;40.11928;-5.59905
65530;Extremadura;flat;Vacio;73000.0;45.0;1;2.0;38.8807755;-6.975846
65532;Extremadura;flat;Vacio;57000.0;45.0;1;4.0;38.6836461;-7.1000159
65534;Extremadura;flat;Vacio;91500.0;45.0;1;6.0;38.8733816;-6.9579409
65535;Extremadura;flat;Vacio;65000.0;45.0;1;6.0;38.8737128;-6.9695964
66695;Extremadura;flat;Vacio;50900.0;48.0;1;2.0;38.8752387;-6.9543158
67677;Extremadura;flat;Vacio;90000.0;50.0;1;2.0;38.8832096;-6.9513824
68225;Extremadura;flat;Vacio;76500.0;50.0;1;3.0;38.8819802;-6.9942612
68784;Extremadura;flat;Vacio;50000.0;50.0;1;4.0;38.8799953;-6.9558603
68800;Extremadura;flat;Vacio;39500.0;50.0;1;2.0;38.6807166;-6.4002221
69046;Extremadura;flat;Vacio;93000.0;50.0;1;2.0;38.8727362;-6.9658341
69047;Extremadura;flat;Vacio;124000.0;50.0;1;3.0;38.8680913;-6.9658799
69811;Extremadura;flat;Vacio;75000.0;51.0;1;2.0;38.8803683;-6.9700784
69862;Extremadura;flat;Vacio;93000.0;51.0;1;2.0;38.8746609;-6.9641114
70195;Extremadura;flat;Vacio;60000.0;52.0;1;2.0;38.8878346;-6.9831248
71247;Extremadura;flat;Vacio;108000.0;54.0;1;6.0;38.873291;-6.9580398
71596;Extremadura;flat;Vacio;42000.0;55.0;1;3.0;38.9673961;-5.8636529
71989;Extremadura;flat;Vacio;71000.0;55.0;1;2.0;39.4815489;-6.3761568
72021;Extremadura;flat;Vacio;64400.0;55.0;1;5.0;38.8807059;-6.9565033
72189;Extremadura;flat;Vacio;50000.0;55.0;1;4.0;38.87831;-6.9584648
72354;Extremadura;flat;Vacio;85000.0;55.0;1;5.0;38.8743032;-6.9666119
73564;Extremadura;flat;Vacio;72000.0;58.0;1;3.0;39.4751623;-6.3723336
73658;Extremadura;flat;Vacio;66000.0;58.0;1;2.0;39.4750716;-6.3778863
74516;Extremadura;flat;Vacio;50000.0;60.0;1;2.0;38.9254821;-6.3420084
