index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
1620;Extremadura;flat;studio;39000.0;35.0;0;5.0;38.8783428;-6.9683978
3434;Extremadura;flat;studio;72000.0;45.0;0;Vacio;38.8764926;-6.9754879
6693;Extremadura;flat;studio;59000.0;65.0;0;4.0;39.4810455;-6.3716034
6800;Extremadura;flat;studio;71000.0;65.0;0;0.0;39.42983;-6.43982
8941;Extremadura;flat;studio;93000.0;78.0;0;0.0;39.42623;-6.43742
9278;Extremadura;flat;studio;96000.0;80.0;0;0.0;39.42943;-6.43982
11458;Extremadura;flat;studio;78600.0;95.0;0;2.0;39.4779538;-6.3685507
12085;Extremadura;flat;studio;125000.0;100.0;0;0.0;39.468585;-6.378838
12735;Extremadura;flat;studio;140000.0;104.0;0;0.0;38.8765635;-6.964692
14419;Extremadura;flat;studio;115000.0;120.0;0;0.0;39.42783;-6.43982
22653;Extremadura;flat;studio;465000.0;235.0;0;0.0;39.43023;-6.43932
