index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
26750;Extremadura;house;Vacio;106050.0;400.0;0;0.0;38.8816875;-6.9698951
71246;Extremadura;house;Vacio;28000.0;54.0;1;0.0;38.8792033;-6.9623688
74200;Extremadura;house;Vacio;47000.0;59.0;1;0.0;38.8740736;-6.955182
75403;Extremadura;house;Vacio;186000.0;60.0;1;0.0;38.9106293;-7.0368591
76295;Extremadura;house;Vacio;61050.0;62.0;1;0.0;38.8821902;-6.9550182
77542;Extremadura;house;Vacio;125000.0;65.0;1;0.0;38.860357;-6.9430688
79110;Extremadura;house;Vacio;124000.0;70.0;1;0.0;38.8678093;-6.9574474
79111;Extremadura;house;Vacio;103000.0;70.0;1;0.0;38.76968;-6.77281
82194;Extremadura;house;Vacio;88000.0;110.0;1;0.0;38.8840893;-6.9761746
87217;Extremadura;house;Vacio;11969.0;53.0;2;0.0;39.2824178;-5.0916929
112470;Extremadura;house;Vacio;128000.0;70.0;2;0.0;38.8674525;-6.9744277
113277;Extremadura;house;Vacio;40000.0;70.0;2;0.0;38.8766958;-6.9575612
113278;Extremadura;house;Vacio;120050.0;70.0;2;0.0;38.9936002;-6.8693657
113279;Extremadura;house;Vacio;82000.0;70.0;2;0.0;38.8788414;-6.9618441
123005;Extremadura;house;Vacio;99000.0;75.0;2;0.0;38.8722664;-6.9767031
132377;Extremadura;house;Vacio;71500.0;80.0;2;0.0;38.8761414;-6.9616441
139653;Extremadura;house;Vacio;139000.0;85.0;2;0.0;38.8682254;-6.9564725
142999;Extremadura;house;Vacio;29000.0;89.0;2;0.0;39.0512122;-5.8083952
146035;Extremadura;house;Vacio;80000.0;90.0;2;0.0;38.8706117;-6.9619967
146036;Extremadura;house;Vacio;57000.0;90.0;2;0.0;38.8806712;-6.9661626
150616;Extremadura;house;Vacio;60000.0;96.0;2;0.0;38.8722647;-6.9654324
151558;Extremadura;house;Vacio;83000.0;98.0;2;0.0;38.8708256;-6.9609947
164510;Extremadura;house;Vacio;150000.0;174.0;2;0.0;38.8793005;-6.9707457
165330;Extremadura;house;Vacio;102600.0;214.0;2;0.0;38.9080407;-6.6217304
166540;Extremadura;house;Vacio;33000.0;50.0;3;0.0;38.8807053;-6.9906479
176515;Extremadura;house;Vacio;24050.0;70.0;3;0.0;38.8936347;-6.9765039
178475;Extremadura;house;Vacio;51000.0;72.0;3;0.0;39.4604584;-6.3723989
178785;Extremadura;house;Vacio;20170.0;72.0;3;0.0;38.121927;-6.5207836
189573;Extremadura;house;Vacio;78000.0;80.0;3;0.0;38.8782605;-6.9598997
192357;Extremadura;house;Vacio;122000.0;80.0;3;0.0;38.8552747;-6.9756267
192358;Extremadura;house;Vacio;276000.0;80.0;3;0.0;38.854966;-6.9748057
192359;Extremadura;house;Vacio;136000.0;80.0;3;0.0;38.8746457;-6.9686807
197115;Extremadura;house;Vacio;24000.0;83.0;3;0.0;38.8915157;-6.9771167
197116;Extremadura;house;Vacio;54000.0;83.0;3;0.0;38.8923374;-6.9734796
197751;Extremadura;house;Vacio;39500.0;84.0;3;0.0;38.929384;-6.3260206
201974;Extremadura;house;Vacio;190000.0;85.0;3;0.0;38.8830948;-7.0024818
214066;Extremadura;house;Vacio;95000.0;90.0;3;0.0;38.9659664;-6.9218436
214067;Extremadura;house;Vacio;155000.0;90.0;3;0.0;38.8672124;-6.9566499
219577;Extremadura;house;Vacio;216500.0;93.0;3;0.0;38.8703179;-6.9816856
224238;Extremadura;house;Vacio;114000.0;95.0;3;0.0;38.8669518;-6.9570296
227604;Extremadura;house;Vacio;50000.0;97.0;3;0.0;38.8928503;-6.9792639
235848;Extremadura;house;Vacio;77000.0;100.0;3;0.0;38.8717016;-6.9651866
235849;Extremadura;house;Vacio;112000.0;100.0;3;0.0;38.8976148;-6.9767334
235853;Extremadura;house;Vacio;186000.0;100.0;3;0.0;38.9063533;-6.6198898
235855;Extremadura;house;Vacio;59000.0;100.0;3;0.0;38.8805176;-6.9767405
241312;Extremadura;house;Vacio;49000.0;104.0;3;0.0;38.0670688;-6.5331424
241313;Extremadura;house;Vacio;49000.0;104.0;3;0.0;38.0657646;-6.536798
245159;Extremadura;house;Vacio;77000.0;106.0;3;0.0;38.6748165;-6.4070894
246186;Extremadura;house;Vacio;52000.0;107.0;3;0.0;38.0645646;-6.533998
