index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
106178;Extremadura;house;semi-detached;21755.0;67.0;2;0.0;39.4761242;-5.8729011
109721;Extremadura;house;semi-detached;55000.0;70.0;2;0.0;40.1243079;-5.4595194
144046;Extremadura;house;semi-detached;83000.0;90.0;2;0.0;40.1262556;-5.4629116
160463;Extremadura;house;semi-detached;65000.0;124.0;2;0.0;38.1244289;-5.689946
162768;Extremadura;house;semi-detached;120000.0;141.0;2;0.0;39.4790784;-6.3793977
181000;Extremadura;house;semi-detached;24000.0;75.0;3;0.0;40.1257079;-5.4630194
251778;Extremadura;house;semi-detached;180000.0;110.0;3;0.0;39.4512692;-6.4886232
260195;Extremadura;house;semi-detached;85000.0;117.0;3;0.0;40.1290238;-5.4644999
268060;Extremadura;house;semi-detached;125000.0;124.0;3;0.0;40.12019;-5.4963799
278491;Extremadura;house;semi-detached;55000.0;140.0;3;0.0;38.9772615;-5.7992668
292527;Extremadura;house;semi-detached;180000.0;183.0;3;0.0;40.1291513;-5.4611281
295525;Extremadura;house;semi-detached;120000.0;200.0;3;0.0;38.9252321;-6.3508987
298623;Extremadura;house;semi-detached;129000.0;225.0;3;0.0;40.11808;-5.60245
301665;Extremadura;house;semi-detached;500000.0;260.0;3;0.0;40.0277091;-6.0911692
307604;Extremadura;house;semi-detached;22000.0;84.0;4;0.0;40.1293597;-5.4595281
308614;Extremadura;house;semi-detached;88594.0;90.0;4;0.0;40.1177445;-5.606486
308618;Extremadura;house;semi-detached;89151.0;90.0;4;0.0;38.5162821;-6.8499581
308994;Extremadura;house;semi-detached;106000.0;90.0;4;0.0;39.49839;-6.3711
334970;Extremadura;house;semi-detached;66000.0;143.0;4;0.0;40.1194;-5.53512
342636;Extremadura;house;semi-detached;136000.0;165.0;4;3.0;38.3040719;-5.6017101
347146;Extremadura;house;semi-detached;276000.0;180.0;4;0.0;38.8504989;-6.9730539
348192;Extremadura;house;semi-detached;250000.0;185.0;4;0.0;38.841514;-6.9784923
348955;Extremadura;house;semi-detached;265000.0;190.0;4;0.0;38.849204;-6.9695824
349070;Extremadura;house;semi-detached;265000.0;190.0;4;0.0;38.8452058;-6.967193
349293;Extremadura;house;semi-detached;150000.0;190.0;4;0.0;39.49462;-6.36022
350423;Extremadura;house;semi-detached;120000.0;198.0;4;0.0;40.0260091;-6.0891692
352834;Extremadura;house;semi-detached;81280.0;203.0;4;0.0;38.3054974;-5.5984485
352835;Extremadura;house;semi-detached;81280.0;203.0;4;0.0;38.3059974;-5.5985485
352836;Extremadura;house;semi-detached;81280.0;203.0;4;0.0;38.3054974;-5.5947485
352837;Extremadura;house;semi-detached;81280.0;203.0;4;0.0;38.3094974;-5.5982485
352838;Extremadura;house;semi-detached;81280.0;203.0;4;0.0;38.3094974;-5.5968485
352839;Extremadura;house;semi-detached;81280.0;203.0;4;0.0;38.3094974;-5.5966485
352840;Extremadura;house;semi-detached;81280.0;203.0;4;0.0;38.3082974;-5.5985485
352841;Extremadura;house;semi-detached;81280.0;203.0;4;0.0;38.3094974;-5.5955485
352842;Extremadura;house;semi-detached;81280.0;203.0;4;0.0;38.3082974;-5.5945485
352843;Extremadura;house;semi-detached;81280.0;203.0;4;0.0;38.3077974;-5.5945485
352844;Extremadura;house;semi-detached;81280.0;203.0;4;0.0;38.3094974;-5.5972485
353046;Extremadura;house;semi-detached;150000.0;205.0;4;0.0;40.2704727;-5.8674809
355520;Extremadura;house;semi-detached;50000.0;220.0;4;0.0;40.257675;-5.6834615
357695;Extremadura;house;semi-detached;90000.0;234.0;4;0.0;40.1457834;-5.3682789
359262;Extremadura;house;semi-detached;35000.0;244.0;4;2.0;40.0606836;-5.7575201
361082;Extremadura;house;semi-detached;48000.0;253.0;4;0.0;39.5658505;-6.4167102
362954;Extremadura;house;semi-detached;95000.0;272.0;4;0.0;40.1237369;-5.4935502
364444;Extremadura;house;semi-detached;69000.0;290.0;4;0.0;40.1304494;-5.4569122
365143;Extremadura;house;semi-detached;155000.0;300.0;4;0.0;40.1215;-5.49519
365530;Extremadura;house;semi-detached;200000.0;300.0;4;0.0;39.48652;-6.37549
366839;Extremadura;house;semi-detached;33000.0;320.0;4;2.0;39.21652;-7.0001676
373131;Extremadura;house;semi-detached;53000.0;90.0;5;0.0;40.1267083;-5.4611782
373681;Extremadura;house;semi-detached;34000.0;120.0;5;0.0;39.5604256;-6.4169472
376179;Extremadura;house;semi-detached;270000.0;160.0;5;0.0;38.8473756;-6.9726425
384197;Extremadura;house;semi-detached;286000.0;260.0;5;0.0;38.8470948;-6.9668657
395737;Extremadura;house;semi-detached;60000.0;126.0;6;0.0;40.12272;-5.51534
396921;Extremadura;house;semi-detached;180000.0;216.0;6;0.0;38.9728546;-5.7887884
400428;Extremadura;house;semi-detached;295000.0;408.0;6;0.0;38.8469502;-6.9729184
