index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
40589;Extremadura;land;Vacio;7000.0;0.0;0;0.0;40.22332;-6.8758
44612;Extremadura;land;Vacio;550000.0;0.0;0;0.0;38.8758411;-6.9591516
44826;Extremadura;land;Vacio;20667.0;0.0;0;2.0;38.8537696;-6.4510073
44827;Extremadura;land;Vacio;90000.0;0.0;0;2.0;38.9009984;-6.5366288
44828;Extremadura;land;Vacio;45000.0;0.0;0;2.0;38.8845937;-6.7027713
44829;Extremadura;land;Vacio;11000.0;0.0;0;2.0;38.91575;-6.6150728
44830;Extremadura;land;Vacio;56000.0;0.0;0;2.0;38.8394199;-6.6171799
44831;Extremadura;land;Vacio;83604.0;0.0;0;2.0;38.8446626;-6.6195608
44832;Extremadura;land;Vacio;28000.0;0.0;0;2.0;38.9550333;-6.7349259
45246;Extremadura;land;Vacio;100000.0;0.0;0;0.0;38.9252225;-6.35256
45251;Extremadura;land;Vacio;94300.0;0.0;0;0.0;38.44898;-6.38396
45268;Extremadura;land;Vacio;436498.0;0.0;0;0.0;38.861048;-6.9720231
45288;Extremadura;land;Vacio;4000.0;0.0;0;0.0;39.13439;-6.8493
45295;Extremadura;land;Vacio;14000.0;0.0;0;0.0;39.04431;-6.32966
45302;Extremadura;land;Vacio;209000.0;0.0;0;0.0;38.4275;-6.41845
45308;Extremadura;land;Vacio;330000.0;0.0;0;0.0;39.4691474;-6.3746128
45309;Extremadura;land;Vacio;55200.0;0.0;0;0.0;38.4289787;-6.4206997
45310;Extremadura;land;Vacio;150000.0;0.0;0;0.0;38.872962;-6.9463975
45457;Extremadura;land;Vacio;400000.0;0.0;0;0.0;40.116275;-5.5383843
45458;Extremadura;land;Vacio;152000.0;0.0;0;0.0;40.1304068;-5.4582097
45459;Extremadura;land;Vacio;160000.0;0.0;0;0.0;40.1313068;-5.4622097
45460;Extremadura;land;Vacio;2700000.0;0.0;0;0.0;40.1299068;-5.4622097
45461;Extremadura;land;Vacio;95000.0;0.0;0;0.0;40.1323068;-5.4611097
45462;Extremadura;land;Vacio;200000.0;0.0;0;0.0;40.1181794;-5.495428
45463;Extremadura;land;Vacio;27000.0;0.0;0;0.0;40.1312085;-5.4602905
45464;Extremadura;land;Vacio;44000.0;0.0;0;0.0;40.1293068;-5.4622097
45465;Extremadura;land;Vacio;36000.0;0.0;0;0.0;40.1221858;-5.517324
45466;Extremadura;land;Vacio;74000.0;0.0;0;0.0;40.1249079;-5.4630194
45467;Extremadura;land;Vacio;80000.0;0.0;0;0.0;40.1252079;-5.4590194
45468;Extremadura;land;Vacio;48000.0;0.0;0;0.0;40.1243079;-5.4595194
45469;Extremadura;land;Vacio;99000.0;0.0;0;0.0;40.1269079;-5.4590194
45470;Extremadura;land;Vacio;39000.0;0.0;0;0.0;40.1243079;-5.4604194
45471;Extremadura;land;Vacio;80000.0;0.0;0;0.0;40.1266079;-5.4630194
45472;Extremadura;land;Vacio;24000.0;0.0;0;0.0;40.1281131;-5.4645268
45473;Extremadura;land;Vacio;60000.0;0.0;0;0.0;40.1210135;-5.4949881
45474;Extremadura;land;Vacio;80000.0;0.0;0;0.0;40.1191718;-5.5162447
45475;Extremadura;land;Vacio;46000.0;0.0;0;0.0;40.1283079;-5.4620194
45476;Extremadura;land;Vacio;18000.0;0.0;0;0.0;40.1273079;-5.4590194
45477;Extremadura;land;Vacio;20000.0;0.0;0;0.0;40.1253079;-5.4590194
45478;Extremadura;land;Vacio;56000.0;0.0;0;0.0;40.1207718;-5.5194447
45479;Extremadura;land;Vacio;12000.0;0.0;0;0.0;40.1181858;-5.516124
45480;Extremadura;land;Vacio;20000.0;0.0;0;0.0;40.1234684;-5.4968953
45631;Extremadura;land;Vacio;290000.0;0.0;0;0.0;40.1467915;-5.3643086
46147;Extremadura;land;Vacio;46650.0;0.0;0;0.0;39.9807224;-6.0474196
46148;Extremadura;land;Vacio;80000.0;0.0;0;0.0;39.97633;-6.0450701
51502;Extremadura;land;Vacio;295000.0;0.0;0;0.0;38.9746707;-5.8666302
51503;Extremadura;land;Vacio;210354.0;0.0;0;0.0;38.8783384;-6.9721662
51504;Extremadura;land;Vacio;120000.0;0.0;0;0.0;38.8847703;-6.8809492
