index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
3141;Extremadura;office;Vacio;47400.0;43.0;0;3.0;38.8745928;-6.9700069
3485;Extremadura;office;Vacio;79000.0;45.0;0;2.0;39.4665202;-6.3797226
3937;Extremadura;office;Vacio;90000.0;48.0;0;0.0;39.42623;-6.43702
5320;Extremadura;office;Vacio;124000.0;55.0;0;2.0;38.8748459;-6.9746565
7029;Extremadura;office;Vacio;50000.0;66.0;0;0.0;39.4726102;-6.3725304
9212;Extremadura;office;Vacio;60000.0;80.0;0;3.0;38.87449;-6.77548
9731;Extremadura;office;Vacio;129000.0;82.0;0;0.0;38.8690921;-6.9897282
12084;Extremadura;office;Vacio;100000.0;100.0;0;0.0;39.42753;-6.43982
12845;Extremadura;office;Vacio;100000.0;105.0;0;0.0;39.42623;-6.43602
12909;Extremadura;office;Vacio;150000.0;105.0;0;2.0;38.8663516;-6.9874174
13229;Extremadura;office;Vacio;145000.0;109.0;0;3.0;38.8763447;-6.9782473
13248;Extremadura;office;Vacio;145000.0;109.0;0;3.0;38.8761458;-6.9742475
13787;Extremadura;office;Vacio;97121.0;114.0;0;3.0;39.4732676;-6.3749954
15249;Extremadura;office;Vacio;110000.0;128.0;0;3.0;39.4728214;-6.3772173
17984;Extremadura;office;Vacio;194900.0;158.0;0;3.0;38.8646079;-6.9848614
19678;Extremadura;office;Vacio;150000.0;180.0;0;5.0;38.88104;-6.9679939
22278;Extremadura;office;Vacio;254835.0;226.0;0;2.0;38.9315221;-6.3467978
22453;Extremadura;office;Vacio;125000.0;230.0;0;0.0;39.42903;-6.43982
27661;Extremadura;office;Vacio;1102012.0;484.0;0;0.0;38.9206398;-6.3457632
28571;Extremadura;office;Vacio;425000.0;591.0;0;3.0;38.8750125;-6.968802
