index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
28;Extremadura;premise;Vacio;8000.0;10.8;0;2.0;38.8755864;-6.958307
66;Extremadura;premise;Vacio;13000.0;12.0;0;2.0;38.8762358;-6.9614647
556;Extremadura;premise;Vacio;33000.0;25.0;0;2.0;38.879761;-6.9536574
950;Extremadura;premise;Vacio;103000.0;30.0;0;2.0;39.469493;-6.3746032
1425;Extremadura;premise;Vacio;57000.0;34.0;0;3.0;38.8663015;-6.9839777
1433;Extremadura;premise;Vacio;8600.0;34.0;0;2.0;39.1494175;-5.9154604
1949;Extremadura;premise;Vacio;33000.0;36.0;0;2.0;38.8879818;-6.9882407
2292;Extremadura;premise;Vacio;67000.0;39.0;0;2.0;38.8679842;-6.9674944
2473;Extremadura;premise;Vacio;140000.0;40.0;0;0.0;39.4704162;-6.3867399
2485;Extremadura;premise;Vacio;47000.0;40.0;0;2.0;39.4560398;-6.3815996
2849;Extremadura;premise;Vacio;29900.0;41.0;0;2.0;38.6834548;-6.4161464
3566;Extremadura;premise;Vacio;76000.0;45.0;0;2.0;38.8675802;-6.9884597
3756;Extremadura;premise;Vacio;75000.0;47.0;0;2.0;40.0310534;-6.0886255
3921;Extremadura;premise;Vacio;63000.0;48.0;0;0.0;38.8659703;-6.971465
4490;Extremadura;premise;Vacio;78000.0;50.0;0;2.0;38.8781618;-6.9631863
4491;Extremadura;premise;Vacio;120000.0;50.0;0;2.0;38.9118439;-6.3711513
4492;Extremadura;premise;Vacio;93000.0;50.0;0;2.0;38.8657278;-6.979243
4825;Extremadura;premise;Vacio;63000.0;52.0;0;2.0;38.8718664;-6.9583674
5161;Extremadura;premise;Vacio;40089.0;55.0;0;2.0;38.93131;-6.3485099
5166;Extremadura;premise;Vacio;85000.0;55.0;0;2.0;39.4669639;-6.3839295
5445;Extremadura;premise;Vacio;58000.0;56.0;0;3.0;39.4510885;-6.3713601
5639;Extremadura;premise;Vacio;62900.0;58.0;0;3.0;39.470969;-6.3750967
6151;Extremadura;premise;Vacio;38000.0;60.0;0;2.0;38.8784944;-6.9630042
6152;Extremadura;premise;Vacio;100000.0;60.0;0;2.0;38.8720626;-6.9700083
6479;Extremadura;premise;Vacio;32800.0;63.0;0;2.0;38.9595;-5.8775457
6494;Extremadura;premise;Vacio;32800.0;63.0;0;2.0;38.9575;-5.8763457
6649;Extremadura;premise;Vacio;186000.0;64.0;0;2.0;38.8698752;-6.9828361
6892;Extremadura;premise;Vacio;73000.0;65.0;0;2.0;38.8775566;-6.9767522
6967;Extremadura;premise;Vacio;46090.0;66.0;0;2.0;38.3822197;-6.5921698
7198;Extremadura;premise;Vacio;72000.0;68.0;0;3.0;39.4490885;-6.3713601
7340;Extremadura;premise;Vacio;41900.0;69.0;0;2.0;38.91813;-6.34763
7514;Extremadura;premise;Vacio;75000.0;70.0;0;3.0;39.4481885;-6.3740601
7596;Extremadura;premise;Vacio;85000.0;70.0;0;2.0;38.8715668;-6.9793522
7609;Extremadura;premise;Vacio;105000.0;70.0;0;0.0;39.4775048;-6.3710469
7610;Extremadura;premise;Vacio;155000.0;70.0;0;0.0;39.4695729;-6.3879555
7634;Extremadura;premise;Vacio;76000.0;70.0;0;2.0;38.8632457;-6.9848321
7762;Extremadura;premise;Vacio;68000.0;70.0;0;2.0;38.8881739;-6.9819208
7763;Extremadura;premise;Vacio;93000.0;70.0;0;2.0;38.8723773;-6.9717436
8038;Extremadura;premise;Vacio;149000.0;72.0;0;2.0;39.4729908;-6.3770913
8062;Extremadura;premise;Vacio;136000.0;72.0;0;2.0;38.8834565;-6.9798465
8162;Extremadura;premise;Vacio;90000.0;73.0;0;0.0;39.4807576;-6.3701375
8216;Extremadura;premise;Vacio;49750.0;74.0;0;2.0;39.4644984;-6.4022274
8331;Extremadura;premise;Vacio;106000.0;74.0;0;2.0;38.8637367;-6.9829792
8583;Extremadura;premise;Vacio;175000.0;75.0;0;2.0;38.8844808;-6.9956657
8584;Extremadura;premise;Vacio;87000.0;75.0;0;2.0;38.8697865;-6.9765065
8843;Extremadura;premise;Vacio;100000.0;77.0;0;2.0;38.8796841;-6.9754086
8896;Extremadura;premise;Vacio;82000.0;78.0;0;3.0;39.4493885;-6.3753601
9125;Extremadura;premise;Vacio;116000.0;80.0;0;2.0;40.1310112;-5.4659327
9134;Extremadura;premise;Vacio;59000.0;80.0;0;2.0;38.97486;-5.8010674
9452;Extremadura;premise;Vacio;88000.0;80.0;0;2.0;38.8703179;-6.9816856
9698;Extremadura;premise;Vacio;88000.0;82.0;0;3.0;39.4504885;-6.3753601
9765;Extremadura;premise;Vacio;42000.0;82.0;0;2.0;38.8837435;-6.8837506
9766;Extremadura;premise;Vacio;39000.0;82.0;0;2.0;38.8842706;-6.8837058
9805;Extremadura;premise;Vacio;40200.0;83.0;0;3.0;38.8828884;-6.8606626
9819;Extremadura;premise;Vacio;130000.0;83.0;0;2.0;39.4696639;-6.3815295
9843;Extremadura;premise;Vacio;30000.0;83.0;0;0.0;38.8817809;-6.8767875
10056;Extremadura;premise;Vacio;65050.0;85.0;0;0.0;38.8863095;-6.9760175
10149;Extremadura;premise;Vacio;124000.0;85.0;0;2.0;38.880963;-6.9723447
10150;Extremadura;premise;Vacio;65050.0;85.0;0;2.0;38.8898031;-6.9768701
10151;Extremadura;premise;Vacio;155000.0;85.0;0;2.0;38.8789634;-6.9635993
10172;Extremadura;premise;Vacio;70000.0;85.0;0;2.0;38.2662891;-6.4713122
10443;Extremadura;premise;Vacio;80900.0;88.0;0;2.0;38.9217217;-6.348223
10737;Extremadura;premise;Vacio;39000.0;90.0;0;0.0;38.8812705;-6.8820783
10921;Extremadura;premise;Vacio;256000.0;90.0;0;2.0;38.8907619;-6.9838555
