index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
470;Galicia;countryHouse;village house;12000.0;25.0;0;0.0;42.9139612;-8.007308
12055;Galicia;countryHouse;village house;49000.0;100.0;0;0.0;42.7161777;-7.7642716
15451;Galicia;countryHouse;village house;250000.0;130.0;0;0.0;43.5371716;-7.0387926
16064;Galicia;countryHouse;village house;79000.0;136.0;0;0.0;42.3469903;-7.8746576
16319;Galicia;countryHouse;village house;30000.0;140.0;0;0.0;42.9148612;-8.003608
17821;Galicia;countryHouse;village house;48000.0;155.0;0;0.0;43.5352395;-7.0401578
19006;Galicia;countryHouse;village house;199000.0;170.0;0;0.0;43.5354658;-7.0417091
20741;Galicia;countryHouse;village house;100000.0;200.0;0;0.0;43.2793161;-8.2115706
22008;Galicia;countryHouse;village house;24000.0;220.0;0;0.0;42.2889694;-7.7800712
24650;Galicia;countryHouse;village house;75000.0;300.0;0;0.0;43.2821563;-8.2081466
71763;Galicia;countryHouse;village house;26000.0;55.0;1;0.0;42.4108786;-7.5636042
82170;Galicia;countryHouse;village house;60000.0;110.0;1;0.0;43.281057;-8.2122377
82297;Galicia;countryHouse;village house;85000.0;115.0;1;0.0;43.4455045;-7.1941959
82836;Galicia;countryHouse;village house;75000.0;220.0;1;0.0;43.2847041;-8.0620332
82914;Galicia;countryHouse;village house;25000.0;300.0;1;0.0;42.383126;-7.694818
120942;Galicia;countryHouse;village house;25000.0;75.0;2;0.0;42.0138959;-7.5944214
144707;Galicia;countryHouse;village house;13000.0;90.0;2;0.0;42.0234907;-7.6161995
151388;Galicia;countryHouse;village house;63100.0;98.0;2;0.0;43.2242835;-8.3354043
152667;Galicia;countryHouse;village house;24000.0;100.0;2;0.0;42.5186667;-7.6006
153391;Galicia;countryHouse;village house;39000.0;100.0;2;0.0;43.7431104;-7.8724875
159734;Galicia;countryHouse;village house;41900.0;120.0;2;0.0;42.3567563;-7.9066111
159735;Galicia;countryHouse;village house;30000.0;120.0;2;0.0;42.2380246;-7.8250389
160582;Galicia;countryHouse;village house;110000.0;125.0;2;0.0;42.4236945;-7.9023404
160998;Galicia;countryHouse;village house;37000.0;127.0;2;0.0;43.7415225;-7.8693008
166114;Galicia;countryHouse;village house;60000.0;800.0;2;0.0;43.2675813;-8.2080102
188654;Galicia;countryHouse;village house;30000.0;80.0;3;0.0;42.3524193;-7.8808662
198024;Galicia;countryHouse;village house;125000.0;84.0;3;0.0;43.3277316;-8.4120192
209093;Galicia;countryHouse;village house;47000.0;90.0;3;0.0;43.4442987;-8.2868113
225739;Galicia;countryHouse;village house;60000.0;96.0;3;2.0;42.3429237;-7.9548163
232212;Galicia;countryHouse;village house;33000.0;100.0;3;0.0;42.2017159;-7.7350821
234018;Galicia;countryHouse;village house;120000.0;100.0;3;0.0;42.4887223;-8.489148
236786;Galicia;countryHouse;village house;120000.0;100.0;3;0.0;43.2926986;-8.3784197
262869;Galicia;countryHouse;village house;155000.0;120.0;3;0.0;43.2777118;-8.2078436
265361;Galicia;countryHouse;village house;53000.0;120.0;3;0.0;43.3480507;-8.205234
268723;Galicia;countryHouse;village house;135000.0;125.0;3;0.0;43.2808589;-8.2130968
272226;Galicia;countryHouse;village house;45000.0;130.0;3;0.0;42.2017159;-7.7350821
272317;Galicia;countryHouse;village house;82000.0;130.0;3;0.0;42.0261907;-7.6174995
272917;Galicia;countryHouse;village house;100000.0;130.0;3;0.0;42.2912317;-7.8758634
278130;Galicia;countryHouse;village house;50000.0;140.0;3;0.0;42.3750353;-7.4156682
281340;Galicia;countryHouse;village house;35000.0;146.0;3;0.0;43.6827887;-7.851465
282348;Galicia;countryHouse;village house;53000.0;150.0;3;0.0;43.4692523;-8.1783952
284043;Galicia;countryHouse;village house;84000.0;150.0;3;0.0;43.1837431;-7.8982847
284216;Galicia;countryHouse;village house;38000.0;151.0;3;0.0;43.2777118;-8.2078436
286981;Galicia;countryHouse;village house;125000.0;160.0;3;0.0;42.3276956;-7.8802734
287166;Galicia;countryHouse;village house;105000.0;160.0;3;0.0;43.3707243;-8.4329908
293683;Galicia;countryHouse;village house;95000.0;190.0;3;0.0;42.9387035;-7.4304013
295352;Galicia;countryHouse;village house;360000.0;200.0;3;0.0;43.2148893;-8.1772072
295636;Galicia;countryHouse;village house;75000.0;200.0;3;0.0;42.3460101;-7.8507004
295637;Galicia;countryHouse;village house;103000.0;200.0;3;0.0;42.273218;-7.753251
303029;Galicia;countryHouse;village house;40000.0;290.0;3;0.0;42.8493556;-7.4503154
303042;Galicia;countryHouse;village house;150000.0;291.0;3;0.0;42.8739427;-8.3719045
303985;Galicia;countryHouse;village house;88000.0;320.0;3;0.0;42.8634151;-8.6803618
305299;Galicia;countryHouse;village house;150000.0;435.0;3;0.0;43.2975842;-8.1917804
332748;Galicia;countryHouse;village house;65000.0;140.0;4;0.0;42.9126705;-8.01647
338431;Galicia;countryHouse;village house;95000.0;150.0;4;0.0;42.894784;-7.2504366
344263;Galicia;countryHouse;village house;90000.0;170.0;4;0.0;43.2306224;-8.0129834
354754;Galicia;countryHouse;village house;175000.0;216.0;4;0.0;42.1611594;-8.7565655
356618;Galicia;countryHouse;village house;100000.0;225.0;4;0.0;43.2210425;-8.0238096
357350;Galicia;countryHouse;village house;118000.0;230.0;4;0.0;42.3420625;-7.8243623
358059;Galicia;countryHouse;village house;130000.0;238.0;4;0.0;43.1785789;-7.8949216
359800;Galicia;countryHouse;village house;370000.0;250.0;4;0.0;42.9144353;-8.0151608
365476;Galicia;countryHouse;village house;90000.0;300.0;4;0.0;43.2969129;-8.1850559
372680;Galicia;countryHouse;village house;150000.0;700.0;4;0.0;42.3926153;-8.8261172
373864;Galicia;countryHouse;village house;125000.0;120.0;5;0.0;43.2191096;-9.0052106
379350;Galicia;countryHouse;village house;135000.0;200.0;5;0.0;42.3495018;-7.8855036
379776;Galicia;countryHouse;village house;80000.0;200.0;5;0.0;42.7993328;-7.6191059
386361;Galicia;countryHouse;village house;225000.0;300.0;5;0.0;43.2358111;-7.5603333
387033;Galicia;countryHouse;village house;85000.0;300.0;5;0.0;42.3979087;-7.0971996
389260;Galicia;countryHouse;village house;65000.0;350.0;5;0.0;42.8098099;-8.41582
393480;Galicia;countryHouse;village house;207000.0;500.0;5;0.0;42.3999087;-7.0965996
395589;Galicia;countryHouse;village house;450000.0;1599.0;5;0.0;42.78017;-8.42493
403505;Galicia;countryHouse;village house;350000.0;170.0;7;0.0;43.4244664;-8.2456616
404280;Galicia;countryHouse;village house;200000.0;322.0;7;0.0;43.2817039;-8.0590826
406695;Galicia;countryHouse;village house;85000.0;365.0;8;0.0;43.116856;-7.61998
