index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
12374;Galicia;house;Vacio;79000.0;100.0;0;0.0;42.3389779;-7.878965
18464;Galicia;house;Vacio;35000.0;162.0;0;0.0;42.1126313;-8.3330678
19524;Galicia;house;Vacio;45000.0;179.0;0;0.0;43.0198;-7.5622392
20121;Galicia;house;Vacio;39900.0;188.0;0;0.0;42.3568142;-7.8828695
63287;Galicia;house;Vacio;105237.0;40.0;1;0.0;42.3183397;-7.8558386
77680;Galicia;house;Vacio;70000.0;65.0;1;0.0;42.3659451;-7.8619347
81960;Galicia;house;Vacio;70000.0;100.0;1;0.0;42.3509543;-8.0516969
82953;Galicia;house;Vacio;164000.0;366.0;1;0.0;42.3463074;-7.7997773
82957;Galicia;house;Vacio;164000.0;378.0;1;0.0;42.3463074;-7.7997773
82958;Galicia;house;Vacio;180875.0;378.0;1;0.0;42.3463074;-7.7997773
82959;Galicia;house;Vacio;164000.0;378.0;1;0.0;42.3463074;-7.7997773
83065;Galicia;house;Vacio;23000.0;20.0;2;0.0;42.4974722;-8.0061737
83543;Galicia;house;Vacio;40000.0;40.0;2;0.0;43.2834336;-8.2142604
83544;Galicia;house;Vacio;40000.0;40.0;2;0.0;43.3120083;-8.3807776
83553;Galicia;house;Vacio;50000.0;40.0;2;2.0;42.8826818;-8.6071415
84770;Galicia;house;Vacio;78000.0;48.0;2;0.0;43.0154263;-7.5673616
85175;Galicia;house;Vacio;28000.0;50.0;2;2.0;43.31941;-7.93705
86745;Galicia;house;Vacio;180000.0;52.0;2;0.0;43.3617768;-8.416538
89119;Galicia;house;Vacio;60000.0;55.0;2;0.0;43.2838559;-8.2132765
89607;Galicia;house;Vacio;115000.0;55.0;2;0.0;41.9041915;-8.8734974
92973;Galicia;house;Vacio;70000.0;60.0;2;0.0;43.2871928;-8.0591832
93240;Galicia;house;Vacio;99999.0;60.0;2;0.0;42.26715;-8.66883
96081;Galicia;house;Vacio;49900.0;60.0;2;0.0;42.2204792;-7.8284906
96082;Galicia;house;Vacio;90000.0;60.0;2;0.0;42.3740877;-7.8296742
96083;Galicia;house;Vacio;29999.0;60.0;2;0.0;42.27182;-7.75125
96084;Galicia;house;Vacio;150000.0;60.0;2;0.0;42.3612228;-7.8321804
110173;Galicia;house;Vacio;64900.0;70.0;2;0.0;42.2434881;-8.6993235
110174;Galicia;house;Vacio;45000.0;70.0;2;0.0;42.25365;-8.69382
111733;Galicia;house;Vacio;222000.0;70.0;2;0.0;43.3392169;-8.2348204
112585;Galicia;house;Vacio;63000.0;70.0;2;0.0;42.8731186;-7.8694317
112621;Galicia;house;Vacio;45000.0;70.0;2;0.0;43.3552894;-8.4265136
127176;Galicia;house;Vacio;75000.0;78.0;2;0.0;42.255063;-8.6875686
130001;Galicia;house;Vacio;115000.0;80.0;2;0.0;42.3176323;-7.8815275
133151;Galicia;house;Vacio;76500.0;80.0;2;0.0;42.1112449;-8.7616396
139658;Galicia;house;Vacio;85000.0;85.0;2;2.0;42.02258;-8.88006
139986;Galicia;house;Vacio;44000.0;85.0;2;0.0;42.31453;-7.95455
139987;Galicia;house;Vacio;51086.0;85.0;2;0.0;42.415721;-8.012594
148930;Galicia;house;Vacio;108000.0;94.0;2;0.0;43.1588889;-8.2208504
152363;Galicia;house;Vacio;61600.0;100.0;2;0.0;43.1708884;-8.3487941
152656;Galicia;house;Vacio;36000.0;100.0;2;0.0;41.9917937;-7.5954972
153642;Galicia;house;Vacio;98000.0;100.0;2;0.0;42.4330965;-7.8582461
153644;Galicia;house;Vacio;84000.0;100.0;2;0.0;42.29183;-8.5326
153645;Galicia;house;Vacio;142000.0;100.0;2;0.0;42.1074275;-8.854887
154384;Galicia;house;Vacio;75000.0;102.0;2;0.0;42.2260523;-7.9085951
156480;Galicia;house;Vacio;122000.0;109.0;2;0.0;43.3242495;-8.4333861
157127;Galicia;house;Vacio;125000.0;110.0;2;2.0;42.8624168;-8.4957835
157128;Galicia;house;Vacio;130000.0;110.0;2;2.0;42.7264001;-8.652223
157319;Galicia;house;Vacio;49000.0;110.0;2;0.0;42.3118543;-7.9509109
157337;Galicia;house;Vacio;125000.0;110.0;2;0.0;42.0672326;-8.6319163
158060;Galicia;house;Vacio;120000.0;114.0;2;0.0;42.0846272;-8.6288635
158087;Galicia;house;Vacio;123000.0;114.0;2;0.0;42.0755315;-8.6262926
158390;Galicia;house;Vacio;290000.0;115.0;2;0.0;43.3726251;-8.3959506
159779;Galicia;house;Vacio;125000.0;120.0;2;0.0;41.98944;-8.74688
159827;Galicia;house;Vacio;199000.0;120.0;2;2.0;42.8679648;-8.5278959
160020;Galicia;house;Vacio;41900.0;120.0;2;0.0;42.3572502;-7.9139943
161128;Galicia;house;Vacio;103000.0;129.0;2;0.0;43.5058011;-8.1381998
161162;Galicia;house;Vacio;149000.0;129.0;2;0.0;43.3051383;-8.541878
161902;Galicia;house;Vacio;130000.0;134.0;2;0.0;43.3442425;-8.1607163
162587;Galicia;house;Vacio;265000.0;140.0;2;0.0;42.7703492;-8.9314653
163492;Galicia;house;Vacio;250000.0;150.0;2;2.0;42.8587265;-8.53675
163769;Galicia;house;Vacio;84150.0;155.0;2;0.0;42.1054297;-8.7782359
164025;Galicia;house;Vacio;177000.0;160.0;2;0.0;43.2417073;-8.3128557
