index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
6627;Galicia;house;independent;120000.0;64.0;0;0.0;42.6013302;-8.9371967
9846;Galicia;house;independent;70000.0;83.0;0;0.0;43.6827887;-7.851465
11378;Galicia;house;independent;60000.0;95.0;0;0.0;43.2840256;-8.1727434
15473;Galicia;house;independent;60000.0;130.0;0;0.0;42.6029436;-8.9460226
16008;Galicia;house;independent;126000.0;135.0;0;0.0;43.3785749;-8.2938214
16022;Galicia;house;independent;42000.0;136.0;0;0.0;42.8731186;-7.8694317
17445;Galicia;house;independent;200000.0;150.0;0;0.0;43.3773769;-8.3967625
19377;Galicia;house;independent;75000.0;176.0;0;0.0;42.8751186;-7.8700317
19469;Galicia;house;independent;54000.0;178.0;0;0.0;42.9251719;-8.1656964
19592;Galicia;house;independent;51500.0;180.0;0;0.0;43.6827887;-7.851465
20691;Galicia;house;independent;24200.0;200.0;0;0.0;42.9126705;-8.01647
22357;Galicia;house;independent;95000.0;228.0;0;0.0;42.865092;-8.305429
24613;Galicia;house;independent;36000.0;300.0;0;0.0;42.7621996;-8.0189751
28843;Galicia;house;independent;150000.0;625.0;0;0.0;42.2126231;-8.6903935
29598;Galicia;house;independent;3000000.0;800.0;0;0.0;42.3994787;-8.8069274
61304;Galicia;house;independent;22800.0;33.0;1;3.0;43.539247;-8.0738001
61479;Galicia;house;independent;100000.0;35.0;1;0.0;43.3202084;-8.8118181
61833;Galicia;house;independent;14000.0;36.0;1;0.0;43.5620466;-7.9691264
63026;Galicia;house;independent;95000.0;40.0;1;3.0;42.2645845;-8.7809282
63297;Galicia;house;independent;40000.0;40.0;1;0.0;43.1711078;-8.1962931
63575;Galicia;house;independent;130000.0;41.0;1;0.0;42.127321;-8.8037687
67608;Galicia;house;independent;6196.0;50.0;1;3.0;42.65731;-7.16792
72815;Galicia;house;independent;10800.0;56.0;1;2.0;42.23246;-7.86474
73796;Galicia;house;independent;45000.0;58.0;1;0.0;42.3221368;-7.785907
74120;Galicia;house;independent;59000.0;59.0;1;0.0;42.3417819;-7.8276638
74121;Galicia;house;independent;59000.0;59.0;1;0.0;42.3425473;-7.8267537
74122;Galicia;house;independent;59000.0;59.0;1;0.0;42.3425473;-7.8267537
74123;Galicia;house;independent;59000.0;59.0;1;0.0;42.3419473;-7.8247537
74408;Galicia;house;independent;15000.0;60.0;1;0.0;43.3197402;-8.8100525
77428;Galicia;house;independent;130000.0;65.0;1;3.0;42.31777;-8.78954
77812;Galicia;house;independent;52000.0;66.0;1;0.0;43.1711078;-8.1962931
77949;Galicia;house;independent;180000.0;66.0;1;0.0;43.349203;-8.2037739
78928;Galicia;house;independent;50000.0;70.0;1;0.0;42.5915281;-8.9425484
79791;Galicia;house;independent;39000.0;74.0;1;2.0;43.2503027;-8.5841606
80340;Galicia;house;independent;26581.0;77.0;1;2.0;43.12407;-7.62023
80602;Galicia;house;independent;6500.0;79.0;1;2.0;42.3942168;-7.8990856
80651;Galicia;house;independent;100000.0;80.0;1;0.0;43.3215402;-8.8120525
80668;Galicia;house;independent;55000.0;80.0;1;0.0;41.9986227;-8.8731903
81146;Galicia;house;independent;75000.0;84.0;1;0.0;43.2817039;-8.0590826
81544;Galicia;house;independent;35000.0;90.0;1;0.0;42.3416237;-7.9528163
81812;Galicia;house;independent;190000.0;98.0;1;0.0;43.3194402;-8.8080525
82149;Galicia;house;independent;42343.0;110.0;1;3.0;43.1741083;-7.7555542
82193;Galicia;house;independent;18000.0;110.0;1;2.0;42.39993;-7.83889
82204;Galicia;house;independent;208000.0;110.0;1;2.0;42.860985;-8.5194699
82468;Galicia;house;independent;50000.0;126.0;1;0.0;43.1245498;-8.1507172
82548;Galicia;house;independent;360000.0;134.0;1;2.0;43.3685393;-8.4031403
82565;Galicia;house;independent;240000.0;136.0;1;0.0;42.7357947;-8.6610246
82615;Galicia;house;independent;125000.0;144.0;1;2.0;43.2140085;-8.18727
82651;Galicia;house;independent;101300.0;152.0;1;2.0;43.2207196;-8.2999048
82652;Galicia;house;independent;27920.0;153.0;1;3.0;43.5735;-7.94356
82697;Galicia;house;independent;110000.0;160.0;1;0.0;43.3186951;-8.2315455
82817;Galicia;house;independent;149000.0;200.0;1;2.0;42.4165111;-7.9492264
82824;Galicia;house;independent;220000.0;203.0;1;0.0;42.7357947;-8.6610246
82839;Galicia;house;independent;35000.0;222.0;1;2.0;42.931113;-8.5130974
82841;Galicia;house;independent;180000.0;228.0;1;0.0;43.2022987;-8.0440925
82856;Galicia;house;independent;248200.0;244.0;1;2.0;43.3205704;-8.228948
82868;Galicia;house;independent;120000.0;250.0;1;0.0;43.3811749;-8.2963214
82869;Galicia;house;independent;52500.0;251.0;1;3.0;42.68958;-8.4913
82881;Galicia;house;independent;152000.0;270.0;1;0.0;42.9284885;-8.1552555
82910;Galicia;house;independent;35000.0;300.0;1;0.0;42.5236865;-7.5091953
82935;Galicia;house;independent;109200.0;336.0;1;2.0;42.2635938;-8.6121067
82939;Galicia;house;independent;360000.0;340.0;1;2.0;43.3128148;-8.2317124
