index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
298;Islas Baleares;countryHouse;Vacio;64000.0;20.0;0;0.0;39.5569493;2.8899823
1070;Islas Baleares;countryHouse;Vacio;54000.0;30.0;0;0.0;39.6234656;2.8415065
9497;Islas Baleares;countryHouse;Vacio;87000.0;80.0;0;0.0;39.4896;2.884161
17541;Islas Baleares;countryHouse;Vacio;350000.0;151.0;0;0.0;39.6267868;3.3558618
63237;Islas Baleares;countryHouse;Vacio;98000.0;40.0;1;0.0;39.4897;2.888161
75577;Islas Baleares;countryHouse;Vacio;78000.0;60.0;1;0.0;39.5654888;2.9796861
75580;Islas Baleares;countryHouse;Vacio;126000.0;60.0;1;0.0;39.4878849;2.8899596
77920;Islas Baleares;countryHouse;Vacio;250000.0;66.0;1;0.0;39.6638125;2.5742235
80320;Islas Baleares;countryHouse;Vacio;80000.0;76.0;1;0.0;39.6159453;2.5274946
80847;Islas Baleares;countryHouse;Vacio;150000.0;80.0;1;0.0;39.4882249;2.8256099
81279;Islas Baleares;countryHouse;Vacio;127000.0;85.0;1;0.0;39.7594;3.0429589
81490;Islas Baleares;countryHouse;Vacio;89000.0;90.0;1;0.0;39.4816943;2.8646088
84462;Islas Baleares;countryHouse;Vacio;140000.0;46.0;2;0.0;39.648484;2.897557
90232;Islas Baleares;countryHouse;Vacio;130000.0;56.0;2;0.0;39.4833876;2.8987948
113794;Islas Baleares;countryHouse;Vacio;126000.0;70.0;2;0.0;39.4918947;2.8874894
123343;Islas Baleares;countryHouse;Vacio;150000.0;75.0;2;0.0;39.5779603;2.8575573
138574;Islas Baleares;countryHouse;Vacio;245000.0;85.0;2;0.0;39.6159105;2.9747903
146324;Islas Baleares;countryHouse;Vacio;184000.0;90.0;2;0.0;39.4961132;2.888266
153558;Islas Baleares;countryHouse;Vacio;150000.0;100.0;2;0.0;39.4733005;2.9334273
159973;Islas Baleares;countryHouse;Vacio;170000.0;120.0;2;0.0;39.4942947;2.8873894
162719;Islas Baleares;countryHouse;Vacio;430000.0;140.0;2;0.0;39.4699429;2.851313
162726;Islas Baleares;countryHouse;Vacio;239000.0;140.0;2;0.0;39.6440358;3.0094447
162804;Islas Baleares;countryHouse;Vacio;475000.0;142.0;2;0.0;39.6858009;2.8502376
164828;Islas Baleares;countryHouse;Vacio;55000.0;185.0;2;0.0;39.5762178;3.2034908
214838;Islas Baleares;countryHouse;Vacio;149000.0;90.0;3;0.0;39.4878849;2.8899596
252973;Islas Baleares;countryHouse;Vacio;210000.0;110.0;3;0.0;39.5745853;2.8532662
272435;Islas Baleares;countryHouse;Vacio;750000.0;130.0;3;0.0;38.7013175;1.428896
275176;Islas Baleares;countryHouse;Vacio;199000.0;134.0;3;0.0;39.6832839;2.7064735
279170;Islas Baleares;countryHouse;Vacio;215000.0;140.0;3;0.0;39.557286;2.895844
281495;Islas Baleares;countryHouse;Vacio;450000.0;147.0;3;0.0;39.6952976;2.6994592
287140;Islas Baleares;countryHouse;Vacio;190000.0;160.0;3;0.0;39.4890304;2.889976
289260;Islas Baleares;countryHouse;Vacio;1200000.0;170.0;3;0.0;39.3394349;3.0962607
289328;Islas Baleares;countryHouse;Vacio;750000.0;170.0;3;0.0;39.6963014;2.6942543
290847;Islas Baleares;countryHouse;Vacio;300000.0;177.0;3;0.0;39.640082;2.7488362
294032;Islas Baleares;countryHouse;Vacio;375000.0;192.0;3;0.0;40.0017092;3.8395961
295477;Islas Baleares;countryHouse;Vacio;450000.0;200.0;3;0.0;39.698684;2.698798
299024;Islas Baleares;countryHouse;Vacio;750000.0;230.0;3;0.0;39.7544568;2.9034281
301065;Islas Baleares;countryHouse;Vacio;390000.0;250.0;3;0.0;39.443322;2.9007241
301179;Islas Baleares;countryHouse;Vacio;165000.0;250.0;3;0.0;39.5674486;2.9978925
302359;Islas Baleares;countryHouse;Vacio;249000.0;275.0;3;0.0;39.5650783;2.8840364
305070;Islas Baleares;countryHouse;Vacio;450000.0;400.0;3;0.0;39.6836022;2.8505637
305965;Islas Baleares;countryHouse;Vacio;900000.0;800.0;3;0.0;39.0894084;1.4590126
344944;Islas Baleares;countryHouse;Vacio;560000.0;172.0;4;0.0;38.9216284;1.3056072
346262;Islas Baleares;countryHouse;Vacio;1750000.0;180.0;4;0.0;38.7058285;1.4260654
348305;Islas Baleares;countryHouse;Vacio;210000.0;185.0;4;0.0;39.9287358;4.1411048
351593;Islas Baleares;countryHouse;Vacio;545000.0;200.0;4;0.0;39.6856068;2.6953969
352718;Islas Baleares;countryHouse;Vacio;990000.0;201.0;4;0.0;39.8492869;4.2539134
353582;Islas Baleares;countryHouse;Vacio;388500.0;210.0;4;0.0;39.6215324;2.7516265
360387;Islas Baleares;countryHouse;Vacio;695000.0;250.0;4;0.0;39.68851;2.83968
361884;Islas Baleares;countryHouse;Vacio;300000.0;260.0;4;0.0;39.6968619;3.0109635
362022;Islas Baleares;countryHouse;Vacio;450000.0;261.0;4;0.0;39.7613394;3.0844313
365863;Islas Baleares;countryHouse;Vacio;340000.0;300.0;4;0.0;39.6618176;2.9226614
370539;Islas Baleares;countryHouse;Vacio;690000.0;410.0;4;0.0;39.7151687;2.7089287
385155;Islas Baleares;countryHouse;Vacio;202000.0;275.0;5;0.0;39.8896964;4.2624733
388181;Islas Baleares;countryHouse;Vacio;1590000.0;325.0;5;0.0;39.4764241;3.152541
391381;Islas Baleares;countryHouse;Vacio;550000.0;400.0;5;0.0;39.7542557;2.9861406
392434;Islas Baleares;countryHouse;Vacio;1900000.0;450.0;5;0.0;39.6472665;2.8974973
394733;Islas Baleares;countryHouse;Vacio;3250000.0;660.0;5;0.0;39.0771846;1.5125591
401784;Islas Baleares;countryHouse;Vacio;1400000.0;530.0;6;0.0;39.908813;3.071505
402822;Islas Baleares;countryHouse;Vacio;1575000.0;750.0;6;0.0;39.83533;4.2487
403372;Islas Baleares;countryHouse;Vacio;3500000.0;1700.0;6;0.0;39.6000313;2.8012944
