index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
16;Islas Baleares;countryHouse;country house;140000.0;10.0;0;0.0;39.651549;2.7747737
1071;Islas Baleares;countryHouse;country house;69000.0;30.0;0;0.0;39.6659494;3.0783187
2350;Islas Baleares;countryHouse;country house;125000.0;40.0;0;0.0;40.0017092;3.8406961
3870;Islas Baleares;countryHouse;country house;86000.0;48.0;0;0.0;39.4874363;2.9383665
4543;Islas Baleares;countryHouse;country house;90000.0;50.0;0;0.0;39.4934718;2.8894728
12260;Islas Baleares;countryHouse;country house;190000.0;100.0;0;0.0;39.4298107;3.0189577
17303;Islas Baleares;countryHouse;country house;240000.0;150.0;0;0.0;39.6673378;2.9055953
18101;Islas Baleares;countryHouse;country house;270000.0;160.0;0;0.0;39.5620583;2.9745278
21928;Islas Baleares;countryHouse;country house;325000.0;220.0;0;0.0;39.3352035;3.0475601
30342;Islas Baleares;countryHouse;country house;290000.0;1000.0;0;0.0;39.4258107;3.0161577
30636;Islas Baleares;countryHouse;country house;1200000.0;1140.0;0;0.0;39.6626254;2.5800798
31520;Islas Baleares;countryHouse;country house;1800000.0;2000.0;0;0.0;39.5955414;3.0381064
32448;Islas Baleares;countryHouse;country house;108000.0;21000.0;0;0.0;39.4258107;3.0195577
60768;Islas Baleares;countryHouse;country house;99000.0;20.0;1;0.0;39.516766;3.0209113
60797;Islas Baleares;countryHouse;country house;60000.0;22.0;1;0.0;39.4908439;2.8916657
60801;Islas Baleares;countryHouse;country house;86000.0;22.0;1;2.0;39.5821468;2.8592315
60840;Islas Baleares;countryHouse;country house;54000.0;25.0;1;0.0;39.6447272;2.901119
60842;Islas Baleares;countryHouse;country house;108000.0;25.0;1;0.0;39.6458592;3.1100385
61099;Islas Baleares;countryHouse;country house;80000.0;30.0;1;0.0;39.6223783;2.8345105
63236;Islas Baleares;countryHouse;country house;60000.0;40.0;1;0.0;39.4983616;2.9004503
63238;Islas Baleares;countryHouse;country house;160000.0;40.0;1;0.0;39.5688634;2.8969808
64679;Islas Baleares;countryHouse;country house;119000.0;45.0;1;0.0;39.4933798;3.0697701
67728;Islas Baleares;countryHouse;country house;89000.0;50.0;1;0.0;39.7704462;3.0875357
68558;Islas Baleares;countryHouse;country house;59500.0;50.0;1;0.0;39.6641545;3.0738992
68907;Islas Baleares;countryHouse;country house;105000.0;50.0;1;0.0;39.4291107;3.0158577
69265;Islas Baleares;countryHouse;country house;100000.0;50.0;1;0.0;39.5974219;2.9214755
69556;Islas Baleares;countryHouse;country house;85000.0;50.0;1;0.0;39.5569493;2.8900823
69816;Islas Baleares;countryHouse;country house;79000.0;51.0;1;0.0;39.6988619;3.0119635
69817;Islas Baleares;countryHouse;country house;79000.0;51.0;1;0.0;39.7593916;2.9889924
71762;Islas Baleares;countryHouse;country house;325000.0;55.0;1;0.0;39.6872508;2.8402618
73192;Islas Baleares;countryHouse;country house;129000.0;57.0;1;0.0;39.9977092;3.8389961
