index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
29592;Islas Baleares;countryHouse;masia;980000.0;800.0;0;0.0;39.8906247;4.2607544
82394;Islas Baleares;countryHouse;masia;195000.0;120.0;1;0.0;39.6198747;2.9727906
82844;Islas Baleares;countryHouse;masia;800000.0;232.0;1;0.0;39.7140531;2.9136923
124746;Islas Baleares;countryHouse;masia;175000.0;76.0;2;0.0;39.487903;2.8881447
156478;Islas Baleares;countryHouse;masia;160000.0;109.0;2;0.0;39.3645812;3.0256427
157081;Islas Baleares;countryHouse;masia;185000.0;110.0;2;2.0;39.48386;2.89464
161698;Islas Baleares;countryHouse;masia;495000.0;132.0;2;0.0;39.8890247;4.2626544
162215;Islas Baleares;countryHouse;masia;265000.0;137.0;2;0.0;39.4895321;2.8878534
164939;Islas Baleares;countryHouse;masia;290000.0;190.0;2;0.0;39.574156;2.938598
251951;Islas Baleares;countryHouse;masia;230000.0;110.0;3;2.0;39.4896355;2.8857899
275563;Islas Baleares;countryHouse;masia;1100000.0;135.0;3;0.0;38.9251271;1.4587513
285693;Islas Baleares;countryHouse;masia;295000.0;157.0;3;0.0;39.5570573;2.8957414
289315;Islas Baleares;countryHouse;masia;1750000.0;170.0;3;0.0;38.9214512;1.2949973
289458;Islas Baleares;countryHouse;masia;495000.0;170.0;3;2.0;39.4879767;2.8963216
291489;Islas Baleares;countryHouse;masia;374900.0;180.0;3;0.0;39.5697955;2.8915852
293059;Islas Baleares;countryHouse;masia;425000.0;186.0;3;0.0;39.8716078;4.2451127
293788;Islas Baleares;countryHouse;masia;345000.0;190.0;3;0.0;39.5738009;2.8834668
294452;Islas Baleares;countryHouse;masia;455000.0;195.0;3;0.0;39.4869563;2.8897363
298387;Islas Baleares;countryHouse;masia;295000.0;221.0;3;0.0;39.5161618;3.0230632
301295;Islas Baleares;countryHouse;masia;320000.0;251.0;3;0.0;39.5612532;2.8957576
301424;Islas Baleares;countryHouse;masia;220500.0;254.0;3;0.0;39.59571;2.6853111
303542;Islas Baleares;countryHouse;masia;250000.0;300.0;3;0.0;39.48416;2.89294
340097;Islas Baleares;countryHouse;masia;470000.0;156.0;4;2.0;39.4798106;2.9349063
346221;Islas Baleares;countryHouse;masia;478000.0;180.0;4;0.0;39.8866247;4.2598544
348277;Islas Baleares;countryHouse;masia;315000.0;185.0;4;0.0;39.777833;2.964483
356871;Islas Baleares;countryHouse;masia;650000.0;229.0;4;0.0;39.9870291;4.0935335
364701;Islas Baleares;countryHouse;masia;950000.0;292.0;4;0.0;38.9228535;1.2914954
364842;Islas Baleares;countryHouse;masia;795000.0;296.0;4;0.0;39.8900247;4.2626544
367346;Islas Baleares;countryHouse;masia;370000.0;326.0;4;0.0;39.6981003;3.1011504
370294;Islas Baleares;countryHouse;masia;1500000.0;400.0;4;0.0;39.560066;2.865357
370549;Islas Baleares;countryHouse;masia;495000.0;410.0;4;0.0;39.68256;2.84551
370662;Islas Baleares;countryHouse;masia;875000.0;420.0;4;0.0;39.731097;2.9222314
372392;Islas Baleares;countryHouse;masia;890000.0;599.0;4;2.0;39.5182072;2.87822
385274;Islas Baleares;countryHouse;masia;160000.0;279.0;5;0.0;39.7218941;2.9071195
386220;Islas Baleares;countryHouse;masia;650000.0;299.0;5;0.0;39.6237072;2.7372709
386300;Islas Baleares;countryHouse;masia;1350000.0;300.0;5;0.0;39.8888296;4.2616195
386301;Islas Baleares;countryHouse;masia;1890000.0;300.0;5;0.0;39.9304632;4.1357543
387319;Islas Baleares;countryHouse;masia;734000.0;305.0;5;0.0;39.8895247;4.2586544
388207;Islas Baleares;countryHouse;masia;650000.0;325.0;5;0.0;39.609769;2.5035
389017;Islas Baleares;countryHouse;masia;695000.0;350.0;5;0.0;39.929219;4.2529025
391882;Islas Baleares;countryHouse;masia;725000.0;427.0;5;0.0;39.4854659;2.8888319
392542;Islas Baleares;countryHouse;masia;875000.0;450.0;5;0.0;39.6230688;2.8383888
393194;Islas Baleares;countryHouse;masia;1300000.0;500.0;5;0.0;39.9901964;3.8453556
393788;Islas Baleares;countryHouse;masia;1495000.0;533.0;5;0.0;39.8906247;4.2620544
394857;Islas Baleares;countryHouse;masia;5450000.0;700.0;5;0.0;39.6674006;3.2827968
397757;Islas Baleares;countryHouse;masia;550000.0;260.0;6;0.0;39.4923712;2.9020222
401650;Islas Baleares;countryHouse;masia;805000.0;505.0;6;0.0;39.8474559;4.257177
404583;Islas Baleares;countryHouse;masia;3000000.0;384.0;7;0.0;39.8395072;4.2601973
405672;Islas Baleares;countryHouse;masia;819000.0;686.0;7;0.0;39.5164763;3.0268345
407854;Islas Baleares;countryHouse;masia;9000000.0;473.0;9;0.0;39.9863291;4.0975335
408218;Islas Baleares;countryHouse;masia;2500000.0;1000.0;9;0.0;39.8885247;4.2626544
408385;Islas Baleares;countryHouse;masia;8500000.0;2000.0;9;0.0;39.6638125;2.5742235
408587;Islas Baleares;countryHouse;masia;2800000.0;750.0;10;0.0;39.7503356;3.1222036
408624;Islas Baleares;countryHouse;masia;11000000.0;1000.0;10;0.0;39.8265695;2.8412386
408670;Islas Baleares;countryHouse;masia;5000000.0;2500.0;10;0.0;40.0017092;3.8388961
408970;Islas Baleares;countryHouse;masia;5500000.0;2000.0;17;0.0;39.8443559;4.255577
