index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
62372;Islas Baleares;house;Vacio;134000.0;40.0;1;0.0;39.8799739;4.2916032
62605;Islas Baleares;house;Vacio;99000.0;40.0;1;0.0;39.7071782;3.0132442
62606;Islas Baleares;house;Vacio;265000.0;40.0;1;0.0;39.6961908;3.0823726
71925;Islas Baleares;house;Vacio;74900.0;55.0;1;0.0;39.4208881;2.7504082
78626;Islas Baleares;house;Vacio;135152.0;70.0;1;0.0;38.9425932;1.2379952
82362;Islas Baleares;house;Vacio;130000.0;120.0;1;0.0;39.4301175;3.0186587
82467;Islas Baleares;house;Vacio;156700.0;126.0;1;0.0;39.5695621;3.2114903
82490;Islas Baleares;house;Vacio;48800.0;129.0;1;0.0;39.7194963;2.9108812
82708;Islas Baleares;house;Vacio;689990.0;165.0;1;0.0;39.5714625;2.6330093
83036;Islas Baleares;house;Vacio;810000.0;900.0;1;0.0;39.5677878;3.2018747
83074;Islas Baleares;house;Vacio;50000.0;25.0;2;0.0;39.7187674;3.0323781
83142;Islas Baleares;house;Vacio;79900.0;30.0;2;0.0;39.6804697;3.0886666
83423;Islas Baleares;house;Vacio;125000.0;40.0;2;0.0;39.9476287;4.1107449
83943;Islas Baleares;house;Vacio;600000.0;45.0;2;0.0;39.874165;4.1613141
84354;Islas Baleares;house;Vacio;180000.0;46.0;2;0.0;39.8716497;4.1331509
89797;Islas Baleares;house;Vacio;195000.0;56.0;2;0.0;39.9688959;3.8341813
91465;Islas Baleares;house;Vacio;149000.0;58.0;2;0.0;39.8166017;4.2784465
91865;Islas Baleares;house;Vacio;72000.0;59.0;2;2.0;39.9830217;4.0118555
91893;Islas Baleares;house;Vacio;79000.0;59.0;2;0.0;39.9971163;3.8395047
94144;Islas Baleares;house;Vacio;97260.0;60.0;2;2.0;39.4146461;2.7419713
98595;Islas Baleares;house;Vacio;125000.0;63.0;2;0.0;39.835818;4.193104
99474;Islas Baleares;house;Vacio;175625.0;64.0;2;0.0;39.9251935;3.8236454
99475;Islas Baleares;house;Vacio;150000.0;64.0;2;0.0;39.9128813;4.0799877
109403;Islas Baleares;house;Vacio;117084.0;70.0;2;0.0;39.998942;3.7972096
116908;Islas Baleares;house;Vacio;159000.0;72.0;2;0.0;39.5804439;3.377885
119346;Islas Baleares;house;Vacio;140000.0;74.0;2;0.0;39.4515142;3.2713892
122742;Islas Baleares;house;Vacio;199000.0;75.0;2;0.0;39.5847655;3.3785793
128513;Islas Baleares;house;Vacio;290000.0;79.0;2;2.0;39.6253011;2.5263318
128643;Islas Baleares;house;Vacio;68200.0;80.0;2;0.0;39.7226714;2.9117966
133209;Islas Baleares;house;Vacio;159000.0;80.0;2;2.0;39.5504774;2.6972823
139636;Islas Baleares;house;Vacio;165000.0;85.0;2;0.0;39.631055;2.6919431
141084;Islas Baleares;house;Vacio;315000.0;86.0;2;2.0;39.6292011;2.5287318
141827;Islas Baleares;house;Vacio;377000.0;87.0;2;0.0;39.5412271;2.4207306
143861;Islas Baleares;house;Vacio;212900.0;90.0;2;0.0;40.0026;3.83425
144269;Islas Baleares;house;Vacio;158000.0;90.0;2;0.0;39.7047757;2.7908688
145849;Islas Baleares;house;Vacio;238000.0;90.0;2;0.0;39.5332681;3.3342906
146364;Islas Baleares;house;Vacio;252000.0;90.0;2;2.0;39.6993724;2.7034537
150683;Islas Baleares;house;Vacio;336000.0;96.0;2;2.0;39.560306;2.6192425
151219;Islas Baleares;house;Vacio;266000.0;98.0;2;0.0;39.8713497;4.1371509
151452;Islas Baleares;house;Vacio;116550.0;98.0;2;2.0;39.5106377;3.0198215
152832;Islas Baleares;house;Vacio;325000.0;100.0;2;0.0;39.5953304;2.6197923
153353;Islas Baleares;house;Vacio;225000.0;100.0;2;2.0;39.5978127;2.7052524
153395;Islas Baleares;house;Vacio;155000.0;100.0;2;0.0;39.5745899;2.4293529
153910;Islas Baleares;house;Vacio;189000.0;101.0;2;0.0;39.7085782;3.0132442
154288;Islas Baleares;house;Vacio;295000.0;102.0;2;0.0;39.5748013;2.4197867
154603;Islas Baleares;house;Vacio;156700.0;103.0;2;2.0;39.5736409;3.2105035
155988;Islas Baleares;house;Vacio;245000.0;107.0;2;0.0;39.5226277;3.3103468
155991;Islas Baleares;house;Vacio;331400.0;107.0;2;0.0;39.6489399;3.3793093
156265;Islas Baleares;house;Vacio;315000.0;108.0;2;0.0;39.5864406;3.3233043
156547;Islas Baleares;house;Vacio;175000.0;110.0;2;0.0;39.4571171;3.2599328
157141;Islas Baleares;house;Vacio;290000.0;110.0;2;0.0;39.5342863;3.3340672
157183;Islas Baleares;house;Vacio;295000.0;110.0;2;2.0;39.5753948;2.4138735
157605;Islas Baleares;house;Vacio;205000.0;112.0;2;0.0;39.6979185;3.0043135
158886;Islas Baleares;house;Vacio;280000.0;118.0;2;0.0;39.9154758;4.076461
159235;Islas Baleares;house;Vacio;48100.0;120.0;2;2.0;39.719091;2.9137903
160651;Islas Baleares;house;Vacio;241500.0;125.0;2;2.0;39.5895511;2.7324727
160730;Islas Baleares;house;Vacio;160200.0;125.0;2;0.0;39.6112007;3.1129152
161043;Islas Baleares;house;Vacio;120000.0;128.0;2;0.0;39.4340793;3.0158048
161711;Islas Baleares;house;Vacio;310000.0;132.0;2;0.0;39.8363454;3.1183226
161899;Islas Baleares;house;Vacio;120000.0;134.0;2;2.0;39.6095216;3.2855164
161932;Islas Baleares;house;Vacio;280000.0;135.0;2;0.0;39.9159813;4.0799877
162052;Islas Baleares;house;Vacio;280000.0;135.0;2;0.0;39.6471399;3.3796093
162284;Islas Baleares;house;Vacio;235972.0;138.0;2;0.0;39.4955548;2.8827285
162307;Islas Baleares;house;Vacio;210000.0;138.0;2;0.0;39.610208;2.6342975
162864;Islas Baleares;house;Vacio;400995.0;143.0;2;0.0;39.6463399;3.3756093
162865;Islas Baleares;house;Vacio;400995.0;143.0;2;0.0;39.6489399;3.3778093
163804;Islas Baleares;house;Vacio;395000.0;156.0;2;0.0;39.785834;2.9760946
163910;Islas Baleares;house;Vacio;145000.0;159.0;2;0.0;39.8853296;4.2593195
163921;Islas Baleares;house;Vacio;475000.0;160.0;2;0.0;39.8765076;4.2022859
164199;Islas Baleares;house;Vacio;362808.0;165.0;2;0.0;38.9408;1.49606
164225;Islas Baleares;house;Vacio;68500.0;165.0;2;2.0;39.569025;3.2123002
164337;Islas Baleares;house;Vacio;599000.0;170.0;2;0.0;39.8270832;4.2299076
164853;Islas Baleares;house;Vacio;210000.0;186.0;2;0.0;39.9160813;4.0771877
165398;Islas Baleares;house;Vacio;1195000.0;220.0;2;0.0;39.56749;2.65224
165731;Islas Baleares;house;Vacio;299000.0;260.0;2;0.0;39.5915971;2.6239585
165798;Islas Baleares;house;Vacio;295000.0;272.0;2;0.0;39.6163836;3.3614298
166010;Islas Baleares;house;Vacio;890000.0;375.0;2;0.0;39.8743979;4.2642645
166607;Islas Baleares;house;Vacio;30100.0;51.0;3;0.0;39.5837255;2.6782146
184317;Islas Baleares;house;Vacio;180960.0;76.0;3;0.0;40.000679;3.8286754
195049;Islas Baleares;house;Vacio;199000.0;82.0;3;0.0;39.8367046;4.2988041
197643;Islas Baleares;house;Vacio;125000.0;84.0;3;0.0;39.6722211;3.0077525
211326;Islas Baleares;house;Vacio;157000.0;90.0;3;0.0;39.7198802;2.9049691
213527;Islas Baleares;house;Vacio;240000.0;90.0;3;0.0;39.7072714;3.1092426
215001;Islas Baleares;house;Vacio;126000.0;90.0;3;2.0;39.5801928;2.6688424
215803;Islas Baleares;house;Vacio;225000.0;90.0;3;0.0;39.8833056;4.1393863
219782;Islas Baleares;house;Vacio;160000.0;93.0;3;0.0;39.941301;4.15242
220662;Islas Baleares;house;Vacio;97020.0;94.0;3;0.0;39.8797;4.28984
221387;Islas Baleares;house;Vacio;199900.0;95.0;3;0.0;39.8714497;4.1371509
231008;Islas Baleares;house;Vacio;124530.0;100.0;3;0.0;40.0229;4189.0
231009;Islas Baleares;house;Vacio;150000.0;100.0;3;0.0;40.0215;4.19
231699;Islas Baleares;house;Vacio;90000.0;100.0;3;0.0;39.6680612;3.0069685
234982;Islas Baleares;house;Vacio;69000.0;100.0;3;0.0;39.7577867;2.8972074
235319;Islas Baleares;house;Vacio;370000.0;100.0;3;0.0;39.5693818;3.0908748
236573;Islas Baleares;house;Vacio;168000.0;100.0;3;0.0;39.5844009;2.6339481
236574;Islas Baleares;house;Vacio;283500.0;100.0;3;2.0;39.5592763;2.6826488
237244;Islas Baleares;house;Vacio;315000.0;100.0;3;0.0;39.4895565;2.9045169
238270;Islas Baleares;house;Vacio;151410.0;101.0;3;0.0;39.3651222;2.9428333
238332;Islas Baleares;house;Vacio;275500.0;101.0;3;0.0;39.5282888;3.3215209
242250;Islas Baleares;house;Vacio;150000.0;105.0;3;2.0;39.8532415;3.1184264
242258;Islas Baleares;house;Vacio;299000.0;105.0;3;0.0;39.8219584;4.2319225
249024;Islas Baleares;house;Vacio;273000.0;110.0;3;0.0;39.7326055;3.0542351
251186;Islas Baleares;house;Vacio;235000.0;110.0;3;0.0;39.6031753;2.6156971
252306;Islas Baleares;house;Vacio;531000.0;110.0;3;0.0;39.8628678;3.1163973
253270;Islas Baleares;house;Vacio;149500.0;110.0;3;2.0;39.5783544;2.4184423
254618;Islas Baleares;house;Vacio;225000.0;112.0;3;0.0;40.0080051;4.19867
256187;Islas Baleares;house;Vacio;450000.0;114.0;3;0.0;38.9238409;1.467755
257124;Islas Baleares;house;Vacio;840000.0;115.0;3;0.0;39.8376662;4.2995795
257292;Islas Baleares;house;Vacio;199000.0;115.0;3;0.0;40.0172;4.1812
259885;Islas Baleares;house;Vacio;372600.0;116.0;3;0.0;39.5177681;3.3136913
260955;Islas Baleares;house;Vacio;250000.0;118.0;3;0.0;39.970596;3.834718
261367;Islas Baleares;house;Vacio;240000.0;118.0;3;0.0;39.9402409;4.2501504
261894;Islas Baleares;house;Vacio;325000.0;119.0;3;2.0;39.7126819;2.6251207
262057;Islas Baleares;house;Vacio;299000.0;120.0;3;0.0;39.8175128;4.2824576
262308;Islas Baleares;house;Vacio;280000.0;120.0;3;0.0;39.9914666;3.8942501
262681;Islas Baleares;house;Vacio;240000.0;120.0;3;0.0;39.6666574;2.8131674
265062;Islas Baleares;house;Vacio;245000.0;120.0;3;0.0;39.6118876;3.1135507
265733;Islas Baleares;house;Vacio;150000.0;120.0;3;2.0;39.6252011;2.5290318
266750;Islas Baleares;house;Vacio;495000.0;121.0;3;0.0;39.8752098;3.0151204
269429;Islas Baleares;house;Vacio;330000.0;125.0;3;0.0;39.8724928;4.1620742
269918;Islas Baleares;house;Vacio;138000.0;126.0;3;0.0;39.998092;3.839816
270423;Islas Baleares;house;Vacio;379000.0;127.0;3;0.0;39.8344163;3.1150246
270665;Islas Baleares;house;Vacio;240000.0;127.0;3;2.0;39.6282283;2.7263176
270847;Islas Baleares;house;Vacio;346000.0;128.0;3;0.0;40.0262717;4.1659633
271488;Islas Baleares;house;Vacio;297000.0;129.0;3;0.0;39.7372478;3.2173931
271774;Islas Baleares;house;Vacio;266099.0;130.0;3;0.0;39.973496;3.836618
271775;Islas Baleares;house;Vacio;301000.0;130.0;3;0.0;39.8329046;4.3025041
271776;Islas Baleares;house;Vacio;292709.0;130.0;3;0.0;39.9264935;3.8236454
273285;Islas Baleares;house;Vacio;285000.0;130.0;3;2.0;39.5960426;2.7093594
273346;Islas Baleares;house;Vacio;225000.0;130.0;3;5.0;39.5759207;2.4182859
274257;Islas Baleares;house;Vacio;299000.0;132.0;3;0.0;40.0048426;4.1977199
275408;Islas Baleares;house;Vacio;395000.0;135.0;3;0.0;39.8208513;4.2444328
275409;Islas Baleares;house;Vacio;415200.0;135.0;3;0.0;39.8879164;4.2953835
275983;Islas Baleares;house;Vacio;320000.0;135.0;3;0.0;39.7099714;3.1052426
276533;Islas Baleares;house;Vacio;171700.0;136.0;3;0.0;39.760905;3.125421
276549;Islas Baleares;house;Vacio;419500.0;136.0;3;0.0;39.6489399;3.3790093
276748;Islas Baleares;house;Vacio;239000.0;137.0;3;0.0;39.8972847;3.0732226
276944;Islas Baleares;house;Vacio;480000.0;137.0;3;0.0;39.5369695;2.5819943
276946;Islas Baleares;house;Vacio;525000.0;137.0;3;0.0;39.8727497;4.1335509
277535;Islas Baleares;house;Vacio;75705.0;139.0;3;0.0;39.6437622;3.0126853
277860;Islas Baleares;house;Vacio;100000.0;140.0;3;0.0;39.433354;3.0199491
278517;Islas Baleares;house;Vacio;138000.0;140.0;3;0.0;39.5710264;2.6543793
278906;Islas Baleares;house;Vacio;288000.0;140.0;3;0.0;39.6177967;2.7621867
279021;Islas Baleares;house;Vacio;425000.0;140.0;3;0.0;39.6342521;2.7116819
279091;Islas Baleares;house;Vacio;215000.0;140.0;3;0.0;39.5372464;2.7177843
279713;Islas Baleares;house;Vacio;361200.0;142.0;3;0.0;39.9027324;4.0727362
280146;Islas Baleares;house;Vacio;329000.0;143.0;3;0.0;39.8687497;4.1341509
281128;Islas Baleares;house;Vacio;395000.0;145.0;3;0.0;39.8319349;4.2134975
281190;Islas Baleares;house;Vacio;375000.0;146.0;3;0.0;39.816755;4.244125
281821;Islas Baleares;house;Vacio;278000.0;148.0;3;0.0;39.4265;2.7554537
281988;Islas Baleares;house;Vacio;450000.0;149.0;3;0.0;39.647633;2.8989574
282064;Islas Baleares;house;Vacio;425000.0;150.0;3;0.0;39.88115;4.28784
282195;Islas Baleares;house;Vacio;250000.0;150.0;3;0.0;40.0302717;4.1637633
282196;Islas Baleares;house;Vacio;303355.0;150.0;3;0.0;39.9536912;3.8415502
282452;Islas Baleares;house;Vacio;90000.0;150.0;3;0.0;39.698482;3.003769
282453;Islas Baleares;house;Vacio;180000.0;150.0;3;0.0;39.7054782;3.0095442
282454;Islas Baleares;house;Vacio;179500.0;150.0;3;0.0;39.7020694;3.0095005
283601;Islas Baleares;house;Vacio;424000.0;150.0;3;0.0;39.5785531;2.6221569
283602;Islas Baleares;house;Vacio;419000.0;150.0;3;0.0;39.5472272;2.595301
283603;Islas Baleares;house;Vacio;190000.0;150.0;3;0.0;39.4436817;2.7487779
283604;Islas Baleares;house;Vacio;189000.0;150.0;3;0.0;39.7791824;2.965555
283618;Islas Baleares;house;Vacio;687700.0;150.0;3;0.0;39.8035074;3.0178669
283619;Islas Baleares;house;Vacio;422500.0;150.0;3;0.0;39.6449399;3.3781093
283620;Islas Baleares;house;Vacio;422500.0;150.0;3;0.0;39.6489399;3.3791093
283621;Islas Baleares;house;Vacio;350000.0;150.0;3;0.0;39.4514197;3.2784803
283622;Islas Baleares;house;Vacio;350000.0;150.0;3;0.0;39.4509497;3.2779857
283676;Islas Baleares;house;Vacio;136000.0;150.0;3;2.0;39.5672924;2.9790724
283729;Islas Baleares;house;Vacio;233500.0;150.0;3;3.0;39.5774051;2.6612665
284206;Islas Baleares;house;Vacio;495000.0;151.0;3;0.0;39.697484;2.698098
284642;Islas Baleares;house;Vacio;258000.0;153.0;3;2.0;39.5793293;3.2386591
284704;Islas Baleares;house;Vacio;130000.0;154.0;3;0.0;39.7034073;3.1059679
285486;Islas Baleares;house;Vacio;370000.0;156.0;3;2.0;39.6062363;2.7249293
285487;Islas Baleares;house;Vacio;355000.0;156.0;3;2.0;39.5850269;2.6532544
285748;Islas Baleares;house;Vacio;550000.0;158.0;3;0.0;39.8152017;4.2773465
285973;Islas Baleares;house;Vacio;290000.0;159.0;3;0.0;38.9459182;1.4912461
286069;Islas Baleares;house;Vacio;90000.0;160.0;3;0.0;39.7014402;3.105009
286203;Islas Baleares;house;Vacio;250000.0;160.0;3;2.0;39.57157;3.08302
286937;Islas Baleares;house;Vacio;750000.0;160.0;3;0.0;39.8893913;4.3002222
286938;Islas Baleares;house;Vacio;290000.0;160.0;3;0.0;39.7077702;2.793455
286949;Islas Baleares;house;Vacio;750000.0;160.0;3;0.0;39.8628678;3.1171973
286950;Islas Baleares;house;Vacio;450000.0;160.0;3;0.0;39.5875406;3.3193043
