index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
24617;Islas Baleares;house;independent;2300000.0;300.0;0;0.0;39.4878849;2.8899596
28131;Islas Baleares;house;independent;500000.0;532.0;0;0.0;39.5722538;2.6541592
29208;Islas Baleares;house;independent;2000000.0;700.0;0;0.0;39.9820559;4.0122054
29455;Islas Baleares;house;independent;1500000.0;750.0;0;0.0;39.5728093;2.6542983
29819;Islas Baleares;house;independent;750000.0;848.0;0;0.0;39.568866;2.6550758
30030;Islas Baleares;house;independent;1430000.0;900.0;0;0.0;39.5706144;2.6518949
30260;Islas Baleares;house;independent;2400000.0;1000.0;0;0.0;39.9358038;4.1338291
30922;Islas Baleares;house;independent;3000000.0;1306.0;0;0.0;39.5700496;2.6471298
31542;Islas Baleares;house;independent;5000000.0;2026.0;0;0.0;39.5734572;2.6436158
61427;Islas Baleares;house;independent;88000.0;34.0;1;0.0;39.5397636;2.77259
67825;Islas Baleares;house;independent;95000.0;50.0;1;0.0;39.877963;4.1353942
75132;Islas Baleares;house;independent;150000.0;60.0;1;0.0;39.6879264;2.8421738
79186;Islas Baleares;house;independent;142000.0;70.0;1;0.0;39.647649;2.7753737
80367;Islas Baleares;house;independent;42250.0;77.0;1;2.0;40.0031382;3.8407971
80849;Islas Baleares;house;independent;222000.0;80.0;1;0.0;39.6162432;2.9739316
81563;Islas Baleares;house;independent;110000.0;90.0;1;0.0;39.5178243;2.9025916
81765;Islas Baleares;house;independent;140000.0;96.0;1;2.0;39.7202575;2.9088037
81952;Islas Baleares;house;independent;210000.0;100.0;1;0.0;39.510521;2.7562311
81966;Islas Baleares;house;independent;240000.0;100.0;1;0.0;39.84607;4.25619
82030;Islas Baleares;house;independent;110000.0;104.0;1;0.0;39.6964928;3.3526007
82080;Islas Baleares;house;independent;130000.0;105.0;1;0.0;39.7357395;3.2801344
82180;Islas Baleares;house;independent;157500.0;110.0;1;0.0;39.70987;2.78316
82319;Islas Baleares;house;independent;76500.0;117.0;1;3.0;39.7054962;2.7895264
82348;Islas Baleares;house;independent;148441.0;119.0;1;2.0;39.71865;2.91354
82417;Islas Baleares;house;independent;160000.0;120.0;1;0.0;39.740196;3.0573862
82607;Islas Baleares;house;independent;99000.0;144.0;1;2.0;39.6650145;3.0749959
82611;Islas Baleares;house;independent;99000.0;144.0;1;2.0;39.6656145;3.0769959
82821;Islas Baleares;house;independent;325000.0;200.0;1;0.0;39.5935571;3.0412108
82825;Islas Baleares;house;independent;160000.0;204.0;1;3.0;39.333721;3.1406885
82835;Islas Baleares;house;independent;200000.0;220.0;1;2.0;39.5597319;2.8907121
82882;Islas Baleares;house;independent;192000.0;270.0;1;2.0;39.6475309;3.1106658
82991;Islas Baleares;house;independent;700000.0;465.0;1;2.0;39.5149414;3.2181236
82995;Islas Baleares;house;independent;649000.0;500.0;1;0.0;39.6214656;2.8397065
83021;Islas Baleares;house;independent;1550000.0;700.0;1;0.0;39.5499633;2.6137815
83129;Islas Baleares;house;independent;190000.0;30.0;2;0.0;39.8765063;3.0155537
84696;Islas Baleares;house;independent;152250.0;48.0;2;2.0;39.7207216;2.9126438
88283;Islas Baleares;house;independent;650000.0;55.0;2;0.0;39.8269635;4.2937738
91702;Islas Baleares;house;independent;79000.0;59.0;2;3.0;40.00232;3.83926
91932;Islas Baleares;house;independent;79000.0;59.0;2;2.0;40.0051124;3.8339661
94495;Islas Baleares;house;independent;180000.0;60.0;2;0.0;38.9739683;1.2843009
95868;Islas Baleares;house;independent;190000.0;60.0;2;0.0;39.5942137;2.6425975
96841;Islas Baleares;house;independent;102350.0;61.0;2;2.0;40.0019234;3.809779
100305;Islas Baleares;house;independent;170000.0;65.0;2;0.0;39.9674047;3.8419343
102382;Islas Baleares;house;independent;210000.0;65.0;2;0.0;38.9188788;1.2888207
106871;Islas Baleares;house;independent;213000.0;68.0;2;0.0;39.8467886;4.2629162
109652;Islas Baleares;house;independent;125000.0;70.0;2;0.0;39.9986092;3.8413961
109925;Islas Baleares;house;independent;250000.0;70.0;2;0.0;39.3740171;2.967141
113795;Islas Baleares;house;independent;205000.0;70.0;2;0.0;39.651549;2.7726737
115681;Islas Baleares;house;independent;165000.0;72.0;2;3.0;39.5729797;2.7153984
116173;Islas Baleares;house;independent;165000.0;72.0;2;2.0;39.5739797;2.7173984
118368;Islas Baleares;house;independent;169000.0;74.0;2;0.0;39.7504568;2.9031281
125049;Islas Baleares;house;independent;220000.0;77.0;2;0.0;39.640016;3.0047449
129424;Islas Baleares;house;independent;245000.0;80.0;2;0.0;39.671581;3.427329
130880;Islas Baleares;house;independent;109000.0;80.0;2;0.0;39.6190171;2.6842545
133685;Islas Baleares;house;independent;329000.0;81.0;2;0.0;39.4988451;2.9077462
133774;Islas Baleares;house;independent;239000.0;81.0;2;0.0;39.648931;3.43412
135382;Islas Baleares;house;independent;166000.0;82.0;2;2.0;39.6282147;2.728119
136117;Islas Baleares;house;independent;147000.0;83.0;2;0.0;39.6894965;2.8499936
142165;Islas Baleares;house;independent;268000.0;88.0;2;0.0;39.5004564;2.753137
143894;Islas Baleares;house;independent;250000.0;90.0;2;0.0;39.4878849;2.8899596
144106;Islas Baleares;house;independent;186269.0;90.0;2;0.0;39.990294;3.8377562
144287;Islas Baleares;house;independent;260000.0;90.0;2;0.0;39.3651779;2.8688836
144421;Islas Baleares;house;independent;160000.0;90.0;2;0.0;40.0070275;3.8069192
145330;Islas Baleares;house;independent;535000.0;90.0;2;0.0;38.9590447;1.2329797
145946;Islas Baleares;house;independent;300000.0;90.0;2;0.0;39.5716645;2.6397337
146614;Islas Baleares;house;independent;197000.0;90.0;2;0.0;39.6955552;3.0001122
147330;Islas Baleares;house;independent;219000.0;92.0;2;0.0;39.7000092;3.1040678
147730;Islas Baleares;house;independent;690000.0;92.0;2;0.0;39.5497503;2.3711864
147836;Islas Baleares;house;independent;210000.0;92.0;2;0.0;39.0794292;1.4433718
148786;Islas Baleares;house;independent;145000.0;94.0;2;2.0;39.5637446;2.9738251
150045;Islas Baleares;house;independent;180000.0;95.0;2;0.0;39.3660974;2.9401639
150046;Islas Baleares;house;independent;130000.0;95.0;2;0.0;39.4953825;2.8870943
152047;Islas Baleares;house;independent;190000.0;100.0;2;0.0;39.6320875;2.6702222
152217;Islas Baleares;house;independent;275000.0;100.0;2;0.0;39.4878849;2.8899596
152359;Islas Baleares;house;independent;250000.0;100.0;2;0.0;39.8120634;4.2607248
152561;Islas Baleares;house;independent;91633.0;100.0;2;2.0;39.7215573;2.9067669
153093;Islas Baleares;house;independent;273000.0;100.0;2;0.0;39.4954636;2.4958055
153333;Islas Baleares;house;independent;250000.0;100.0;2;0.0;39.3712625;2.9457767
153559;Islas Baleares;house;independent;265000.0;100.0;2;0.0;39.5437706;2.7730546
153560;Islas Baleares;house;independent;190000.0;100.0;2;0.0;39.590734;2.6867355
153684;Islas Baleares;house;independent;375000.0;100.0;2;0.0;39.0160772;1.5903663
153745;Islas Baleares;house;independent;750000.0;100.0;2;0.0;39.077582;1.5136228
153781;Islas Baleares;house;independent;189000.0;101.0;2;0.0;39.6988619;3.0095635
155076;Islas Baleares;house;independent;158000.0;105.0;2;3.0;39.4605411;3.2710077
155207;Islas Baleares;house;independent;158000.0;105.0;2;2.0;39.4592411;3.2730077
156816;Islas Baleares;house;independent;295000.0;110.0;2;0.0;39.593002;2.6829192
156930;Islas Baleares;house;independent;725000.0;110.0;2;0.0;38.8494979;1.3964973
157018;Islas Baleares;house;independent;367500.0;110.0;2;0.0;39.5896281;2.9209794
157823;Islas Baleares;house;independent;169200.0;113.0;2;2.0;39.6116522;2.6866048
158149;Islas Baleares;house;independent;375000.0;115.0;2;0.0;39.493737;2.8908726
158259;Islas Baleares;house;independent;1200000.0;115.0;2;0.0;38.9660862;1.298971
158485;Islas Baleares;house;independent;160000.0;115.0;2;2.0;39.63017;2.6626979
158852;Islas Baleares;house;independent;320000.0;118.0;2;0.0;39.8507799;4.2786994
159181;Islas Baleares;house;independent;685000.0;120.0;2;0.0;39.5473785;2.39031
159347;Islas Baleares;house;independent;205000.0;120.0;2;0.0;39.9755167;3.8353274
159368;Islas Baleares;house;independent;290000.0;120.0;2;0.0;39.5532493;2.8890823
159428;Islas Baleares;house;independent;190000.0;120.0;2;0.0;39.7071645;2.7825281
159633;Islas Baleares;house;independent;380000.0;120.0;2;0.0;39.4218701;2.7484102
160143;Islas Baleares;house;independent;289000.0;121.0;2;0.0;39.6680678;2.5800777
160354;Islas Baleares;house;independent;475000.0;123.0;2;0.0;38.9079423;1.4264961
160553;Islas Baleares;house;independent;290000.0;125.0;2;0.0;39.5569493;2.8900823
160813;Islas Baleares;house;independent;319000.0;126.0;2;0.0;39.5580583;2.9743278
160820;Islas Baleares;house;independent;168000.0;126.0;2;0.0;39.718502;2.8688854
161211;Islas Baleares;house;independent;590000.0;130.0;2;0.0;39.8483559;4.253277
161682;Islas Baleares;house;independent;310000.0;132.0;2;0.0;39.835426;3.1183067
162121;Islas Baleares;house;independent;223000.0;136.0;2;2.0;39.6463938;3.3765218
162272;Islas Baleares;house;independent;174000.0;138.0;2;2.0;39.5467704;3.3385128
162445;Islas Baleares;house;independent;195000.0;140.0;2;0.0;39.697555;3.347944
162446;Islas Baleares;house;independent;280000.0;140.0;2;0.0;39.6464647;2.7732895
162702;Islas Baleares;house;independent;210000.0;140.0;2;0.0;39.7298705;3.0600217
162715;Islas Baleares;house;independent;200000.0;140.0;2;0.0;39.6398249;2.7473948
163178;Islas Baleares;house;independent;265845.0;148.0;2;2.0;39.4270798;3.0196694
163211;Islas Baleares;house;independent;295000.0;149.0;2;0.0;39.4769488;2.9073039
163306;Islas Baleares;house;independent;340000.0;150.0;2;0.0;39.5720235;3.3684613
163318;Islas Baleares;house;independent;425000.0;150.0;2;0.0;39.3706482;2.9459236
163343;Islas Baleares;house;independent;412000.0;150.0;2;0.0;38.9638526;1.2836411
163590;Islas Baleares;house;independent;130000.0;151.0;2;2.0;39.5112876;3.0183313
163631;Islas Baleares;house;independent;398000.0;152.0;2;2.0;39.7298161;3.215098
163866;Islas Baleares;house;independent;117865.0;157.0;2;2.0;39.4904965;2.8885428
163904;Islas Baleares;house;independent;145000.0;159.0;2;3.0;39.8892024;4.2595064
163913;Islas Baleares;house;independent;145000.0;159.0;2;2.0;39.8912024;4.2594064
163931;Islas Baleares;house;independent;475000.0;160.0;2;0.0;39.8906247;4.2593544
164070;Islas Baleares;house;independent;384000.0;160.0;2;0.0;39.5599816;2.8898657
164075;Islas Baleares;house;independent;165000.0;160.0;2;0.0;39.7331482;3.0593421
164283;Islas Baleares;house;independent;270000.0;167.0;2;0.0;39.5873003;2.7064024
164345;Islas Baleares;house;independent;270000.0;170.0;2;0.0;39.453141;3.2654408
164378;Islas Baleares;house;independent;525000.0;170.0;2;0.0;39.7087331;2.7855396
164469;Islas Baleares;house;independent;120235.0;173.0;2;3.0;39.7570205;2.9051889
164475;Islas Baleares;house;independent;120235.0;173.0;2;2.0;39.7577205;2.9031889
164486;Islas Baleares;house;independent;398000.0;173.0;2;0.0;39.7477193;2.8708029
164686;Islas Baleares;house;independent;325000.0;180.0;2;0.0;39.555754;2.619253
164748;Islas Baleares;house;independent;675000.0;180.0;2;0.0;39.5714625;2.6342093
