index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
183;Islas Baleares;office;Vacio;23000.0;18.0;0;3.0;39.6179137;2.7178447
936;Islas Baleares;office;Vacio;100000.0;30.0;0;5.0;39.5688237;2.6505989
1688;Islas Baleares;office;Vacio;77000.0;35.0;0;3.0;39.573117;2.6473162
1719;Islas Baleares;office;Vacio;70000.0;35.0;0;6.0;39.5732357;2.6550762
1720;Islas Baleares;office;Vacio;76500.0;35.0;0;7.0;39.5732283;2.6550462
1721;Islas Baleares;office;Vacio;76500.0;35.0;0;7.0;39.5732283;2.6550462
2041;Islas Baleares;office;Vacio;74500.0;37.0;0;3.0;39.5746921;2.6605775
2902;Islas Baleares;office;Vacio;90000.0;41.0;0;5.0;39.5764147;2.6504642
2942;Islas Baleares;office;Vacio;89000.0;42.0;0;2.0;39.5869855;2.6580139
2959;Islas Baleares;office;Vacio;85000.0;42.0;0;3.0;39.5748874;2.6555025
3871;Islas Baleares;office;Vacio;70000.0;48.0;0;2.0;39.5806416;2.6824691
4188;Islas Baleares;office;Vacio;90000.0;50.0;0;2.0;39.5821075;2.6519962
4464;Islas Baleares;office;Vacio;68250.0;50.0;0;0.0;39.5767968;2.6427916
4580;Islas Baleares;office;Vacio;50000.0;50.0;0;2.0;39.5734635;2.6594222
6174;Islas Baleares;office;Vacio;79000.0;60.0;0;4.0;39.8867717;4.2689414
7178;Islas Baleares;office;Vacio;50947.0;68.0;0;0.0;39.5751856;2.6515682
7864;Islas Baleares;office;Vacio;126000.0;70.0;0;3.0;39.5746604;2.6531561
7887;Islas Baleares;office;Vacio;145000.0;71.0;0;7.0;39.4904177;2.893384
8375;Islas Baleares;office;Vacio;153000.0;75.0;0;4.0;39.5742263;3.2144887
8376;Islas Baleares;office;Vacio;153000.0;75.0;0;4.0;39.5742263;3.2144887
8513;Islas Baleares;office;Vacio;95000.0;75.0;0;4.0;39.59363;2.6377166
8769;Islas Baleares;office;Vacio;153000.0;77.0;0;4.0;39.5742263;3.2144887
9102;Islas Baleares;office;Vacio;65755.0;80.0;0;0.0;39.5751856;2.6515682
9103;Islas Baleares;office;Vacio;65755.0;80.0;0;0.0;39.5751856;2.6515682
9104;Islas Baleares;office;Vacio;65755.0;80.0;0;0.0;39.5751856;2.6515682
9105;Islas Baleares;office;Vacio;65755.0;80.0;0;0.0;39.5751856;2.6515682
9106;Islas Baleares;office;Vacio;65755.0;80.0;0;0.0;39.5751856;2.6515682
9427;Islas Baleares;office;Vacio;120000.0;80.0;0;3.0;39.5661609;2.6550345
9673;Islas Baleares;office;Vacio;67321.0;82.0;0;0.0;39.5751856;2.6515682
