index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
235;Islas Baleares;premise;Vacio;166000.0;20.0;0;0.0;39.5763525;2.633962
456;Islas Baleares;premise;Vacio;23000.0;24.0;0;2.0;39.5765745;2.6391188
459;Islas Baleares;premise;Vacio;120000.0;24.0;0;2.0;39.8757897;4.2842368
880;Islas Baleares;premise;Vacio;23360.0;30.0;0;2.0;39.5126242;2.536469
1008;Islas Baleares;premise;Vacio;22900.0;30.0;0;3.0;39.5784538;2.6330336
1417;Islas Baleares;premise;Vacio;107000.0;34.0;0;2.0;39.70163;3.43756
1635;Islas Baleares;premise;Vacio;22500.0;35.0;0;0.0;39.5777904;2.6580685
1690;Islas Baleares;premise;Vacio;60000.0;35.0;0;2.0;39.5075463;2.5339255
1761;Islas Baleares;premise;Vacio;35000.0;35.0;0;0.0;39.5841727;2.6321127
1822;Islas Baleares;premise;Vacio;86000.0;35.0;0;3.0;38.9056304;1.423279
1875;Islas Baleares;premise;Vacio;74000.0;36.0;0;2.0;39.8893296;4.2591195
1877;Islas Baleares;premise;Vacio;62100.0;36.0;0;2.0;39.8784511;4.2925074
2101;Islas Baleares;premise;Vacio;47500.0;38.0;0;2.0;39.5717381;2.6692957
2108;Islas Baleares;premise;Vacio;80000.0;38.0;0;3.0;39.6098746;2.6358857
2115;Islas Baleares;premise;Vacio;23000.0;38.0;0;2.0;39.8805983;4.289119
2181;Islas Baleares;premise;Vacio;40000.0;38.0;0;2.0;39.5835277;2.6348124
2408;Islas Baleares;premise;Vacio;43599.0;40.0;0;2.0;39.4883397;2.8852353
2416;Islas Baleares;premise;Vacio;50000.0;40.0;0;2.0;39.7173698;2.9008107
2561;Islas Baleares;premise;Vacio;80000.0;40.0;0;2.0;39.5223941;2.537002
3038;Islas Baleares;premise;Vacio;56400.0;42.0;0;2.0;38.983548;1.2999269
3140;Islas Baleares;premise;Vacio;34444.0;43.0;0;2.0;39.5755495;2.6608114
3173;Islas Baleares;premise;Vacio;157500.0;43.0;0;2.0;39.5683434;2.6488556
3203;Islas Baleares;premise;Vacio;38000.0;44.0;0;2.0;40.0002852;3.8476016
3320;Islas Baleares;premise;Vacio;42900.0;45.0;0;2.0;39.50754;2.47661
3618;Islas Baleares;premise;Vacio;39900.0;45.0;0;2.0;39.570705;2.6273122
3644;Islas Baleares;premise;Vacio;75000.0;45.0;0;2.0;39.5708184;2.6513345
3647;Islas Baleares;premise;Vacio;73500.0;45.0;0;0.0;39.5795833;2.6546744
3758;Islas Baleares;premise;Vacio;40000.0;47.0;0;2.0;40.0002852;3.8488016
3875;Islas Baleares;premise;Vacio;54000.0;48.0;0;0.0;39.571103;2.634996
3924;Islas Baleares;premise;Vacio;120088.0;48.0;0;2.0;39.5810049;2.6374806
4013;Islas Baleares;premise;Vacio;40000.0;49.0;0;0.0;39.9992565;3.8373845
4091;Islas Baleares;premise;Vacio;85000.0;49.0;0;0.0;39.5756195;2.4188038
4153;Islas Baleares;premise;Vacio;106000.0;50.0;0;2.0;39.5626554;2.6251025
4225;Islas Baleares;premise;Vacio;65000.0;50.0;0;2.0;39.7057743;3.4374459
4370;Islas Baleares;premise;Vacio;170000.0;50.0;0;2.0;38.9557105;1.514811
4507;Islas Baleares;premise;Vacio;75000.0;50.0;0;2.0;39.5826337;2.6485154
4530;Islas Baleares;premise;Vacio;155000.0;50.0;0;3.0;39.5718363;2.637313
4644;Islas Baleares;premise;Vacio;52500.0;51.0;0;0.0;39.9980163;3.8369047
4659;Islas Baleares;premise;Vacio;56000.0;51.0;0;4.0;39.5452792;3.3270155
4666;Islas Baleares;premise;Vacio;55794.0;51.0;0;2.0;39.4889367;2.897049
4773;Islas Baleares;premise;Vacio;60000.0;52.0;0;2.0;39.5777917;2.6406869
4861;Islas Baleares;premise;Vacio;7500.0;53.0;0;0.0;38.9857;1.53144
4898;Islas Baleares;premise;Vacio;7500.0;53.0;0;2.0;38.9873654;1.5305029
4996;Islas Baleares;premise;Vacio;59000.0;54.0;0;4.0;39.76902;3.01489
5156;Islas Baleares;premise;Vacio;100000.0;55.0;0;2.0;39.5746006;2.6616107
5431;Islas Baleares;premise;Vacio;67000.0;56.0;0;2.0;39.5889284;2.6618291
5544;Islas Baleares;premise;Vacio;50000.0;57.0;0;2.0;39.87825;4.25701
5550;Islas Baleares;premise;Vacio;60000.0;57.0;0;2.0;39.4912724;2.5319867
5562;Islas Baleares;premise;Vacio;90000.0;57.0;0;2.0;39.5878978;2.6622925
5822;Islas Baleares;premise;Vacio;90000.0;60.0;0;3.0;39.5660464;2.6266049
5941;Islas Baleares;premise;Vacio;86625.0;60.0;0;2.0;39.5801753;2.6344009
6066;Islas Baleares;premise;Vacio;112000.0;60.0;0;0.0;39.5803656;2.6363744
6082;Islas Baleares;premise;Vacio;105000.0;60.0;0;2.0;39.5735069;2.636193
6110;Islas Baleares;premise;Vacio;30000.0;60.0;0;0.0;39.5737834;2.6737864
6138;Islas Baleares;premise;Vacio;15000.0;60.0;0;2.0;39.6105968;2.6428709
6194;Islas Baleares;premise;Vacio;367500.0;60.0;0;2.0;38.9065158;1.4196879
