index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
78805;La Rioja;flat;duplex;120000.0;70.0;1;4.0;42.4648999;-2.4515233
79805;La Rioja;flat;duplex;82500.0;74.0;1;5.0;42.3255051;-3.026562
83629;La Rioja;flat;duplex;39000.0;41.0;2;6.0;42.4633364;-2.4330652
88347;La Rioja;flat;duplex;84000.0;55.0;2;4.0;42.412184;-2.8151282
101712;La Rioja;flat;duplex;79000.0;65.0;2;3.0;42.51217;-2.92853
105266;La Rioja;flat;duplex;123300.0;66.0;2;5.0;42.4695941;-2.4429807
105873;La Rioja;flat;duplex;110000.0;67.0;2;3.0;42.51217;-2.93013
109972;La Rioja;flat;duplex;99000.0;70.0;2;6.0;42.4559344;-2.4814243
122084;La Rioja;flat;duplex;90000.0;75.0;2;5.0;42.4733326;-2.4613458
130861;La Rioja;flat;duplex;63588.0;80.0;2;4.0;42.4278302;-2.4149436
134393;La Rioja;flat;duplex;93000.0;82.0;2;2.0;42.4240465;-2.4212871
137009;La Rioja;flat;duplex;148200.0;84.0;2;4.0;42.4660217;-2.445665
142892;La Rioja;flat;duplex;44700.0;89.0;2;4.0;42.434044;-2.252487
143880;La Rioja;flat;duplex;60000.0;90.0;2;3.0;42.2310086;-2.4741952
145765;La Rioja;flat;duplex;44935.0;90.0;2;4.0;42.4257273;-2.4195633
147128;La Rioja;flat;duplex;89000.0;91.0;2;3.0;42.426338;-2.455776
155377;La Rioja;flat;duplex;170000.0;105.0;2;4.0;42.4235985;-2.4237669
160905;La Rioja;flat;duplex;77671.0;127.0;2;4.0;42.3401399;-2.8525986
161783;La Rioja;flat;duplex;80997.0;133.0;2;4.0;42.3361399;-2.8542986
180677;La Rioja;flat;duplex;65000.0;75.0;3;0.0;42.4263651;-2.4200889
186164;La Rioja;flat;duplex;86000.0;78.0;3;0.0;42.43576;-2.4143
190000;La Rioja;flat;duplex;60000.0;80.0;3;4.0;42.5415576;-2.8358268
193631;La Rioja;flat;duplex;125000.0;80.0;3;5.0;42.5739201;-2.8437873
198753;La Rioja;flat;duplex;108000.0;85.0;3;6.0;42.3251799;-3.0166335
204787;La Rioja;flat;duplex;116500.0;87.0;3;5.0;42.4215374;-2.4194437
205392;La Rioja;flat;duplex;137500.0;87.0;3;5.0;42.5742593;-2.8494347
211614;La Rioja;flat;duplex;158000.0;90.0;3;6.0;42.469926;-2.4620876
217162;La Rioja;flat;duplex;133000.0;92.0;3;0.0;42.4263054;-2.4224692
230172;La Rioja;flat;duplex;140000.0;99.0;3;5.0;42.4286636;-2.414112
230331;La Rioja;flat;duplex;89900.0;99.0;3;4.0;42.5474517;-2.9122979
231885;La Rioja;flat;duplex;120000.0;100.0;3;0.0;42.4042231;-2.4424471
239177;La Rioja;flat;duplex;220000.0;102.0;3;4.0;42.4143343;-2.8853656
239691;La Rioja;flat;duplex;138000.0;102.0;3;Vacio;42.4243582;-2.4638909
240385;La Rioja;flat;duplex;180000.0;103.0;3;3.0;42.4676999;-2.4520233
240780;La Rioja;flat;duplex;122659.0;103.0;3;Vacio;42.4369922;-2.4624992
243798;La Rioja;flat;duplex;162000.0;105.0;3;9.0;42.4598886;-2.4483887
243878;La Rioja;flat;duplex;162000.0;105.0;3;9.0;42.4563462;-2.447466
248760;La Rioja;flat;duplex;98139.0;109.0;3;2.0;42.4358922;-2.4651992
249163;La Rioja;flat;duplex;130000.0;110.0;3;4.0;42.4266547;-2.4253948
249427;La Rioja;flat;duplex;100000.0;110.0;3;Vacio;42.4106093;-2.8168744
