index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
21491;País Vasco;countryHouse;country house;250000.0;210.0;0;0.0;43.333712;-2.678589
23836;País Vasco;countryHouse;country house;415000.0;267.0;0;0.0;43.4176748;-2.7224411
26280;País Vasco;countryHouse;country house;80000.0;375.0;0;0.0;43.184271;-2.4679419
60901;País Vasco;countryHouse;country house;138000.0;28.0;1;0.0;43.2679853;-2.008625
80862;País Vasco;countryHouse;country house;200000.0;80.0;1;0.0;43.247094;-1.968359
83013;País Vasco;countryHouse;country house;575000.0;600.0;1;0.0;43.3181143;-1.9016685
89979;País Vasco;countryHouse;country house;215000.0;56.0;2;0.0;43.366898;-1.793752
166024;País Vasco;countryHouse;country house;230000.0;380.0;2;0.0;43.3249193;-2.8164596
274999;País Vasco;countryHouse;country house;330000.0;134.0;3;0.0;43.178061;-2.307434
295418;País Vasco;countryHouse;country house;260000.0;200.0;3;0.0;43.248894;-1.970659
303437;País Vasco;countryHouse;country house;1100000.0;300.0;3;0.0;43.2947955;-1.9695609
304796;País Vasco;countryHouse;country house;585000.0;370.0;3;0.0;43.0093227;-2.2340587
305754;País Vasco;countryHouse;country house;330000.0;560.0;3;0.0;43.2420965;-3.2296635
367898;País Vasco;countryHouse;country house;269000.0;340.0;4;0.0;43.0525406;-2.088368
368347;País Vasco;countryHouse;country house;430000.0;350.0;4;0.0;43.3152787;-2.9634508
371984;País Vasco;countryHouse;country house;360000.0;505.0;4;0.0;43.0257003;-2.5162022
383323;País Vasco;countryHouse;country house;590000.0;250.0;5;0.0;43.296979;-2.0298424
383916;País Vasco;countryHouse;country house;350000.0;253.0;5;0.0;43.3373193;-1.7705937
386019;País Vasco;countryHouse;country house;450000.0;292.0;5;0.0;43.3122298;-2.7502008
393492;País Vasco;countryHouse;country house;900000.0;500.0;5;0.0;43.338633;-2.7004492
405324;País Vasco;countryHouse;country house;570000.0;550.0;7;0.0;43.3187793;-1.8938493
406686;País Vasco;countryHouse;country house;1480000.0;360.0;8;0.0;43.3366729;-1.82448
406844;País Vasco;countryHouse;country house;590000.0;450.0;8;0.0;43.2922486;-3.1647725
