index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
23760;País Vasco;house;semi-detached;380000.0;263.0;0;0.0;43.3838434;-2.6972856
82884;País Vasco;house;semi-detached;180000.0;270.0;1;2.0;43.2614014;-2.5899211
145645;País Vasco;house;semi-detached;80000.0;90.0;2;0.0;43.2553495;-3.096801
163887;País Vasco;house;semi-detached;255000.0;158.0;2;0.0;42.8474072;-2.7436876
165204;País Vasco;house;semi-detached;325000.0;202.0;2;0.0;43.3029008;-2.3857378
226111;País Vasco;house;semi-detached;244000.0;96.0;3;0.0;43.1435008;-2.9631062
249914;País Vasco;house;semi-detached;280000.0;110.0;3;0.0;43.3230824;-3.0019944
252213;País Vasco;house;semi-detached;228660.0;110.0;3;2.0;42.8425462;-2.5159737
257613;País Vasco;house;semi-detached;384648.0;115.0;3;0.0;43.2483928;-3.2227431
261821;País Vasco;house;semi-detached;363000.0;119.0;3;2.0;42.8701701;-2.6839319
265347;País Vasco;house;semi-detached;432600.0;120.0;3;2.0;43.3905891;-2.8779197
267345;País Vasco;house;semi-detached;260000.0;122.0;3;0.0;42.8159771;-2.8087398
267802;País Vasco;house;semi-detached;280000.0;123.0;3;2.0;42.8164811;-2.8196789
271108;País Vasco;house;semi-detached;300000.0;128.0;3;2.0;42.821042;-2.807389
272291;País Vasco;house;semi-detached;490000.0;130.0;3;2.0;43.3234722;-1.9617275
274529;País Vasco;house;semi-detached;315000.0;132.0;3;2.0;42.96988;-2.7181728
277956;País Vasco;house;semi-detached;315000.0;140.0;3;0.0;42.9532106;-2.8183323
278123;País Vasco;house;semi-detached;375000.0;140.0;3;0.0;43.3136062;-2.9325455
278815;País Vasco;house;semi-detached;295000.0;140.0;3;0.0;43.2909133;-2.9255029
279059;País Vasco;house;semi-detached;295000.0;140.0;3;0.0;43.2968324;-2.9218734
282488;País Vasco;house;semi-detached;545000.0;150.0;3;0.0;43.4067611;-2.9648237
282964;País Vasco;house;semi-detached;450000.0;150.0;3;0.0;43.3625402;-2.9871999
284024;País Vasco;house;semi-detached;300000.0;150.0;3;0.0;43.0036827;-2.1762964
284433;País Vasco;house;semi-detached;365000.0;152.0;3;0.0;42.8898232;-2.7009049
286600;País Vasco;house;semi-detached;280000.0;160.0;3;2.0;42.8162906;-2.865999
287055;País Vasco;house;semi-detached;245000.0;160.0;3;0.0;42.709534;-2.9202214
289301;País Vasco;house;semi-detached;290000.0;170.0;3;0.0;42.8552924;-2.702557
290384;País Vasco;house;semi-detached;240000.0;175.0;3;0.0;43.2089307;-3.1316638
290544;País Vasco;house;semi-detached;410000.0;175.0;3;2.0;43.2892872;-2.690159
290925;País Vasco;house;semi-detached;240000.0;178.0;3;0.0;42.8210273;-2.8355935
291642;País Vasco;house;semi-detached;510000.0;180.0;3;0.0;43.3346356;-2.9952996
291647;País Vasco;house;semi-detached;300000.0;180.0;3;0.0;42.8696169;-2.6925889
291648;País Vasco;house;semi-detached;432600.0;180.0;3;0.0;42.8690485;-2.7012115
292988;País Vasco;house;semi-detached;150000.0;185.0;3;0.0;42.591194;-2.798162
293686;País Vasco;house;semi-detached;317000.0;190.0;3;0.0;42.9590237;-2.726219
294420;País Vasco;house;semi-detached;288500.0;195.0;3;0.0;42.8411902;-2.5079617
295119;País Vasco;house;semi-detached;340000.0;200.0;3;0.0;43.3878337;-2.9853607
295763;País Vasco;house;semi-detached;295000.0;200.0;3;0.0;43.1946536;-2.0924238
295777;País Vasco;house;semi-detached;326000.0;200.0;3;2.0;42.813508;-2.8156831
296691;País Vasco;house;semi-detached;590000.0;208.0;3;0.0;43.2768583;-1.9470587
296871;País Vasco;house;semi-detached;650000.0;210.0;3;0.0;43.2939739;-1.9753894
297326;País Vasco;house;semi-detached;290000.0;213.0;3;0.0;42.8414382;-2.5199895
298030;País Vasco;house;semi-detached;250000.0;220.0;3;0.0;42.5830112;-2.7986322
298136;País Vasco;house;semi-detached;630000.0;220.0;3;0.0;43.3356888;-1.788727
299104;País Vasco;house;semi-detached;360000.0;230.0;3;2.0;42.8707049;-2.7001868
299720;País Vasco;house;semi-detached;326000.0;239.0;3;0.0;42.84377;-2.5147899
299793;País Vasco;house;semi-detached;990000.0;240.0;3;0.0;43.3411827;-3.0053776
300034;País Vasco;house;semi-detached;324000.0;240.0;3;0.0;43.3351474;-3.1131076
300915;País Vasco;house;semi-detached;348500.0;250.0;3;0.0;42.8443044;-2.5113766
301154;País Vasco;house;semi-detached;360000.0;250.0;3;0.0;42.8667405;-2.7016631
302619;País Vasco;house;semi-detached;240000.0;280.0;3;0.0;42.8434298;-2.514653
302649;País Vasco;house;semi-detached;435000.0;280.0;3;0.0;43.3512743;-2.8461435
303091;País Vasco;house;semi-detached;950000.0;293.0;3;2.0;42.8363439;-2.682901
