index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
64;País Vasco;office;Vacio;40000.0;12.0;0;2.0;43.3045438;-1.9793086
127;País Vasco;office;Vacio;35000.0;15.0;0;2.0;43.3157068;-2.6795485
241;País Vasco;office;Vacio;77000.0;20.0;0;0.0;43.302317;-2.02342
258;País Vasco;office;Vacio;45000.0;20.0;0;2.0;43.304437;-1.9767481
305;País Vasco;office;Vacio;70000.0;20.0;0;2.0;43.3201869;-1.9756728
355;País Vasco;office;Vacio;71000.0;22.0;0;2.0;43.2579735;-2.9436868
445;País Vasco;office;Vacio;90000.0;24.0;0;4.0;43.2563178;-2.9263043
521;País Vasco;office;Vacio;100000.0;25.0;0;2.0;43.2703831;-2.9244709
524;País Vasco;office;Vacio;85000.0;25.0;0;2.0;43.3247129;-1.9828142
532;País Vasco;office;Vacio;60000.0;25.0;0;2.0;43.2523658;-2.9175439
537;País Vasco;office;Vacio;98000.0;25.0;0;4.0;43.3174713;-1.9814458
539;País Vasco;office;Vacio;57000.0;25.0;0;3.0;43.3012919;-2.0236642
565;País Vasco;office;Vacio;52000.0;25.0;0;4.0;43.265428;-2.924668
566;País Vasco;office;Vacio;52000.0;25.0;0;4.0;43.265428;-2.925368
658;País Vasco;office;Vacio;80000.0;27.0;0;9.0;43.262976;-2.924068
736;País Vasco;office;Vacio;70000.0;28.0;0;5.0;43.2697383;-2.941929
849;País Vasco;office;Vacio;69000.0;30.0;0;12.0;43.2595069;-2.9346507
896;País Vasco;office;Vacio;100000.0;30.0;0;3.0;43.3167473;-1.9856534
942;País Vasco;office;Vacio;85000.0;30.0;0;7.0;43.3504021;-3.0119732
989;País Vasco;office;Vacio;39500.0;30.0;0;2.0;43.3402906;-1.7813569
995;País Vasco;office;Vacio;125000.0;30.0;0;8.0;43.3192413;-1.9823271
1068;País Vasco;office;Vacio;62000.0;30.0;0;4.0;43.261428;-2.928068
1104;País Vasco;office;Vacio;60000.0;30.0;0;2.0;43.3262802;-1.9691061
1169;País Vasco;office;Vacio;90000.0;32.0;0;2.0;43.3156928;-1.97804
1349;País Vasco;office;Vacio;108000.0;33.0;0;3.0;43.33003;-3.0345391
