index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
3043;Principado de Asturias;flat;Vacio;87000.0;42.0;0;4.0;43.3726149;-5.8315241
9426;Principado de Asturias;flat;Vacio;60000.0;80.0;0;4.0;43.5212109;-5.6681272
60997;Principado de Asturias;flat;Vacio;79310.0;30.0;1;0.0;43.4823214;-5.4335748
61017;Principado de Asturias;flat;Vacio;60000.0;30.0;1;3.0;43.1793888;-5.7544226
61192;Principado de Asturias;flat;Vacio;65000.0;32.0;1;0.0;43.3744683;-5.8359576
61516;Principado de Asturias;flat;Vacio;55000.0;35.0;1;5.0;43.4837214;-5.4373748
61566;Principado de Asturias;flat;Vacio;78000.0;35.0;1;7.0;43.3646006;-5.8455879
61567;Principado de Asturias;flat;Vacio;69000.0;35.0;1;3.0;43.3660807;-5.8762698
61568;Principado de Asturias;flat;Vacio;63000.0;35.0;1;3.0;43.3661453;-5.8531302
61588;Principado de Asturias;flat;Vacio;54000.0;35.0;1;3.0;43.4367505;-5.8494287
61807;Principado de Asturias;flat;Vacio;80180.0;36.0;1;3.0;43.3996764;-5.8111135
61887;Principado de Asturias;flat;Vacio;68000.0;36.0;1;3.0;43.3691563;-5.8486282
61949;Principado de Asturias;flat;Vacio;100000.0;37.0;1;2.0;43.4864374;-5.437056
61968;Principado de Asturias;flat;Vacio;60000.0;37.0;1;2.0;43.3557674;-5.8599914
62031;Principado de Asturias;flat;Vacio;82720.0;38.0;1;3.0;43.3565318;-5.8707392
62032;Principado de Asturias;flat;Vacio;85360.0;38.0;1;3.0;43.3565318;-5.8707392
62033;Principado de Asturias;flat;Vacio;86900.0;38.0;1;4.0;43.3565318;-5.8707392
62034;Principado de Asturias;flat;Vacio;88660.0;38.0;1;5.0;43.3565318;-5.8707392
62080;Principado de Asturias;flat;Vacio;122252.0;38.0;1;3.0;43.5534679;-5.9204714
62110;Principado de Asturias;flat;Vacio;86500.0;38.0;1;0.0;43.4838497;-5.4402438
62169;Principado de Asturias;flat;Vacio;55000.0;38.0;1;5.0;43.6125714;-5.7951447
62245;Principado de Asturias;flat;Vacio;84860.0;39.0;1;0.0;43.5419412;-5.6694402
62283;Principado de Asturias;flat;Vacio;50000.0;39.0;1;4.0;43.5639965;-6.6456284
62459;Principado de Asturias;flat;Vacio;73438.0;40.0;1;0.0;43.35758;-5.1333
62466;Principado de Asturias;flat;Vacio;102352.0;40.0;1;0.0;43.571651;-5.91438
62467;Principado de Asturias;flat;Vacio;99227.0;40.0;1;0.0;43.571651;-5.91438
62516;Principado de Asturias;flat;Vacio;75000.0;40.0;1;3.0;43.3166957;-4.8475005
62588;Principado de Asturias;flat;Vacio;52000.0;40.0;1;4.0;43.2757411;-5.5908947
62600;Principado de Asturias;flat;Vacio;73438.0;40.0;1;4.0;43.35758;-5.1333
62633;Principado de Asturias;flat;Vacio;55820.0;40.0;1;2.0;43.1026792;-5.5036449
62656;Principado de Asturias;flat;Vacio;102700.0;40.0;1;9.0;43.37303;-5.84517
62787;Principado de Asturias;flat;Vacio;77273.0;40.0;1;7.0;43.3666047;-5.8403423
62788;Principado de Asturias;flat;Vacio;67000.0;40.0;1;8.0;43.3673696;-5.853779
62789;Principado de Asturias;flat;Vacio;88000.0;40.0;1;3.0;43.3700122;-5.8790272
62790;Principado de Asturias;flat;Vacio;80702.0;40.0;1;3.0;43.352469;-5.8613423
62791;Principado de Asturias;flat;Vacio;90000.0;40.0;1;2.0;43.4195834;-4.8631234
62882;Principado de Asturias;flat;Vacio;78000.0;40.0;1;7.0;43.5352462;-5.9070966
62930;Principado de Asturias;flat;Vacio;68000.0;40.0;1;6.0;43.3539787;-5.8605776
63104;Principado de Asturias;flat;Vacio;55000.0;40.0;1;4.0;43.37567;-5.79719
63124;Principado de Asturias;flat;Vacio;138000.0;40.0;1;3.0;43.5236073;-5.6672968
63184;Principado de Asturias;flat;Vacio;78000.0;40.0;1;7.0;43.3819762;-5.8260603
63185;Principado de Asturias;flat;Vacio;40000.0;40.0;1;3.0;43.3583783;-5.8726684
63274;Principado de Asturias;flat;Vacio;73000.0;40.0;1;6.0;43.367017;-5.8478517
63275;Principado de Asturias;flat;Vacio;65000.0;40.0;1;6.0;43.3698978;-5.8638943
63276;Principado de Asturias;flat;Vacio;50000.0;40.0;1;4.0;43.3723276;-5.8575966
63277;Principado de Asturias;flat;Vacio;75000.0;40.0;1;4.0;43.3558303;-5.8723622
63305;Principado de Asturias;flat;Vacio;75000.0;40.0;1;7.0;43.3612437;-5.8488969
63312;Principado de Asturias;flat;Vacio;52500.0;40.0;1;3.0;43.4017899;-5.8092
63378;Principado de Asturias;flat;Vacio;36000.0;41.0;1;2.0;43.4687828;-7.0488645
63379;Principado de Asturias;flat;Vacio;41042.0;41.0;1;2.0;43.4660232;-7.0490162
63414;Principado de Asturias;flat;Vacio;75973.0;41.0;1;0.0;43.35758;-5.1333
63498;Principado de Asturias;flat;Vacio;120000.0;41.0;1;7.0;43.5322235;-5.6610643
63548;Principado de Asturias;flat;Vacio;74000.0;41.0;1;3.0;43.4205501;-4.7526095
63588;Principado de Asturias;flat;Vacio;59000.0;41.0;1;3.0;43.5250769;-5.7465539
63592;Principado de Asturias;flat;Vacio;50000.0;41.0;1;4.0;43.3732841;-5.833587
63626;Principado de Asturias;flat;Vacio;77000.0;41.0;1;7.0;43.3687047;-5.8404423
63648;Principado de Asturias;flat;Vacio;93000.0;42.0;1;3.0;43.3642441;-5.8649765
63688;Principado de Asturias;flat;Vacio;77172.0;42.0;1;0.0;43.35758;-5.1333
63689;Principado de Asturias;flat;Vacio;79042.0;42.0;1;0.0;43.35758;-5.1333
63690;Principado de Asturias;flat;Vacio;77381.0;42.0;1;0.0;43.35758;-5.1333
63758;Principado de Asturias;flat;Vacio;99227.0;42.0;1;6.0;43.55867;-5.9254814
63777;Principado de Asturias;flat;Vacio;105000.0;42.0;1;4.0;43.5522998;-5.9251312
63831;Principado de Asturias;flat;Vacio;110000.0;42.0;1;0.0;43.5351123;-5.6572471
