index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
143;Principado de Asturias;flat;studio;18500.0;16.0;0;1.0;43.3628832;-5.8580386
387;Principado de Asturias;flat;studio;36000.0;23.0;0;4.0;43.5362539;-5.6692943
634;Principado de Asturias;flat;studio;26900.0;26.0;0;0.0;43.5306507;-5.6557338
1031;Principado de Asturias;flat;studio;39000.0;30.0;0;7.0;43.3702124;-5.840365
1422;Principado de Asturias;flat;studio;75000.0;34.0;0;3.0;43.54152;-5.6879733
1627;Principado de Asturias;flat;studio;65000.0;35.0;0;11.0;43.3668912;-5.850752
1680;Principado de Asturias;flat;studio;75000.0;35.0;0;7.0;43.368847;-5.846957
1738;Principado de Asturias;flat;studio;42000.0;35.0;0;8.0;43.3645335;-5.8504086
1769;Principado de Asturias;flat;studio;112000.0;35.0;0;6.0;43.3585567;-5.8431752
1899;Principado de Asturias;flat;studio;47000.0;36.0;0;Vacio;43.5384554;-5.6453479
2158;Principado de Asturias;flat;studio;101300.0;38.0;0;7.0;43.3655093;-5.8526472
2160;Principado de Asturias;flat;studio;83000.0;38.0;0;7.0;43.365368;-5.8449538
2161;Principado de Asturias;flat;studio;39500.0;38.0;0;6.0;43.363483;-5.8412869
2614;Principado de Asturias;flat;studio;39000.0;40.0;0;7.0;43.3629447;-5.8660055
2625;Principado de Asturias;flat;studio;69000.0;40.0;0;3.0;43.36463;-5.8526944
2867;Principado de Asturias;flat;studio;185000.0;41.0;0;0.0;43.5404996;-5.6566617
2909;Principado de Asturias;flat;studio;61500.0;41.0;0;4.0;43.3578208;-5.8470196
3124;Principado de Asturias;flat;studio;78000.0;43.0;0;5.0;43.3667549;-5.8438528
3284;Principado de Asturias;flat;studio;49000.0;44.0;0;2.0;43.3751273;-4.5458039
3340;Principado de Asturias;flat;studio;45000.0;45.0;0;3.0;43.3583783;-5.8726684
3587;Principado de Asturias;flat;studio;150000.0;45.0;0;5.0;43.3615835;-5.8406739
3935;Principado de Asturias;flat;studio;75000.0;48.0;0;4.0;43.36907;-5.87727
4073;Principado de Asturias;flat;studio;63538.0;49.0;0;0.0;43.3727698;-5.8525195
4552;Principado de Asturias;flat;studio;59900.0;50.0;0;5.0;43.37063;-5.84378
4587;Principado de Asturias;flat;studio;27000.0;50.0;0;2.0;43.5333048;-5.6464653
4833;Principado de Asturias;flat;studio;100000.0;52.0;0;4.0;43.5437821;-5.7066781
5288;Principado de Asturias;flat;studio;85000.0;55.0;0;5.0;43.3680971;-5.8441076
5343;Principado de Asturias;flat;studio;90000.0;55.0;0;9.0;43.37054;-5.83933
5388;Principado de Asturias;flat;studio;118000.0;55.0;0;4.0;43.5410819;-5.6594604
5513;Principado de Asturias;flat;studio;55000.0;56.0;0;11.0;43.3679805;-5.8489522
5588;Principado de Asturias;flat;studio;110000.0;57.0;0;6.0;43.3608318;-5.8430184
5674;Principado de Asturias;flat;studio;189000.0;58.0;0;0.0;43.5433081;-5.6629404
6181;Principado de Asturias;flat;studio;114000.0;60.0;0;6.0;43.3602318;-5.8470184
9284;Principado de Asturias;flat;studio;82000.0;80.0;0;9.0;43.3742231;-5.8358411
