index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
16436;Principado de Asturias;house;terraced house;35000.0;140.0;0;0.0;43.2322942;-5.4633511
18210;Principado de Asturias;house;terraced house;15000.0;160.0;0;0.0;43.3451852;-5.3610329
61847;Principado de Asturias;house;terraced house;42000.0;36.0;1;0.0;43.2169722;-6.4557348
81679;Principado de Asturias;house;terraced house;84000.0;94.0;1;0.0;43.5644533;-6.8387418
82341;Principado de Asturias;house;terraced house;290000.0;118.0;1;0.0;43.544897;-6.5329626
82978;Principado de Asturias;house;terraced house;155445.0;403.0;1;0.0;43.5436922;-6.5307555
89222;Principado de Asturias;house;terraced house;54000.0;55.0;2;0.0;43.33906;-5.98594
89726;Principado de Asturias;house;terraced house;16000.0;56.0;2;3.0;43.2864;-5.63936
113997;Principado de Asturias;house;terraced house;109000.0;70.0;2;0.0;43.5448321;-5.9437424
116582;Principado de Asturias;house;terraced house;137000.0;72.0;2;0.0;43.5648779;-5.9566908
138584;Principado de Asturias;house;terraced house;140000.0;85.0;2;0.0;43.4973419;-5.7119695
145715;Principado de Asturias;house;terraced house;248900.0;90.0;2;0.0;43.2812726;-5.6736974
149589;Principado de Asturias;house;terraced house;145000.0;95.0;2;0.0;43.3700299;-4.5370597
155503;Principado de Asturias;house;terraced house;99000.0;105.0;2;0.0;43.4862247;-5.2702366
156747;Principado de Asturias;house;terraced house;90000.0;110.0;2;0.0;43.5345907;-5.8808578
157540;Principado de Asturias;house;terraced house;80000.0;112.0;2;3.0;43.31423;-5.70511
157923;Principado de Asturias;house;terraced house;41000.0;114.0;2;3.0;43.1908;-5.8485
161744;Principado de Asturias;house;terraced house;66500.0;132.0;2;0.0;43.3641072;-5.6616455
162007;Principado de Asturias;house;terraced house;90000.0;135.0;2;0.0;43.3586434;-5.2436761
163185;Principado de Asturias;house;terraced house;90000.0;148.0;2;0.0;43.5388484;-7.0214249
165415;Principado de Asturias;house;terraced house;70000.0;220.0;2;0.0;43.345569;-5.1269406
165986;Principado de Asturias;house;terraced house;71000.0;360.0;2;3.0;43.4404;-5.01542
174822;Principado de Asturias;house;terraced house;36000.0;70.0;3;0.0;43.54039;-5.90069
175366;Principado de Asturias;house;terraced house;66000.0;70.0;3;0.0;43.347569;-5.1263406
185481;Principado de Asturias;house;terraced house;153000.0;77.0;3;0.0;43.5442054;-6.1137869
189018;Principado de Asturias;house;terraced house;48000.0;80.0;3;0.0;43.2496251;-5.5589322
195352;Principado de Asturias;house;terraced house;150000.0;82.0;3;0.0;43.5665227;-6.6494696
197654;Principado de Asturias;house;terraced house;186000.0;84.0;3;0.0;43.52331;-5.6880788
213560;Principado de Asturias;house;terraced house;72000.0;90.0;3;0.0;43.5090045;-6.0759761
214012;Principado de Asturias;house;terraced house;185000.0;90.0;3;0.0;43.5234857;-5.689597
219937;Principado de Asturias;house;terraced house;33600.0;94.0;3;2.0;43.2499301;-5.7707571
226396;Principado de Asturias;house;terraced house;176000.0;96.0;3;0.0;43.52511;-5.6842788
229242;Principado de Asturias;house;terraced house;105120.0;98.0;3;0.0;43.2538939;-5.7762546
231887;Principado de Asturias;house;terraced house;155000.0;100.0;3;0.0;43.5431269;-6.5275725
235769;Principado de Asturias;house;terraced house;210000.0;100.0;3;0.0;43.5330516;-5.6976908
244019;Principado de Asturias;house;terraced house;110000.0;105.0;3;0.0;43.3740066;-4.5517813
247845;Principado de Asturias;house;terraced house;110000.0;108.0;3;0.0;43.3933754;-5.5804268
252696;Principado de Asturias;house;terraced house;140000.0;110.0;3;0.0;43.3855656;-5.1818288
261357;Principado de Asturias;house;terraced house;170300.0;118.0;3;0.0;43.5433419;-6.0967886
263794;Principado de Asturias;house;terraced house;93000.0;120.0;3;0.0;43.3456852;-5.3650329
263887;Principado de Asturias;house;terraced house;205000.0;120.0;3;0.0;43.5340025;-5.6488585
268206;Principado de Asturias;house;terraced house;180000.0;124.0;3;0.0;43.4193501;-4.7506095
272111;Principado de Asturias;house;terraced house;110000.0;130.0;3;0.0;43.3566178;-5.5100214
272675;Principado de Asturias;house;terraced house;180000.0;130.0;3;0.0;43.3704223;-5.5760225
272739;Principado de Asturias;house;terraced house;189730.0;130.0;3;0.0;43.5619917;-5.9772123
275704;Principado de Asturias;house;terraced house;220000.0;135.0;3;0.0;43.4902224;-5.6378823
278359;Principado de Asturias;house;terraced house;30000.0;140.0;3;0.0;43.3453852;-5.3650329
278516;Principado de Asturias;house;terraced house;90000.0;140.0;3;0.0;43.3263347;-4.5822648
