index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
257;Principado de Asturias;premise;Vacio;33000.0;20.0;0;0.0;43.5416211;-5.6626868
1033;Principado de Asturias;premise;Vacio;50000.0;30.0;0;2.0;43.5296784;-5.6752984
1161;Principado de Asturias;premise;Vacio;125000.0;31.0;0;2.0;43.5387363;-5.6678066
1406;Principado de Asturias;premise;Vacio;22500.0;34.0;0;2.0;43.5669398;-5.9379714
1569;Principado de Asturias;premise;Vacio;35900.0;35.0;0;2.0;43.3678154;-5.8756659
1659;Principado de Asturias;premise;Vacio;45000.0;35.0;0;2.0;43.3661492;-5.8660237
1746;Principado de Asturias;premise;Vacio;35900.0;35.0;0;2.0;43.3702154;-5.8725659
1768;Principado de Asturias;premise;Vacio;210000.0;35.0;0;2.0;43.3655375;-5.8534903
2661;Principado de Asturias;premise;Vacio;120000.0;40.0;0;2.0;43.5428411;-5.6637704
2958;Principado de Asturias;premise;Vacio;32450.0;42.0;0;2.0;43.5381947;-5.9098391
2996;Principado de Asturias;premise;Vacio;32450.0;42.0;0;2.0;43.5368274;-5.9094694
3153;Principado de Asturias;premise;Vacio;135000.0;43.0;0;2.0;43.5403818;-5.6510576
3163;Principado de Asturias;premise;Vacio;66000.0;43.0;0;2.0;43.3711836;-5.8741573
3278;Principado de Asturias;premise;Vacio;30000.0;44.0;0;2.0;43.5368792;-5.6446536
3451;Principado de Asturias;premise;Vacio;45000.0;45.0;0;0.0;43.3659466;-5.8655588
3502;Principado de Asturias;premise;Vacio;105000.0;45.0;0;2.0;43.5366896;-5.6552649
3572;Principado de Asturias;premise;Vacio;70000.0;45.0;0;2.0;43.3578709;-5.8412534
3717;Principado de Asturias;premise;Vacio;30000.0;46.0;0;2.0;43.5372783;-5.6446537
3890;Principado de Asturias;premise;Vacio;50000.0;48.0;0;2.0;43.2713835;-5.6101874
3910;Principado de Asturias;premise;Vacio;24100.0;48.0;0;3.0;43.2871592;-5.6651158
4324;Principado de Asturias;premise;Vacio;35000.0;50.0;0;2.0;43.3585273;-5.8699133
5141;Principado de Asturias;premise;Vacio;52000.0;55.0;0;2.0;43.2880461;-5.6366301
5152;Principado de Asturias;premise;Vacio;66000.0;55.0;0;2.0;43.5414292;-6.7212147
5309;Principado de Asturias;premise;Vacio;105000.0;55.0;0;2.0;43.5525752;-5.9261269
5581;Principado de Asturias;premise;Vacio;120000.0;57.0;0;2.0;43.3657992;-5.865743
5621;Principado de Asturias;premise;Vacio;20000.0;58.0;0;0.0;43.5341617;-5.654231
5858;Principado de Asturias;premise;Vacio;53000.0;60.0;0;2.0;43.5171988;-5.6853895
5990;Principado de Asturias;premise;Vacio;75000.0;60.0;0;2.0;43.5393707;-5.6806785
6416;Principado de Asturias;premise;Vacio;47000.0;62.0;0;2.0;43.5225586;-5.6638015
6440;Principado de Asturias;premise;Vacio;40000.0;62.0;0;2.0;43.5421182;-5.7027533
6470;Principado de Asturias;premise;Vacio;39800.0;63.0;0;1.0;43.5485965;-5.9170142
6472;Principado de Asturias;premise;Vacio;76600.0;63.0;0;2.0;43.4020614;-5.8033326
6572;Principado de Asturias;premise;Vacio;53000.0;64.0;0;0.0;43.4875717;-6.111489
6715;Principado de Asturias;premise;Vacio;48000.0;65.0;0;2.0;43.5251333;-5.6754996
6716;Principado de Asturias;premise;Vacio;45000.0;65.0;0;2.0;43.5233093;-5.6676187
6717;Principado de Asturias;premise;Vacio;75000.0;65.0;0;2.0;43.5236035;-5.666445
6893;Principado de Asturias;premise;Vacio;83000.0;65.0;0;2.0;43.536743;-5.6492428
7187;Principado de Asturias;premise;Vacio;54000.0;68.0;0;2.0;43.5405984;-5.691381
7292;Principado de Asturias;premise;Vacio;120000.0;68.0;0;2.0;43.3608056;-5.8375291
7490;Principado de Asturias;premise;Vacio;36000.0;70.0;0;2.0;43.5227525;-5.668103
7626;Principado de Asturias;premise;Vacio;49000.0;70.0;0;2.0;43.5259045;-5.6714386
7654;Principado de Asturias;premise;Vacio;67840.0;70.0;0;2.0;43.3690756;-5.8393856
7706;Principado de Asturias;premise;Vacio;90000.0;70.0;0;4.0;43.5236179;-5.6779934
7766;Principado de Asturias;premise;Vacio;250000.0;70.0;0;2.0;43.3637648;-5.8457585
7767;Principado de Asturias;premise;Vacio;59000.0;70.0;0;2.0;43.3605366;-5.862433
7791;Principado de Asturias;premise;Vacio;54000.0;70.0;0;2.0;43.5350094;-5.6680997
7793;Principado de Asturias;premise;Vacio;300000.0;70.0;0;2.0;43.3618782;-5.8608062
7975;Principado de Asturias;premise;Vacio;40000.0;72.0;0;2.0;43.2676835;-5.6151874
8307;Principado de Asturias;premise;Vacio;39500.0;74.0;0;2.0;43.3907175;-5.7074268
8315;Principado de Asturias;premise;Vacio;45600.0;74.0;0;2.0;43.418978;-4.7527839
8366;Principado de Asturias;premise;Vacio;63000.0;75.0;0;0.0;43.4875717;-6.111489
8397;Principado de Asturias;premise;Vacio;73000.0;75.0;0;2.0;43.5568093;-5.9328797
8560;Principado de Asturias;premise;Vacio;39000.0;75.0;0;2.0;43.4021211;-5.8037551
8660;Principado de Asturias;premise;Vacio;90204.0;76.0;0;2.0;43.5558652;-5.9323617
8702;Principado de Asturias;premise;Vacio;125000.0;76.0;0;2.0;43.5384745;-5.6490537
8720;Principado de Asturias;premise;Vacio;104000.0;76.0;0;2.0;43.5376864;-5.6667167
8747;Principado de Asturias;premise;Vacio;72000.0;77.0;0;2.0;43.6136076;-5.7926475
8861;Principado de Asturias;premise;Vacio;50000.0;78.0;0;2.0;43.2939959;-5.6808023
9014;Principado de Asturias;premise;Vacio;88500.0;79.0;0;3.0;43.3573219;-5.8634377
9148;Principado de Asturias;premise;Vacio;80000.0;80.0;0;2.0;43.3352549;-6.4126461
9149;Principado de Asturias;premise;Vacio;115000.0;80.0;0;2.0;43.3355643;-6.4118507
9156;Principado de Asturias;premise;Vacio;108000.0;80.0;0;2.0;43.5368906;-6.724519
9157;Principado de Asturias;premise;Vacio;130000.0;80.0;0;2.0;43.5339115;-5.653382
9300;Principado de Asturias;premise;Vacio;41000.0;80.0;0;2.0;43.5302971;-5.650804
9331;Principado de Asturias;premise;Vacio;52000.0;80.0;0;2.0;43.4417351;-5.8210384
9342;Principado de Asturias;premise;Vacio;45000.0;80.0;0;2.0;43.1706235;-5.7407237
9403;Principado de Asturias;premise;Vacio;30000.0;80.0;0;2.0;43.5399813;-5.7054087
9425;Principado de Asturias;premise;Vacio;65000.0;80.0;0;2.0;43.5274526;-5.664001
9453;Principado de Asturias;premise;Vacio;132000.0;80.0;0;2.0;43.5470247;-5.6654781
9456;Principado de Asturias;premise;Vacio;70000.0;80.0;0;2.0;43.3627614;-5.8411929
9457;Principado de Asturias;premise;Vacio;150000.0;80.0;0;2.0;43.3650717;-5.8645024
9463;Principado de Asturias;premise;Vacio;39000.0;80.0;0;2.0;43.5285944;-5.6588667
9467;Principado de Asturias;premise;Vacio;200000.0;80.0;0;2.0;43.5368097;-5.655489
9476;Principado de Asturias;premise;Vacio;500000.0;80.0;0;2.0;43.3629494;-5.8510708
9810;Principado de Asturias;premise;Vacio;79900.0;83.0;0;2.0;43.3572712;-5.8624113
10012;Principado de Asturias;premise;Vacio;80000.0;85.0;0;2.0;43.3577119;-5.8528497
10207;Principado de Asturias;premise;Vacio;39000.0;86.0;0;2.0;43.3067264;-5.6946759
10266;Principado de Asturias;premise;Vacio;73000.0;86.0;0;2.0;43.5383205;-5.6576799
10267;Principado de Asturias;premise;Vacio;75000.0;86.0;0;2.0;43.5349429;-5.6532427
10677;Principado de Asturias;premise;Vacio;135000.0;90.0;0;2.0;43.5559689;-5.9317254
10743;Principado de Asturias;premise;Vacio;75000.0;90.0;0;2.0;43.5361138;-5.6494897
10761;Principado de Asturias;premise;Vacio;85000.0;90.0;0;2.0;43.5210819;-5.6685511
10774;Principado de Asturias;premise;Vacio;130000.0;90.0;0;0.0;43.5352979;-5.6663901
10798;Principado de Asturias;premise;Vacio;72000.0;90.0;0;2.0;43.4035788;-5.8133861
10924;Principado de Asturias;premise;Vacio;165000.0;90.0;0;2.0;43.525963;-5.6682344
10929;Principado de Asturias;premise;Vacio;210000.0;90.0;0;2.0;43.3512726;-5.1260069
10935;Principado de Asturias;premise;Vacio;105000.0;90.0;0;2.0;43.5364206;-5.6567974
10981;Principado de Asturias;premise;Vacio;75000.0;90.0;0;2.0;43.5375651;-5.6537822
11164;Principado de Asturias;premise;Vacio;25200.0;92.0;0;2.0;43.36809;-5.85621
11174;Principado de Asturias;premise;Vacio;130000.0;92.0;0;2.0;43.5350549;-5.651478
11558;Principado de Asturias;premise;Vacio;75500.0;96.0;0;2.0;43.2416686;-5.5623071
11559;Principado de Asturias;premise;Vacio;90000.0;96.0;0;2.0;43.2731431;-5.6095613
11931;Principado de Asturias;premise;Vacio;92700.0;100.0;0;0.0;43.3681533;-5.8780113
11977;Principado de Asturias;premise;Vacio;180000.0;100.0;0;0.0;43.4827147;-5.4348734
11987;Principado de Asturias;premise;Vacio;55000.0;100.0;0;2.0;43.5226;-5.6675789
12056;Principado de Asturias;premise;Vacio;70000.0;100.0;0;2.0;43.5396305;-5.6808177
12105;Principado de Asturias;premise;Vacio;180000.0;100.0;0;2.0;43.537614;-5.6661962
12110;Principado de Asturias;premise;Vacio;150000.0;100.0;0;2.0;43.5267941;-5.6729792
12121;Principado de Asturias;premise;Vacio;130000.0;100.0;0;2.0;43.5348636;-5.6685773
12259;Principado de Asturias;premise;Vacio;134000.0;100.0;0;0.0;43.5285608;-5.6677901
12295;Principado de Asturias;premise;Vacio;98000.0;100.0;0;2.0;43.3618803;-5.8375492
12648;Principado de Asturias;premise;Vacio;48000.0;103.0;0;2.0;43.5333492;-5.6645816
12834;Principado de Asturias;premise;Vacio;200000.0;105.0;0;2.0;43.3942376;-5.6622552
12862;Principado de Asturias;premise;Vacio;35000.0;105.0;0;2.0;43.4415315;-5.8181418
12918;Principado de Asturias;premise;Vacio;150000.0;105.0;0;2.0;43.53828;-5.69996
12958;Principado de Asturias;premise;Vacio;158000.0;106.0;0;0.0;43.4839135;-5.4318178
13005;Principado de Asturias;premise;Vacio;150000.0;106.0;0;2.0;43.5268315;-5.6674309
13039;Principado de Asturias;premise;Vacio;92151.0;107.0;0;0.0;43.4875717;-6.111489
13046;Principado de Asturias;premise;Vacio;85000.0;107.0;0;2.0;43.5171988;-5.6853895
13078;Principado de Asturias;premise;Vacio;142000.0;107.0;0;2.0;43.3816656;-5.1824288
13110;Principado de Asturias;premise;Vacio;50000.0;108.0;0;2.0;43.3080264;-5.6940759
13114;Principado de Asturias;premise;Vacio;52500.0;108.0;0;2.0;43.364502;-5.866324
13311;Principado de Asturias;premise;Vacio;110000.0;110.0;0;2.0;43.3496832;-5.3646403
13505;Principado de Asturias;premise;Vacio;200000.0;110.0;0;2.0;43.3825286;-5.1832066
13776;Principado de Asturias;premise;Vacio;105000.0;114.0;0;2.0;43.3550528;-5.8571128
13843;Principado de Asturias;premise;Vacio;308000.0;115.0;0;2.0;43.5881639;-5.7644204
13862;Principado de Asturias;premise;Vacio;60000.0;115.0;0;2.0;43.2967709;-5.6855082
13863;Principado de Asturias;premise;Vacio;317862.0;115.0;0;2.0;43.5423195;-5.7005258
13895;Principado de Asturias;premise;Vacio;180000.0;115.0;0;2.0;43.36616;-5.8409688
