index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
28428;Región de Murcia;flat;Vacio;155000.0;568.0;0;5.0;37.604196;-0.9958201
61047;Región de Murcia;flat;Vacio;30000.0;30.0;1;2.0;37.99071;-1.1957378
61204;Región de Murcia;flat;Vacio;39900.0;32.0;1;5.0;37.5739111;-1.2619092
61288;Región de Murcia;flat;Vacio;47500.0;33.0;1;0.0;38.0057794;-1.134969
61289;Región de Murcia;flat;Vacio;52700.0;33.0;1;0.0;38.005242;-1.128208
61546;Región de Murcia;flat;Vacio;54900.0;35.0;1;3.0;37.8448751;-0.7637091
61547;Región de Murcia;flat;Vacio;29900.0;35.0;1;2.0;37.8233232;-0.7865114
61736;Región de Murcia;flat;Vacio;25000.0;35.0;1;3.0;37.9761633;-1.1362686
61922;Región de Murcia;flat;Vacio;14100.0;37.0;1;0.0;38.078847;-1.273921
62221;Región de Murcia;flat;Vacio;52000.0;38.0;1;4.0;37.9927096;-1.1963291
62241;Región de Murcia;flat;Vacio;100000.0;38.0;1;3.0;37.9769751;-1.1352908
62303;Región de Murcia;flat;Vacio;55000.0;39.0;1;3.0;37.9866718;-1.1988684
62569;Región de Murcia;flat;Vacio;48000.0;40.0;1;2.0;37.5684336;-1.256316
62758;Región de Murcia;flat;Vacio;65000.0;40.0;1;2.0;37.566075;-1.2586472
62760;Región de Murcia;flat;Vacio;61000.0;40.0;1;2.0;37.5711925;-1.2560994
62761;Región de Murcia;flat;Vacio;85000.0;40.0;1;4.0;37.5650058;-1.2583306
62823;Región de Murcia;flat;Vacio;80100.0;40.0;1;4.0;37.6301963;-0.7402941
62900;Región de Murcia;flat;Vacio;130000.0;40.0;1;5.0;37.9864263;-1.1314439
62901;Región de Murcia;flat;Vacio;80000.0;40.0;1;2.0;37.9867824;-1.127487
62913;Región de Murcia;flat;Vacio;42000.0;40.0;1;3.0;37.7645445;-0.8340634
63169;Región de Murcia;flat;Vacio;100000.0;40.0;1;2.0;37.6392926;-0.7138985
63170;Región de Murcia;flat;Vacio;117700.0;40.0;1;4.0;37.6055178;-0.9796754
63171;Región de Murcia;flat;Vacio;117700.0;40.0;1;3.0;37.6055178;-0.9796754
63257;Región de Murcia;flat;Vacio;80000.0;40.0;1;4.0;37.984591;-1.1291184
63258;Región de Murcia;flat;Vacio;60000.0;40.0;1;8.0;37.9966399;-1.13247
63259;Región de Murcia;flat;Vacio;80000.0;40.0;1;3.0;37.984891;-1.1284184
63456;Región de Murcia;flat;Vacio;55000.0;41.0;1;2.0;37.9746828;-1.1227982
63555;Región de Murcia;flat;Vacio;48300.0;41.0;1;3.0;38.0088732;-1.1608758
63562;Región de Murcia;flat;Vacio;51900.0;41.0;1;2.0;37.8193055;-0.7923667
63745;Región de Murcia;flat;Vacio;49500.0;42.0;1;0.0;37.9852581;-1.1369512
63790;Región de Murcia;flat;Vacio;55000.0;42.0;1;5.0;37.9994324;-1.1470436
63916;Región de Murcia;flat;Vacio;104600.0;42.0;1;3.0;37.7654653;-0.8371241
63968;Región de Murcia;flat;Vacio;54500.0;42.0;1;3.0;37.9872581;-1.1372512
64023;Región de Murcia;flat;Vacio;85000.0;43.0;1;2.0;37.9994307;-1.1799292
64024;Región de Murcia;flat;Vacio;85000.0;43.0;1;2.0;37.9994307;-1.1799292
64043;Región de Murcia;flat;Vacio;41400.0;43.0;1;3.0;37.92504;-1.214375
64044;Región de Murcia;flat;Vacio;42200.0;43.0;1;4.0;37.92504;-1.214375
64045;Región de Murcia;flat;Vacio;41500.0;43.0;1;3.0;37.92504;-1.214375
64046;Región de Murcia;flat;Vacio;42600.0;43.0;1;4.0;37.92504;-1.214375
64048;Región de Murcia;flat;Vacio;43000.0;43.0;1;0.0;38.1111982;-1.5311
64139;Región de Murcia;flat;Vacio;49680.0;43.0;1;5.0;37.9915383;-1.1956885
64159;Región de Murcia;flat;Vacio;78000.0;43.0;1;8.0;37.9970763;-1.1245875
64251;Región de Murcia;flat;Vacio;100650.0;43.0;1;3.0;38.0073844;-1.1308094
64288;Región de Murcia;flat;Vacio;108000.0;43.0;1;5.0;38.0009048;-1.1469299
64441;Región de Murcia;flat;Vacio;54000.0;44.0;1;4.0;37.5673378;-1.2580995
64639;Región de Murcia;flat;Vacio;43000.0;45.0;1;0.0;38.1082982;-1.5334
64640;Región de Murcia;flat;Vacio;43000.0;45.0;1;0.0;38.1104982;-1.5311
64664;Región de Murcia;flat;Vacio;54500.0;45.0;1;3.0;37.8170022;-0.7874333
64861;Región de Murcia;flat;Vacio;120000.0;45.0;1;5.0;38.0005508;-1.1382074
64862;Región de Murcia;flat;Vacio;120000.0;45.0;1;4.0;38.0005508;-1.1382074
65028;Región de Murcia;flat;Vacio;53000.0;45.0;1;0.0;37.9398518;-1.1605245
65047;Región de Murcia;flat;Vacio;59000.0;45.0;1;3.0;37.5629968;-1.2680432
65048;Región de Murcia;flat;Vacio;65000.0;45.0;1;4.0;37.5698433;-1.2550327
65107;Región de Murcia;flat;Vacio;95000.0;45.0;1;4.0;37.6766512;-1.7014189
