index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
5971;Región de Murcia;house;Vacio;14000.0;60.0;0;0.0;37.6595237;-1.6930423
61352;Región de Murcia;house;Vacio;18600.0;34.0;1;0.0;38.6136423;-1.1206787
61469;Región de Murcia;house;Vacio;64139.0;35.0;1;0.0;37.7661653;-0.8351241
65351;Región de Murcia;house;Vacio;39000.0;45.0;1;0.0;37.6251215;-0.9916974
66879;Región de Murcia;house;Vacio;92000.0;48.0;1;0.0;38.0295955;-1.122886
74321;Región de Murcia;house;Vacio;23200.0;60.0;1;2.0;37.4062205;-1.5795664
77760;Región de Murcia;house;Vacio;23900.0;66.0;1;0.0;37.633272;-0.99679
78215;Región de Murcia;house;Vacio;30500.0;68.0;1;0.0;37.6007761;-0.9696289
79455;Región de Murcia;house;Vacio;38500.0;72.0;1;2.0;38.2320271;-1.6952386
79511;Región de Murcia;house;Vacio;27000.0;72.0;1;0.0;37.623755;-0.8798837
79754;Región de Murcia;house;Vacio;52700.0;74.0;1;0.0;38.2051184;-1.4002393
79876;Región de Murcia;house;Vacio;28800.0;75.0;1;0.0;37.6035095;-0.9727788
80893;Región de Murcia;house;Vacio;24900.0;81.0;1;0.0;37.6181986;-0.9974177
81693;Región de Murcia;house;Vacio;45200.0;95.0;1;0.0;37.6031341;-0.9743824
81959;Región de Murcia;house;Vacio;85000.0;100.0;1;0.0;37.6802361;-1.0388912
82840;Región de Murcia;house;Vacio;210000.0;222.0;1;0.0;37.6081324;-1.0791695
83794;Región de Murcia;house;Vacio;23100.0;43.0;2;0.0;37.5973254;-0.9702817
84196;Región de Murcia;house;Vacio;60000.0;45.0;2;0.0;37.6434748;-1.0931707
84341;Región de Murcia;house;Vacio;59000.0;46.0;2;0.0;37.6744694;-1.3595577
84771;Región de Murcia;house;Vacio;27200.0;48.0;2;0.0;37.6049444;-0.9689953
87670;Región de Murcia;house;Vacio;10000.0;54.0;2;0.0;38.2333668;-1.427743
90130;Región de Murcia;house;Vacio;66700.0;56.0;2;0.0;37.9782813;-1.0750041
90456;Región de Murcia;house;Vacio;26000.0;57.0;2;0.0;37.6218303;-0.8794198
92767;Región de Murcia;house;Vacio;70000.0;60.0;2;0.0;37.6765277;-1.3636443
92917;Región de Murcia;house;Vacio;51000.0;60.0;2;0.0;37.5708849;-1.2602552
93806;Región de Murcia;house;Vacio;155000.0;60.0;2;0.0;37.5779996;-1.2518702
98095;Región de Murcia;house;Vacio;116100.0;62.0;2;0.0;37.812044;-0.804294
98471;Región de Murcia;house;Vacio;29000.0;63.0;2;0.0;38.1101866;-1.9691598
100095;Región de Murcia;house;Vacio;111000.0;64.0;2;0.0;37.71681;-0.86355
100384;Región de Murcia;house;Vacio;24800.0;65.0;2;0.0;37.6158106;-0.976942
101716;Región de Murcia;house;Vacio;175000.0;65.0;2;0.0;37.5825359;-1.2508314
102020;Región de Murcia;house;Vacio;79400.0;65.0;2;0.0;37.6907946;-0.8435122
105027;Región de Murcia;house;Vacio;60000.0;66.0;2;0.0;37.6217718;-0.9928962
110960;Región de Murcia;house;Vacio;168000.0;70.0;2;0.0;37.5813329;-1.2462866
110961;Región de Murcia;house;Vacio;110000.0;70.0;2;0.0;37.5790797;-1.2460461
110962;Región de Murcia;house;Vacio;72000.0;70.0;2;0.0;37.6013457;-1.310983
112401;Región de Murcia;house;Vacio;72700.0;70.0;2;0.0;37.645159;-1.0056213
112402;Región de Murcia;house;Vacio;45000.0;70.0;2;0.0;37.6308505;-0.9979837
117477;Región de Murcia;house;Vacio;37000.0;73.0;2;0.0;37.617478;-0.9988518
118387;Región de Murcia;house;Vacio;49500.0;74.0;2;0.0;37.9769714;-1.1301495
119067;Región de Murcia;house;Vacio;123000.0;74.0;2;0.0;37.6723082;-1.7007916
121212;Región de Murcia;house;Vacio;70000.0;75.0;2;0.0;37.6216306;-1.2060417
125351;Región de Murcia;house;Vacio;25000.0;77.0;2;2.0;38.0458831;-1.4880016
127188;Región de Murcia;house;Vacio;73000.0;78.0;2;0.0;37.6481436;-1.0060507
129288;Región de Murcia;house;Vacio;120000.0;80.0;2;0.0;37.564134;-1.2819089
133249;Región de Murcia;house;Vacio;135000.0;80.0;2;0.0;37.9223907;-1.5954133
139246;Región de Murcia;house;Vacio;55000.0;85.0;2;0.0;37.6326104;-1.0048406
140330;Región de Murcia;house;Vacio;110000.0;86.0;2;0.0;37.8195356;-1.0083605
141182;Región de Murcia;house;Vacio;40800.0;87.0;2;0.0;38.118853;-1.3022779
142080;Región de Murcia;house;Vacio;43000.0;88.0;2;2.0;37.9577085;-1.0910349
143667;Región de Murcia;house;Vacio;26100.0;90.0;2;2.0;37.598577;-0.971847
144857;Región de Murcia;house;Vacio;300000.0;90.0;2;0.0;37.5788883;-1.2121104
147290;Región de Murcia;house;Vacio;108000.0;92.0;2;0.0;37.8778813;-1.1065272
148313;Región de Murcia;house;Vacio;15750.0;93.0;2;0.0;37.9875687;-1.2019009
148333;Región de Murcia;house;Vacio;135000.0;93.0;2;0.0;37.6770263;-1.6962237
148911;Región de Murcia;house;Vacio;110000.0;94.0;2;0.0;37.6268797;-0.9974035
155118;Región de Murcia;house;Vacio;75000.0;105.0;2;2.0;37.6069834;-0.9960712
156875;Región de Murcia;house;Vacio;54000.0;110.0;2;0.0;37.6792807;-1.3350754
156906;Región de Murcia;house;Vacio;150000.0;110.0;2;0.0;37.6666128;-1.7050803
157771;Región de Murcia;house;Vacio;299000.0;113.0;2;0.0;37.6169909;-1.0198395
157772;Región de Murcia;house;Vacio;299000.0;113.0;2;0.0;37.6169909;-1.0198395
157773;Región de Murcia;house;Vacio;299000.0;113.0;2;0.0;37.6169909;-1.0198395
157774;Región de Murcia;house;Vacio;299000.0;113.0;2;0.0;37.6169909;-1.0198395
157775;Región de Murcia;house;Vacio;299000.0;113.0;2;0.0;37.6169909;-1.0198395
157776;Región de Murcia;house;Vacio;299000.0;113.0;2;0.0;37.6169909;-1.0198395
157777;Región de Murcia;house;Vacio;299000.0;113.0;2;0.0;37.6169909;-1.0198395
158100;Región de Murcia;house;Vacio;270000.0;115.0;2;0.0;38.4374366;-1.3278422
158119;Región de Murcia;house;Vacio;307300.0;115.0;2;0.0;37.6169909;-1.0198395
158120;Región de Murcia;house;Vacio;307300.0;115.0;2;0.0;37.6169909;-1.0198395
158121;Región de Murcia;house;Vacio;307300.0;115.0;2;0.0;37.6169909;-1.0198395
158122;Región de Murcia;house;Vacio;307300.0;115.0;2;0.0;37.6169909;-1.0198395
158123;Región de Murcia;house;Vacio;313800.0;115.0;2;0.0;37.6169909;-1.0198395
158124;Región de Murcia;house;Vacio;307300.0;115.0;2;0.0;37.6169909;-1.0198395
158125;Región de Murcia;house;Vacio;307300.0;115.0;2;0.0;37.6169909;-1.0198395
158126;Región de Murcia;house;Vacio;303000.0;115.0;2;0.0;37.6169909;-1.0198395
158127;Región de Murcia;house;Vacio;307300.0;115.0;2;0.0;37.6169909;-1.0198395
158224;Región de Murcia;house;Vacio;60000.0;115.0;2;0.0;37.9765809;-1.1102448
158282;Región de Murcia;house;Vacio;90000.0;115.0;2;0.0;37.6704224;-1.6920644
159561;Región de Murcia;house;Vacio;89000.0;120.0;2;0.0;37.9623285;-1.1534834
159562;Región de Murcia;house;Vacio;98000.0;120.0;2;0.0;37.9692486;-1.1230742
159618;Región de Murcia;house;Vacio;95000.0;120.0;2;0.0;37.9904763;-1.1552454
159806;Región de Murcia;house;Vacio;113500.0;120.0;2;0.0;38.0287758;-1.2078038
160048;Región de Murcia;house;Vacio;100000.0;120.0;2;0.0;37.9850161;-1.1572285
160568;Región de Murcia;house;Vacio;280000.0;125.0;2;0.0;37.6169909;-1.0198395
160569;Región de Murcia;house;Vacio;280000.0;125.0;2;0.0;37.6169909;-1.0198395
160570;Región de Murcia;house;Vacio;280000.0;125.0;2;0.0;37.6169909;-1.0198395
