index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
81692;Región de Murcia;house;semi-detached;46000.0;95.0;1;2.0;37.8447111;-1.4264023
82482;Región de Murcia;house;semi-detached;22739.0;128.0;1;2.0;38.2752682;-1.9827188
84691;Región de Murcia;house;semi-detached;53000.0;48.0;2;0.0;37.8102522;-0.808295
86439;Región de Murcia;house;semi-detached;95000.0;51.0;2;0.0;37.802396;-0.8080272
90620;Región de Murcia;house;semi-detached;39900.0;57.0;2;4.0;37.7714397;-0.8385369
94312;Región de Murcia;house;semi-detached;93000.0;60.0;2;0.0;37.5829274;-1.2470045
96980;Región de Murcia;house;semi-detached;77600.0;61.0;2;0.0;37.8903431;-0.9366067
98094;Región de Murcia;house;semi-detached;102300.0;62.0;2;0.0;37.758298;-1.219531
106085;Región de Murcia;house;semi-detached;99500.0;67.0;2;0.0;37.8041237;-0.8372619
112860;Región de Murcia;house;semi-detached;60000.0;70.0;2;0.0;37.8185874;-0.8925107
118742;Región de Murcia;house;semi-detached;74000.0;74.0;2;2.0;38.0287901;-1.1357137
118743;Región de Murcia;house;semi-detached;74000.0;74.0;2;2.0;38.0247901;-1.1348137
129063;Región de Murcia;house;semi-detached;74000.0;80.0;2;0.0;37.7445799;-0.8545188
131699;Región de Murcia;house;semi-detached;150000.0;80.0;2;0.0;37.8473118;-0.854033
135638;Región de Murcia;house;semi-detached;57140.0;83.0;2;2.0;37.6271753;-0.9905353
148811;Región de Murcia;house;semi-detached;250000.0;94.0;2;0.0;37.5923195;-0.7997985
150439;Región de Murcia;house;semi-detached;159600.0;96.0;2;0.0;37.60922;-0.805206
151478;Región de Murcia;house;semi-detached;159600.0;98.0;2;0.0;37.6022589;-0.7777572
153247;Región de Murcia;house;semi-detached;65000.0;100.0;2;0.0;37.589097;-0.8496434
154222;Región de Murcia;house;semi-detached;96000.0;102.0;2;0.0;37.6612326;-1.3673573
154286;Región de Murcia;house;semi-detached;93000.0;102.0;2;0.0;37.7095518;-0.9971567
157346;Región de Murcia;house;semi-detached;45000.0;110.0;2;0.0;37.6407303;-1.0001722
157826;Región de Murcia;house;semi-detached;86260.0;113.0;2;0.0;37.9767796;-1.0748119
159191;Región de Murcia;house;semi-detached;94900.0;120.0;2;0.0;37.8074651;-0.8046898
159455;Región de Murcia;house;semi-detached;150000.0;120.0;2;0.0;37.7679875;-0.8570837
161136;Región de Murcia;house;semi-detached;168900.0;129.0;2;0.0;37.9309;-1.20987
164354;Región de Murcia;house;semi-detached;145000.0;170.0;2;0.0;37.5616948;-1.2609431
165043;Región de Murcia;house;semi-detached;280000.0;196.0;2;0.0;37.6162311;-0.8118776
168031;Región de Murcia;house;semi-detached;34070.0;60.0;3;2.0;37.7493553;-0.9487666
179070;Región de Murcia;house;semi-detached;120000.0;72.0;3;0.0;37.6234929;-0.9949473
187997;Región de Murcia;house;semi-detached;89500.0;79.0;3;0.0;37.9926385;-1.1961669
189656;Región de Murcia;house;semi-detached;93000.0;80.0;3;2.0;37.9371314;-1.1323847
199436;Región de Murcia;house;semi-detached;79000.0;85.0;3;0.0;37.816968;-0.9013385
211574;Región de Murcia;house;semi-detached;128000.0;90.0;3;0.0;37.5771485;-1.2548751
211976;Región de Murcia;house;semi-detached;128000.0;90.0;3;0.0;37.7557909;-0.8426745
216772;Región de Murcia;house;semi-detached;160000.0;91.0;3;0.0;37.8156821;-0.7978006
217985;Región de Murcia;house;semi-detached;94500.0;92.0;3;0.0;37.7613489;-0.8440281
218779;Región de Murcia;house;semi-detached;156000.0;93.0;3;0.0;37.5815644;-1.249991
219345;Región de Murcia;house;semi-detached;53900.0;93.0;3;0.0;37.7622142;-1.0389858
219459;Región de Murcia;house;semi-detached;139000.0;93.0;3;0.0;37.76177;-1.04128
220583;Región de Murcia;house;semi-detached;132500.0;94.0;3;0.0;37.8148709;-0.806376
220663;Región de Murcia;house;semi-detached;123400.0;94.0;3;0.0;37.62351;-0.88499
225410;Región de Murcia;house;semi-detached;154900.0;96.0;3;0.0;37.8388094;-0.7848052
225740;Región de Murcia;house;semi-detached;154900.0;96.0;3;0.0;37.8348094;-0.7842052
226055;Región de Murcia;house;semi-detached;85000.0;96.0;3;0.0;37.7480823;-0.853981
226121;Región de Murcia;house;semi-detached;59590.0;96.0;3;0.0;37.8906235;-0.9465438
228531;Región de Murcia;house;semi-detached;120000.0;98.0;3;0.0;37.8428276;-0.7830789
229777;Región de Murcia;house;semi-detached;40000.0;99.0;3;0.0;38.0972896;-1.8686726
231017;Región de Murcia;house;semi-detached;140000.0;100.0;3;0.0;37.7412736;-0.919718
232496;Región de Murcia;house;semi-detached;149000.0;100.0;3;0.0;37.8334433;-0.8007824
232760;Región de Murcia;house;semi-detached;99000.0;100.0;3;0.0;37.6915498;-0.8391622
232761;Región de Murcia;house;semi-detached;99000.0;100.0;3;0.0;37.689905;-0.8365772
233130;Región de Murcia;house;semi-detached;135000.0;100.0;3;0.0;37.6715031;-0.9566563
233132;Región de Murcia;house;semi-detached;130000.0;100.0;3;0.0;37.699932;-0.9770935
233134;Región de Murcia;house;semi-detached;128000.0;100.0;3;0.0;37.6693052;-0.9537163
234517;Región de Murcia;house;semi-detached;169000.0;100.0;3;0.0;37.8390208;-0.7808895
237061;Región de Murcia;house;semi-detached;50000.0;100.0;3;0.0;37.972402;-1.2132703
