index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
64823;Región de Murcia;house;terraced house;33000.0;45.0;1;0.0;37.8104586;-0.8029767
83048;Región de Murcia;house;terraced house;600000.0;2100.0;1;0.0;37.9830441;-1.130309
83456;Región de Murcia;house;terraced house;45000.0;40.0;2;0.0;37.8154629;-0.8064828
86801;Región de Murcia;house;terraced house;38100.0;52.0;2;0.0;37.8207342;-0.7884297
87100;Región de Murcia;house;terraced house;55996.0;53.0;2;2.0;37.76269;-0.84107
88383;Región de Murcia;house;terraced house;89000.0;55.0;2;0.0;37.7973285;-0.8117179
89829;Región de Murcia;house;terraced house;65800.0;56.0;2;0.0;37.8284633;-0.7905973
92532;Región de Murcia;house;terraced house;79900.0;60.0;2;2.0;37.7625383;-0.8353868
93166;Región de Murcia;house;terraced house;63000.0;60.0;2;0.0;37.7986759;-0.8110388
94344;Región de Murcia;house;terraced house;70000.0;60.0;2;0.0;37.6200803;-0.9929685
96529;Región de Murcia;house;terraced house;63186.0;61.0;2;2.0;37.663512;-1.3570852
96977;Región de Murcia;house;terraced house;76200.0;61.0;2;0.0;37.8883431;-0.9382067
97020;Región de Murcia;house;terraced house;52300.0;61.0;2;2.0;37.6612239;-1.364257
98025;Región de Murcia;house;terraced house;76500.0;62.0;2;0.0;37.8377175;-0.7778472
98168;Región de Murcia;house;terraced house;45000.0;62.0;2;0.0;37.6175788;-0.9996683
99337;Región de Murcia;house;terraced house;75120.0;64.0;2;3.0;37.8884013;-0.9377241
101384;Región de Murcia;house;terraced house;67000.0;65.0;2;0.0;37.8237445;-0.7770479
102617;Región de Murcia;house;terraced house;79900.0;65.0;2;0.0;37.6907014;-0.8435216
108006;Región de Murcia;house;terraced house;8200.0;69.0;2;3.0;37.6148979;-0.9977867
108197;Región de Murcia;house;terraced house;53100.0;69.0;2;0.0;37.8334668;-0.8020262
108630;Región de Murcia;house;terraced house;116100.0;69.0;2;0.0;37.812411;-0.8063306
109773;Región de Murcia;house;terraced house;63000.0;70.0;2;0.0;37.6760537;-1.3350666
