index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
1396;Región de Murcia;office;Vacio;50000.0;33.0;0;3.0;37.9838872;-1.125017
1904;Región de Murcia;office;Vacio;168000.0;36.0;0;3.0;37.98426;-1.1354
3143;Región de Murcia;office;Vacio;24200.0;43.0;0;3.0;37.9764369;-1.1502394
3637;Región de Murcia;office;Vacio;39000.0;45.0;0;6.0;37.6054962;-0.9854341
4253;Región de Murcia;office;Vacio;45000.0;50.0;0;3.0;38.0611229;-1.0505627
4777;Región de Murcia;office;Vacio;43000.0;52.0;0;3.0;38.0854217;-1.2215772
5980;Región de Murcia;office;Vacio;50000.0;60.0;0;2.0;37.6052027;-0.9851645
6114;Región de Murcia;office;Vacio;50000.0;60.0;0;2.0;37.606293;-0.9892193
6266;Región de Murcia;office;Vacio;40000.0;61.0;0;0.0;37.8033362;-0.8336186
7132;Región de Murcia;office;Vacio;78000.0;67.0;0;5.0;37.6017012;-0.984664
7559;Región de Murcia;office;Vacio;110000.0;70.0;0;3.0;38.0006881;-1.129527
7776;Región de Murcia;office;Vacio;150000.0;70.0;0;3.0;37.98373;-1.124868
7865;Región de Murcia;office;Vacio;61800.0;70.0;0;4.0;37.6000545;-0.9872703
8544;Región de Murcia;office;Vacio;120000.0;75.0;0;2.0;37.6024114;-0.9852127
8776;Región de Murcia;office;Vacio;135000.0;77.0;0;2.0;37.9889792;-1.1421512
9049;Región de Murcia;office;Vacio;150000.0;79.0;0;2.0;37.98282;-1.1321868
9774;Región de Murcia;office;Vacio;100000.0;82.0;0;4.0;37.955004;-1.1949564
9941;Región de Murcia;office;Vacio;165000.0;84.0;0;5.0;37.9880237;-1.1300037
10286;Región de Murcia;office;Vacio;100000.0;86.0;0;5.0;37.6010207;-0.9844743
10734;Región de Murcia;office;Vacio;81000.0;90.0;0;3.0;38.0636229;-1.0466627
10770;Región de Murcia;office;Vacio;180000.0;90.0;0;2.0;37.9837808;-1.1318543
11088;Región de Murcia;office;Vacio;100000.0;91.0;0;3.0;37.9815872;-1.126417
12642;Región de Murcia;office;Vacio;75000.0;103.0;0;4.0;37.9497725;-1.1859488
13687;Región de Murcia;office;Vacio;150000.0;112.0;0;3.0;37.6038934;-0.9880879
14122;Región de Murcia;office;Vacio;139800.0;117.0;0;12.0;38.0059832;-1.1464245
14907;Región de Murcia;office;Vacio;100000.0;124.0;0;3.0;37.6062384;-0.9898448
15010;Región de Murcia;office;Vacio;198500.0;125.0;0;2.0;37.9851567;-1.1335223
15380;Región de Murcia;office;Vacio;225000.0;130.0;0;2.0;37.9875859;-1.1275857
16360;Región de Murcia;office;Vacio;139800.0;140.0;0;0.0;38.0061832;-1.1504245
17090;Región de Murcia;office;Vacio;300000.0;148.0;0;5.0;37.9865031;-1.134576
17331;Región de Murcia;office;Vacio;290000.0;150.0;0;2.0;37.9859424;-1.1300365
17372;Región de Murcia;office;Vacio;145000.0;150.0;0;2.0;37.6055446;-0.9885956
17507;Región de Murcia;office;Vacio;75000.0;150.0;0;4.0;37.6062475;-0.9880456
17663;Región de Murcia;office;Vacio;450000.0;153.0;0;3.0;37.9862355;-1.1320928
19054;Región de Murcia;office;Vacio;250000.0;170.0;0;3.0;37.9822068;-1.1299412
19228;Región de Murcia;office;Vacio;215000.0;174.0;0;6.0;37.5997658;-0.9848322
19326;Región de Murcia;office;Vacio;595000.0;175.0;0;2.0;37.9855775;-1.1311018
19327;Región de Murcia;office;Vacio;178000.0;175.0;0;3.0;37.986525;-1.1363331
19454;Región de Murcia;office;Vacio;422000.0;177.0;0;3.0;37.9846303;-1.1317452
19732;Región de Murcia;office;Vacio;145000.0;180.0;0;3.0;37.9808018;-1.1263993
20658;Región de Murcia;office;Vacio;180000.0;200.0;0;2.0;37.7620606;-0.8440079
21266;Región de Murcia;office;Vacio;160000.0;206.0;0;2.0;37.6052284;-0.9892984
21303;Región de Murcia;office;Vacio;319704.0;207.0;0;2.0;37.4054324;-1.5792647
21320;Región de Murcia;office;Vacio;250000.0;207.0;0;3.0;37.9842375;-1.1289523
21374;Región de Murcia;office;Vacio;480000.0;209.0;0;2.0;37.6019116;-0.9843865
21642;Región de Murcia;office;Vacio;135000.0;213.0;0;0.0;37.6031869;-0.9669047
21696;Región de Murcia;office;Vacio;370000.0;214.0;0;4.0;37.8310716;-0.7884671
21870;Región de Murcia;office;Vacio;263780.0;218.0;0;2.0;37.8079031;-0.8368255
23803;Región de Murcia;office;Vacio;275000.0;265.0;0;3.0;37.5973824;-0.9869019
24424;Región de Murcia;office;Vacio;580000.0;290.0;0;2.0;37.9864055;-1.1251813
24841;Región de Murcia;office;Vacio;300000.0;300.0;0;3.0;37.9736216;-1.134642
25270;Región de Murcia;office;Vacio;700000.0;320.0;0;3.0;37.9984196;-1.1373048
25357;Región de Murcia;office;Vacio;450000.0;325.0;0;8.0;38.0010383;-1.1437713
25368;Región de Murcia;office;Vacio;460000.0;325.0;0;8.0;38.0048094;-1.1403032
25373;Región de Murcia;office;Vacio;450000.0;325.0;0;8.0;38.0050552;-1.1463782
28199;Región de Murcia;office;Vacio;450000.0;540.0;0;9.0;38.0038643;-1.1415808
28360;Región de Murcia;office;Vacio;1100000.0;559.0;0;3.0;37.9870778;-1.127267
29487;Región de Murcia;office;Vacio;110000.0;760.0;0;0.0;38.0913975;-1.2857605
