index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
62889;Vacio;flat;duplex;140000.0;40.0;1;4.0;42.5355433;1.6089386
65789;Vacio;flat;duplex;85000.0;45.0;1;Vacio;36.7372548;-3.9917583
69190;Vacio;flat;duplex;89000.0;50.0;1;7.0;36.5835533;-4.5324211
73182;Vacio;flat;duplex;110000.0;57.0;1;2.0;41.5669901;2.5273256
74718;Vacio;flat;duplex;80000.0;60.0;1;0.0;28.91944;-13.67279
76578;Vacio;flat;duplex;189000.0;63.0;1;3.0;28.05093;-16.72761
77404;Vacio;flat;duplex;180000.0;65.0;1;4.0;42.2277274;-8.7454852
78026;Vacio;flat;duplex;179000.0;67.0;1;0.0;42.5373549;1.5696339
78712;Vacio;flat;duplex;128000.0;70.0;1;5.0;42.533289;1.570736
79246;Vacio;flat;duplex;150000.0;70.0;1;3.0;43.3632347;-1.7656457
79981;Vacio;flat;duplex;235000.0;75.0;1;6.0;43.545676;-5.6680507
80855;Vacio;flat;duplex;128000.0;80.0;1;6.0;41.5779373;2.552691
81688;Vacio;flat;duplex;195000.0;95.0;1;0.0;42.5804868;1.6516353
82163;Vacio;flat;duplex;220000.0;110.0;1;4.0;42.554662;1.489246
88381;Vacio;flat;duplex;139000.0;55.0;2;3.0;38.8347614;0.1253341
89505;Vacio;flat;duplex;155000.0;55.0;2;6.0;43.3552351;-1.7732928
92863;Vacio;flat;duplex;109000.0;60.0;2;4.0;43.4806191;-3.5158893
93000;Vacio;flat;duplex;195000.0;60.0;2;5.0;42.5045723;1.5209075
93004;Vacio;flat;duplex;127000.0;60.0;2;7.0;42.56465;1.59932
93008;Vacio;flat;duplex;160000.0;60.0;2;7.0;42.56495;1.60172
95202;Vacio;flat;duplex;136000.0;60.0;2;2.0;38.9765871;1.3051714
97574;Vacio;flat;duplex;75000.0;62.0;2;2.0;29.147106;-13.4446835
101874;Vacio;flat;duplex;150000.0;65.0;2;6.0;43.357399;-1.764648
103936;Vacio;flat;duplex;312000.0;65.0;2;2.0;43.3746678;-1.7663355
104947;Vacio;flat;duplex;82800.0;66.0;2;2.0;42.5757526;1.6643962
108588;Vacio;flat;duplex;130000.0;69.0;2;4.0;37.1078602;-1.8425556
109928;Vacio;flat;duplex;139000.0;70.0;2;3.0;39.3170663;2.9986574
110573;Vacio;flat;duplex;147000.0;70.0;2;3.0;38.5760537;-0.0631759
111151;Vacio;flat;duplex;218000.0;70.0;2;4.0;43.3713817;-1.7606167
115017;Vacio;flat;duplex;260000.0;71.0;2;5.0;43.3711832;-1.7759942
115910;Vacio;flat;duplex;137000.0;72.0;2;5.0;43.4388915;-3.4549854
116563;Vacio;flat;duplex;110000.0;72.0;2;3.0;28.3794476;-16.3597883
116656;Vacio;flat;duplex;135000.0;72.0;2;4.0;43.4389173;-3.4488352
118799;Vacio;flat;duplex;160000.0;74.0;2;5.0;42.5119022;1.5374112
118801;Vacio;flat;duplex;150000.0;74.0;2;2.0;42.5100029;1.5486034
119191;Vacio;flat;duplex;173500.0;74.0;2;3.0;43.4939077;-3.5243471
119505;Vacio;flat;duplex;175000.0;74.0;2;2.0;28.9515792;-13.5825557
120888;Vacio;flat;duplex;150000.0;75.0;2;2.0;36.3714899;-6.1872961
124893;Vacio;flat;duplex;145000.0;76.0;2;4.0;43.3486168;-1.7727571
125769;Vacio;flat;duplex;180500.0;77.0;2;3.0;43.4938077;-3.5243471
127071;Vacio;flat;duplex;140000.0;78.0;2;4.0;37.1090529;-1.8418339
127139;Vacio;flat;duplex;190000.0;78.0;2;7.0;39.5065379;2.5354535
129381;Vacio;flat;duplex;278000.0;80.0;2;5.0;42.529889;1.567236
131214;Vacio;flat;duplex;142000.0;80.0;2;4.0;36.7281217;-3.5864936
132469;Vacio;flat;duplex;310000.0;80.0;2;0.0;36.7493461;-3.867613
132472;Vacio;flat;duplex;175000.0;80.0;2;0.0;36.7485375;-3.8651718
140132;Vacio;flat;duplex;550000.0;85.0;2;6.0;28.1338005;-15.4415487
140988;Vacio;flat;duplex;247479.0;86.0;2;4.0;28.1311607;-15.4477407
142504;Vacio;flat;duplex;160000.0;88.0;2;2.0;42.5055398;1.532782
142762;Vacio;flat;duplex;300000.0;88.0;2;8.0;28.1405002;-15.4376545
143929;Vacio;flat;duplex;135000.0;90.0;2;3.0;38.8652537;0.0233062
144125;Vacio;flat;duplex;210000.0;90.0;2;5.0;42.535279;1.5821428
144255;Vacio;flat;duplex;109000.0;90.0;2;2.0;36.8173227;-2.0401802
144555;Vacio;flat;duplex;119000.0;90.0;2;3.0;37.8665407;-0.7587762
145088;Vacio;flat;duplex;130000.0;90.0;2;3.0;43.5677846;-7.2396207
145353;Vacio;flat;duplex;155000.0;90.0;2;4.0;41.8456257;3.1038958
146276;Vacio;flat;duplex;135000.0;90.0;2;2.0;38.1878996;-0.5397671
147815;Vacio;flat;duplex;319260.0;92.0;2;2.0;28.0256229;-16.7054674
148158;Vacio;flat;duplex;240000.0;93.0;2;5.0;42.56465;1.59992
149828;Vacio;flat;duplex;185000.0;95.0;2;4.0;43.4901542;-3.5315055
151451;Vacio;flat;duplex;199500.0;98.0;2;7.0;42.5063398;1.531182
153002;Vacio;flat;duplex;249000.0;100.0;2;Vacio;42.5011519;1.5140963
155406;Vacio;flat;duplex;259000.0;105.0;2;9.0;42.2311616;-8.7407956
155785;Vacio;flat;duplex;100000.0;106.0;2;2.0;28.1476668;-15.5567826
156125;Vacio;flat;duplex;190000.0;108.0;2;3.0;41.4876509;2.3584465
158262;Vacio;flat;duplex;137865.0;115.0;2;3.0;37.5747551;-1.2477454
158579;Vacio;flat;duplex;500000.0;116.0;2;3.0;42.552362;1.489246
158820;Vacio;flat;duplex;189000.0;117.0;2;2.0;28.0420683;-16.5363094
159004;Vacio;flat;duplex;130000.0;118.0;2;4.0;38.915393;-0.0742486
159136;Vacio;flat;duplex;447382.0;119.0;2;10.0;43.4546897;-3.8091864
159573;Vacio;flat;duplex;140000.0;120.0;2;3.0;37.5569395;-1.1688919
159589;Vacio;flat;duplex;450000.0;120.0;2;0.0;28.0514537;-16.7272442
160015;Vacio;flat;duplex;128000.0;120.0;2;3.0;36.4092932;-5.1827316
161399;Vacio;flat;duplex;430000.0;130.0;2;5.0;41.505255;2.4014637
161745;Vacio;flat;duplex;450000.0;132.0;2;0.0;28.0609138;-16.7361934
162092;Vacio;flat;duplex;495000.0;136.0;2;7.0;42.5408796;1.5076357
162966;Vacio;flat;duplex;485000.0;145.0;2;5.0;42.5109804;1.5367862
163050;Vacio;flat;duplex;350000.0;145.0;2;4.0;43.162589;-1.2392157
164482;Vacio;flat;duplex;436580.0;173.0;2;2.0;42.5563253;1.5074126
164755;Vacio;flat;duplex;245000.0;181.0;2;6.0;41.6199586;2.6898204
165451;Vacio;flat;duplex;240000.0;224.0;2;0.0;36.4275502;-5.1318683
165842;Vacio;flat;duplex;300000.0;287.0;2;4.0;36.4579113;-5.0421337
174011;Vacio;flat;duplex;104000.0;69.0;3;7.0;42.5327124;1.5787886
