index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
61038;Vacio;flat;penthouse;44000.0;30.0;1;5.0;42.5801488;1.6511742
61400;Vacio;flat;penthouse;65000.0;34.0;1;5.0;42.5801488;1.6511742
61596;Vacio;flat;penthouse;67000.0;35.0;1;5.0;42.5801488;1.6511742
62320;Vacio;flat;penthouse;74000.0;39.0;1;5.0;42.5801488;1.6511742
62888;Vacio;flat;penthouse;141365.0;40.0;1;8.0;42.5770966;1.6981759
63327;Vacio;flat;penthouse;40000.0;40.0;1;9.0;28.1362239;-15.4400493
63945;Vacio;flat;penthouse;98000.0;42.0;1;3.0;36.5651167;-4.5953189
64484;Vacio;flat;penthouse;85000.0;44.0;1;3.0;37.1280139;-1.830869
64776;Vacio;flat;penthouse;65000.0;45.0;1;5.0;42.5085029;1.5526034
64777;Vacio;flat;penthouse;85000.0;45.0;1;5.0;42.5788929;1.6471009
64781;Vacio;flat;penthouse;102000.0;45.0;1;5.0;42.533889;1.570236
66544;Vacio;flat;penthouse;140000.0;47.0;1;0.0;42.3723819;3.1668158
66948;Vacio;flat;penthouse;78000.0;48.0;1;5.0;42.5801488;1.6511742
66957;Vacio;flat;penthouse;99940.0;48.0;1;7.0;42.5342309;1.6085098
66964;Vacio;flat;penthouse;80000.0;48.0;1;6.0;37.104774;-1.8451218
68518;Vacio;flat;penthouse;178900.0;50.0;1;5.0;42.5030398;1.528782
68896;Vacio;flat;penthouse;50000.0;50.0;1;5.0;41.1930854;1.635714
69251;Vacio;flat;penthouse;186000.0;50.0;1;8.0;43.3259323;-1.9779379
69438;Vacio;flat;penthouse;110000.0;50.0;1;7.0;38.5345067;-0.1276953
69777;Vacio;flat;penthouse;124000.0;51.0;1;8.0;42.5754966;1.6981759
69859;Vacio;flat;penthouse;30000.0;51.0;1;7.0;43.737308;-7.8725984
70256;Vacio;flat;penthouse;96000.0;52.0;1;0.0;28.4941019;-13.8607911
70538;Vacio;flat;penthouse;101400.0;53.0;1;0.0;36.4246359;-5.1415552
71174;Vacio;flat;penthouse;190000.0;54.0;1;7.0;42.2277274;-8.7454852
72772;Vacio;flat;penthouse;80000.0;56.0;1;5.0;42.56505;1.60172
72908;Vacio;flat;penthouse;70000.0;56.0;1;8.0;42.540166;1.526191
73601;Vacio;flat;penthouse;99000.0;58.0;1;6.0;36.7382704;-4.0913591
73603;Vacio;flat;penthouse;250000.0;58.0;1;8.0;42.5757731;1.479725
74491;Vacio;flat;penthouse;194000.0;60.0;1;0.0;42.51048;1.52731
74875;Vacio;flat;penthouse;105000.0;60.0;1;8.0;38.5341067;-0.1298953
77373;Vacio;flat;penthouse;50000.0;65.0;1;4.0;36.8125224;-2.2823857
77800;Vacio;flat;penthouse;330000.0;66.0;1;6.0;42.4498719;1.4964505
78025;Vacio;flat;penthouse;157000.0;67.0;1;9.0;42.5779929;1.6511009
78310;Vacio;flat;penthouse;156000.0;68.0;1;7.0;36.368684;-5.2214221
78740;Vacio;flat;penthouse;310000.0;70.0;1;5.0;41.235685;1.8165591
79156;Vacio;flat;penthouse;125000.0;70.0;1;6.0;43.3600483;-1.7852445
79895;Vacio;flat;penthouse;115000.0;75.0;1;7.0;28.4186412;-16.538423
80495;Vacio;flat;penthouse;200000.0;78.0;1;7.0;43.3573483;-1.7852445
81806;Vacio;flat;penthouse;170000.0;97.0;1;7.0;36.3714754;-5.2226454
82116;Vacio;flat;penthouse;270000.0;108.0;1;5.0;42.529889;1.569936
82507;Vacio;flat;penthouse;283000.0;130.0;1;12.0;38.64827;0.07685
83103;Vacio;flat;penthouse;85000.0;28.0;2;6.0;42.576612;1.665191
83125;Vacio;flat;penthouse;81000.0;30.0;2;4.0;42.56825;1.60172
