index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
32790;Vacio;garage;Vacio;9000.0;0.0;0;0.0;41.1958728;1.6498153
33216;Vacio;garage;Vacio;12000.0;0.0;0;0.0;41.1981237;1.6702904
33225;Vacio;garage;Vacio;13000.0;0.0;0;0.0;41.1974237;1.6690904
33548;Vacio;garage;Vacio;4000.0;0.0;0;0.0;39.7712837;-0.1506182
33553;Vacio;garage;Vacio;4000.0;0.0;0;0.0;39.7725837;-0.1501182
33556;Vacio;garage;Vacio;4000.0;0.0;0;0.0;39.7719837;-0.1501182
33564;Vacio;garage;Vacio;4000.0;0.0;0;0.0;39.7712837;-0.1502182
33579;Vacio;garage;Vacio;4000.0;0.0;0;0.0;39.7712837;-0.1504182
33885;Vacio;garage;Vacio;13758.0;0.0;0;0.0;37.2064106;-7.3275513
33932;Vacio;garage;Vacio;5000.0;0.0;0;0.0;28.0273999;-17.1966005
35392;Vacio;garage;Vacio;6480.0;0.0;0;0.0;36.4419659;-6.2056178
35399;Vacio;garage;Vacio;5670.0;0.0;0;0.0;36.4423659;-6.2053178
35404;Vacio;garage;Vacio;6480.0;0.0;0;0.0;36.4424659;-6.2053178
35405;Vacio;garage;Vacio;5670.0;0.0;0;0.0;36.4422659;-6.2053178
35409;Vacio;garage;Vacio;8100.0;0.0;0;0.0;36.4419659;-6.2061178
35410;Vacio;garage;Vacio;6480.0;0.0;0;0.0;36.4427659;-6.2053178
35416;Vacio;garage;Vacio;6480.0;0.0;0;0.0;36.4421659;-6.2053178
35486;Vacio;garage;Vacio;7000.0;0.0;0;0.0;41.0191936;0.9552215
35487;Vacio;garage;Vacio;7000.0;0.0;0;0.0;41.0188936;0.9546215
35496;Vacio;garage;Vacio;7000.0;0.0;0;0.0;41.0190936;0.9552215
35511;Vacio;garage;Vacio;5000.0;0.0;0;0.0;41.0190936;0.9552215
35513;Vacio;garage;Vacio;5000.0;0.0;0;0.0;41.0189936;0.9552215
36591;Vacio;garage;Vacio;30000.0;0.0;0;0.0;43.37158;-8.40535
36593;Vacio;garage;Vacio;30000.0;0.0;0;0.0;43.37218;-8.40535
36600;Vacio;garage;Vacio;30000.0;0.0;0;0.0;43.37248;-8.40535
36870;Vacio;garage;Vacio;4000.0;0.0;0;0.0;28.3559998;-16.3676992
36882;Vacio;garage;Vacio;10450.0;0.0;0;0.0;28.3559998;-16.3683992
36884;Vacio;garage;Vacio;4900.0;0.0;0;0.0;28.3572998;-16.3674992
36888;Vacio;garage;Vacio;5350.0;0.0;0;0.0;28.3559998;-16.3684992
36895;Vacio;garage;Vacio;4950.0;0.0;0;0.0;28.3559998;-16.3680992
36902;Vacio;garage;Vacio;4300.0;0.0;0;0.0;28.3577998;-16.3674992
36906;Vacio;garage;Vacio;5800.0;0.0;0;0.0;28.3559998;-16.3684992
36908;Vacio;garage;Vacio;4600.0;0.0;0;0.0;28.3559998;-16.3675992
37578;Vacio;garage;Vacio;14724.0;0.0;0;0.0;36.7066766;-4.4308962
37901;Vacio;garage;Vacio;9000.0;0.0;0;0.0;37.5651462;-1.2581289
38052;Vacio;garage;Vacio;30000.0;0.0;0;0.0;43.4136982;-3.4174999
38986;Vacio;garage;Vacio;22000.0;0.0;0;0.0;42.39972;-8.81311
38992;Vacio;garage;Vacio;20000.0;0.0;0;0.0;42.40002;-8.81421
38993;Vacio;garage;Vacio;22000.0;0.0;0;0.0;42.40042;-8.81421
38994;Vacio;garage;Vacio;22000.0;0.0;0;0.0;42.40022;-8.81421
38997;Vacio;garage;Vacio;22000.0;0.0;0;0.0;42.39972;-8.81111
38998;Vacio;garage;Vacio;20000.0;0.0;0;0.0;42.39972;-8.81251
38999;Vacio;garage;Vacio;22000.0;0.0;0;0.0;42.40052;-8.81021
39020;Vacio;garage;Vacio;38000.0;0.0;0;0.0;38.5339334;-0.116887
39021;Vacio;garage;Vacio;38000.0;0.0;0;0.0;38.5341334;-0.120887
39350;Vacio;garage;Vacio;9000.0;0.0;0;0.0;39.3293291;3.1742
39351;Vacio;garage;Vacio;9000.0;0.0;0;0.0;39.3291291;3.1742
39352;Vacio;garage;Vacio;9000.0;0.0;0;0.0;39.3272291;3.1742
39353;Vacio;garage;Vacio;9000.0;0.0;0;0.0;39.3266291;3.1742
39354;Vacio;garage;Vacio;9000.0;0.0;0;0.0;39.3296291;3.1735
39358;Vacio;garage;Vacio;9000.0;0.0;0;0.0;39.3256291;3.1725
39361;Vacio;garage;Vacio;9000.0;0.0;0;0.0;39.3264291;3.1742
39362;Vacio;garage;Vacio;9000.0;0.0;0;0.0;39.3256291;3.1738
39364;Vacio;garage;Vacio;9000.0;0.0;0;0.0;39.3281291;3.1742
39366;Vacio;garage;Vacio;9000.0;0.0;0;0.0;39.3256291;3.1716
39367;Vacio;garage;Vacio;9000.0;0.0;0;0.0;39.3256291;3.1724
39368;Vacio;garage;Vacio;9000.0;0.0;0;0.0;39.3277291;3.1742
39370;Vacio;garage;Vacio;9000.0;0.0;0;0.0;39.3256291;3.1731
39371;Vacio;garage;Vacio;9000.0;0.0;0;0.0;39.3290291;3.1742
39375;Vacio;garage;Vacio;9000.0;0.0;0;0.0;39.3272291;3.1742
39376;Vacio;garage;Vacio;9000.0;0.0;0;0.0;39.3295291;3.1742
39379;Vacio;garage;Vacio;9000.0;0.0;0;0.0;39.3256291;3.1705
39380;Vacio;garage;Vacio;9000.0;0.0;0;0.0;39.3287291;3.1742
39381;Vacio;garage;Vacio;9000.0;0.0;0;0.0;39.3287291;3.1742
39383;Vacio;garage;Vacio;9000.0;0.0;0;0.0;39.3259291;3.1742
39385;Vacio;garage;Vacio;9000.0;0.0;0;0.0;39.3296291;3.1734
39388;Vacio;garage;Vacio;9000.0;0.0;0;0.0;39.3256291;3.1717
39390;Vacio;garage;Vacio;9000.0;0.0;0;0.0;39.3256291;3.1725
39391;Vacio;garage;Vacio;9000.0;0.0;0;0.0;39.3282291;3.1742
39392;Vacio;garage;Vacio;9000.0;0.0;0;0.0;39.3293291;3.1742
39394;Vacio;garage;Vacio;9000.0;0.0;0;0.0;39.3296291;3.1733
39395;Vacio;garage;Vacio;9000.0;0.0;0;0.0;39.3282291;3.1742
39396;Vacio;garage;Vacio;9000.0;0.0;0;0.0;39.3288291;3.1742
39397;Vacio;garage;Vacio;9000.0;0.0;0;0.0;39.3256291;3.1713
39398;Vacio;garage;Vacio;9000.0;0.0;0;0.0;39.3288291;3.1742
39399;Vacio;garage;Vacio;9000.0;0.0;0;0.0;39.3256291;3.1729
39400;Vacio;garage;Vacio;9000.0;0.0;0;0.0;39.3273291;3.1742
39401;Vacio;garage;Vacio;9000.0;0.0;0;0.0;39.3296291;3.1734
44117;Vacio;garage;Vacio;90000.0;0.0;0;0.0;42.5138865;1.5342601
44710;Vacio;garage;Vacio;105200.0;0.0;0;2.0;42.537001;1.5806
44711;Vacio;garage;Vacio;94680.0;0.0;0;2.0;42.537801;1.5846
44712;Vacio;garage;Vacio;10526.0;0.0;0;2.0;42.53733;1.73129
44713;Vacio;garage;Vacio;22092.0;0.0;0;2.0;42.5332235;1.5787068
44714;Vacio;garage;Vacio;23676.0;0.0;0;2.0;42.5331235;1.5747068
44750;Vacio;garage;Vacio;25900.0;0.0;0;0.0;43.4381891;-3.4531063
44869;Vacio;garage;Vacio;8000.0;0.0;0;0.0;41.1884376;1.5967643
45536;Vacio;garage;Vacio;15000.0;0.0;0;0.0;38.2585084;-0.5159695
45555;Vacio;garage;Vacio;141450.0;0.0;0;0.0;42.4518802;1.537537
45556;Vacio;garage;Vacio;180000.0;0.0;0;0.0;42.4654807;1.4913726
