index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
21405;Vacio;house;Vacio;1500000.0;210.0;0;0.0;41.7796919;3.0335909
65506;Vacio;house;Vacio;127000.0;45.0;1;0.0;36.7483066;-3.8679504
77609;Vacio;house;Vacio;110000.0;65.0;1;0.0;29.12854;-13.46221
80273;Vacio;house;Vacio;90000.0;76.0;1;0.0;36.7201515;-4.378745
90158;Vacio;house;Vacio;129000.0;56.0;2;0.0;36.7091516;-4.2849619
104197;Vacio;house;Vacio;74000.0;65.0;2;1.0;36.7424;-6.43787
108426;Vacio;house;Vacio;135000.0;69.0;2;0.0;37.997903;-0.6474445
109418;Vacio;house;Vacio;160000.0;70.0;2;0.0;36.5023784;-4.6781735
132275;Vacio;house;Vacio;168700.0;80.0;2;0.0;36.50309;-4.6785
135147;Vacio;house;Vacio;50000.0;82.0;2;0.0;28.350554;-16.3689468
138449;Vacio;house;Vacio;275000.0;85.0;2;0.0;29.2595075;-13.4822143
147445;Vacio;house;Vacio;116390.0;92.0;2;0.0;39.8744137;-0.0556335
152504;Vacio;house;Vacio;290000.0;100.0;2;2.0;36.23315;-5.3141047
158553;Vacio;house;Vacio;595000.0;116.0;2;0.0;41.2337474;1.8115386
162378;Vacio;house;Vacio;140913.0;140.0;2;0.0;40.5787106;0.5535698
163584;Vacio;house;Vacio;231683.0;151.0;2;0.0;38.6400923;0.0501213
163900;Vacio;house;Vacio;59900.0;158.0;2;0.0;28.1999711;-14.0732711
164799;Vacio;house;Vacio;795000.0;184.0;2;0.0;36.1336231;-5.8459558
165170;Vacio;house;Vacio;250000.0;200.0;2;0.0;36.731681;-3.9410025
165809;Vacio;house;Vacio;210700.0;275.0;2;0.0;27.7959164;-15.4634499
166788;Vacio;house;Vacio;128000.0;53.0;3;0.0;39.9062057;4.2961527
181352;Vacio;house;Vacio;145000.0;75.0;3;0.0;37.8835499;-0.7527867
201570;Vacio;house;Vacio;360000.0;85.0;3;0.0;43.3230955;-1.9178897
210613;Vacio;house;Vacio;219000.0;90.0;3;0.0;41.2009404;1.6818817
212365;Vacio;house;Vacio;126500.0;90.0;3;0.0;38.858098;0.0766783
222332;Vacio;house;Vacio;185000.0;95.0;3;0.0;36.5865136;-6.270056
232394;Vacio;house;Vacio;180000.0;100.0;3;0.0;35.2758497;-2.9422723
235330;Vacio;house;Vacio;160000.0;100.0;3;0.0;36.70972;-4.23886
235642;Vacio;house;Vacio;210000.0;100.0;3;0.0;41.7801169;3.0304137
241128;Vacio;house;Vacio;100000.0;103.0;3;2.0;36.6178158;-6.3628157
247356;Vacio;house;Vacio;180000.0;108.0;3;0.0;39.7920425;-0.1339215
249862;Vacio;house;Vacio;345000.0;110.0;3;0.0;41.7726067;3.0155212
252480;Vacio;house;Vacio;225000.0;110.0;3;6.0;36.71485;-4.19579
266764;Vacio;house;Vacio;265000.0;121.0;3;0.0;36.6968464;-3.4157584
268550;Vacio;house;Vacio;526315.0;125.0;3;0.0;42.5783031;1.6333953
269431;Vacio;house;Vacio;185000.0;125.0;3;0.0;36.7135781;-4.281952
269885;Vacio;house;Vacio;86000.0;126.0;3;0.0;39.8690324;-0.065043
275253;Vacio;house;Vacio;308000.0;134.0;3;0.0;36.7132377;-4.2998235
280654;Vacio;house;Vacio;595000.0;145.0;3;0.0;42.555062;1.485946
283634;Vacio;house;Vacio;189000.0;150.0;3;0.0;36.7109821;-4.2874898
284311;Vacio;house;Vacio;750000.0;152.0;3;0.0;41.7785807;3.0309333
284895;Vacio;house;Vacio;403000.0;155.0;3;0.0;39.8872983;4.2768995
286954;Vacio;house;Vacio;249900.0;160.0;3;0.0;36.7131274;-4.3056992
