index;Region;type;subType;price;gross.size;rooms;planta;lat;lng
3847;Vacio;office;Vacio;47000.0;47.0;0;2.0;39.5068692;2.5365466
6368;Vacio;office;Vacio;219342.0;62.0;0;2.0;42.538301;1.5823
6527;Vacio;office;Vacio;129900.0;63.0;0;3.0;42.5355309;1.6088098
6544;Vacio;office;Vacio;85000.0;63.0;0;3.0;28.072919;-16.734306
6611;Vacio;office;Vacio;150000.0;64.0;0;6.0;36.717739;-4.4080982
7115;Vacio;office;Vacio;99733.0;67.0;0;4.0;28.4924539;-13.8620933
8144;Vacio;office;Vacio;434552.0;73.0;0;2.0;41.6223049;2.6977176
8951;Vacio;office;Vacio;66200.0;78.0;0;2.0;28.1089986;-15.4138564
9969;Vacio;office;Vacio;219000.0;84.0;0;6.0;28.1086144;-15.4129531
10277;Vacio;office;Vacio;158000.0;86.0;0;3.0;28.1078343;-15.4132432
10363;Vacio;office;Vacio;60500.0;87.0;0;2.0;42.5635278;-8.9902962
11978;Vacio;office;Vacio;550000.0;100.0;0;2.0;36.5069042;-4.8780518
13027;Vacio;office;Vacio;180000.0;106.0;0;3.0;28.108894;-15.4134261
13288;Vacio;office;Vacio;120000.0;110.0;0;2.0;41.5990294;2.6279372
13503;Vacio;office;Vacio;240000.0;110.0;0;3.0;41.4768163;2.319254
15268;Vacio;office;Vacio;189000.0;128.0;0;2.0;38.5343523;-0.1160502
15351;Vacio;office;Vacio;800000.0;130.0;0;6.0;42.508371;1.52301
16100;Vacio;office;Vacio;870994.0;137.0;0;3.0;42.5095528;1.5315039
16938;Vacio;office;Vacio;128000.0;146.0;0;2.0;38.6412537;0.0489826
17965;Vacio;office;Vacio;842105.0;158.0;0;2.0;42.504571;1.52021
18102;Vacio;office;Vacio;689068.0;160.0;0;2.0;42.4949558;1.501013
18567;Vacio;office;Vacio;420000.0;165.0;0;1.0;42.5010519;1.5112367
19354;Vacio;office;Vacio;220000.0;175.0;0;2.0;36.4687009;-4.9902197
19991;Vacio;office;Vacio;200000.0;186.0;0;2.0;36.5064233;-4.8910373
20412;Vacio;office;Vacio;195000.0;194.0;0;2.0;28.47015;-16.2449412
22038;Vacio;office;Vacio;400000.0;220.0;0;4.0;28.1453751;-15.4315721
23724;Vacio;office;Vacio;459100.0;262.0;0;2.0;28.1426259;-15.4191734
24713;Vacio;office;Vacio;818000.0;300.0;0;6.0;43.3623376;-8.4027327
25848;Vacio;office;Vacio;1000000.0;350.0;0;3.0;36.5378318;-6.2978348
26015;Vacio;office;Vacio;345000.0;360.0;0;0.0;41.57745;2.55278
26145;Vacio;office;Vacio;555000.0;368.0;0;4.0;28.1374699;-15.4280463
26911;Vacio;office;Vacio;1200000.0;413.0;0;2.0;39.5676298;2.6339351
28878;Vacio;office;Vacio;231000.0;632.0;0;0.0;39.9516781;0.071812
